Field Name,Label,Type,Required,Unique,Picklist Values
Id,Record ID,id,True,False,
OwnerId,Owner ID,reference,True,False,
IsDeleted,Deleted,boolean,True,False,
Name,Claim Number,string,False,False,
CurrencyIsoCode,Currency ISO Code,picklist,False,False,"AUD, NZD"
RecordTypeId,Record Type ID,reference,False,False,
CreatedDate,Created Date,datetime,True,False,
CreatedById,Created By ID,reference,True,False,
LastModifiedDate,Last Modified Date,datetime,True,False,
LastModifiedById,Last Modified By ID,reference,True,False,
SystemModstamp,System Modstamp,datetime,True,False,
LastActivityDate,Last Activity Date,date,False,False,
LastViewedDate,Last Viewed Date,datetime,False,False,
LastReferencedDate,Last Referenced Date,datetime,False,False,
WOD_2__Account__c,Account,reference,False,False,
WOD_2__Appeal_By_Date__c,Appeal By Date,date,False,False,
WOD_2__Appeal_Count__c,Appeal Count,double,False,False,
WOD_2__Appeal_Description__c,Appeal Description,textarea,False,False,
WOD_2__Appeal_Reason__c,Appeal Reason,picklist,False,False,"Others, Missed a Cost Category"
WOD_2__Appeal_Status__c,Appeal Status,picklist,False,False,"Pending, Approved, Rejected"
WOD_2__Applicable_Coverage_Ids__c,Applicable Coverage Ids,textarea,False,False,
WOD_2__Applicable_Policy__c,Applicable Policy,reference,False,False,
WOD_2__Approval_Comments__c,Approval Comments,textarea,False,False,
WOD_2__Approved_Rejected_Date__c,Approved/Rejected Date,date,False,False,
WOD_2__Auto_Approved__c,Auto Approved,picklist,False,False,"NA, Yes, No"
WOD_2__Auto_apply__c,Auto-apply,boolean,True,False,
WOD_2__Batch_Log__c,Batch Log,reference,False,False,
WOD_2__BusinessCategory__c,Business Unit,reference,False,False,
WOD_2__Campaign_Members__c,Campaign Members,reference,False,False,
WOD_2__CasualPart_Comments__c,Probable Cause,textarea,False,False,
WOD_2__Causal_Part_Description__c,Causal Part Description,textarea,False,False,
WOD_2__Causal_Part_Number__c,Casual Part,reference,False,False,
WOD_2__Causal_Part_Serial_Number__c,Causal Part Serial Number,string,False,False,
WOD_2__Caused_By__c,Caused By,picklist,False,False,"Assembly, Wrong Part, Incorrect Setup, Excessive Torque"
WOD_2__Chatter_Comments__c,Chatter Comments,textarea,False,False,
WOD_2__Claim_Auto_Number__c,Claim Auto Number,string,True,False,
WOD_2__Claim_Parts_Pending_Approval__c,Claim Parts Pending Approval,double,False,False,
WOD_2__Claim_Pre_Appeal_Status__c,Claim Pre-Appeal Status,string,False,False,
WOD_2__Claim_Record_Type__c,Claim Record Type,picklist,False,False,"Serialized, Non-Serialized, Field Modification, Claim Template"
WOD_2__Claim_Repair_Index__c,Claim Repair Index,double,False,False,
WOD_2__Claim_Status__c,Claim Status,picklist,False,False,"Draft, Submitted, Approved, Rejected, In Progress, Additional Information Required, Approved and Closed, Appeal, Reopened, Submit for Preapproval, Pending Preapproval, Pending Approval W&G, Pending Approval SC, Pre-Approval Rejected, Need More Information, W&G Approved, W&G Rejected, SC Rejected, SC Approved, Claim Returned, Paid, Pending Payment Submission, Pending Payment Response, Pre-Authorization Returned, Pending SMR Review, SMR Approved, SMR Rejected, Pending Payment Submission i03, Pending Payment Response i03, Paid i03, Pending Payment Response i11, Reprocessed, Reject Preapproval, Closed"
WOD_2__Claim_Template_Payment_Definition__c,Claim Template Payment Definition,reference,False,False,
