Id,Name,RecordTypeId,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,Phone,Fax,AccountNumber,CurrencyIsoCode,IsPartner,WOD_2__Business_Units__c,WOD_2__Ultimate_Parent_Account__c,WOD_2__Warranty_Account_Type__c,Account_Number_Length__c,Active__c,AutoRegistration__c,Extended_Auto_Registration__c,External_Id__c,First_Name__c,Is_CEBU__c,Is_Independent__c,Is_Manual__c,Is_TEBU__c,Public_Group_Id__c,Sales_Company__c,region__c,sourceBusinessUnit__c,Promotions__c,AccountName__c,Address__c,Auto_Registration_after_invoice__c,KubotaDistibutorCode__c,Is_Dealer__c,subscribe_To_Email__c,Account_Number__c,Secondary_Vendor__c
0010E00001YNcipQAD,FAURE & FILS,0120E000003Gdy6QAC,0010E00001YaE6UQAV,RUE BENOIT FOURNEYRON - ZA DE L ETANG,,,26780,FR,RUE BENOIT FOURNEYRON - ZA DE L ETANG,,,26780,FR,04 75 46 60 63,04 75 46 60 21,MA26004502,EUR,FALSE,KVG,0010E00001YaE2J,Dealer,10,TRUE,FALSE,FALSE,243678,,FALSE,FALSE,FALSE,FALSE,00G0E00000EMZVTUA5,0010E00001YaE2JQAV,26,KVG,FALSE,FAURE & FILS(MA26004502),"RUE BENOIT FOURNEYRON - ZA DE L ETANG , 26780,FR",FALSE,OTH,TRUE,FALSE,MA26004502,
0010E00001YNciqQAD,XilinGol League Zhonglian,0120E000003Gdy6QAC,0010E00001YaE2fQAF,Xilin East Street,,,,CN,Xilin East Street,,,,CN,13947393160,,CN107415,EUR,FALSE,KVG,0010E00001YaE2f,Dealer,8,TRUE,FALSE,FALSE,245227,,FALSE,FALSE,FALSE,FALSE,00G0E00000EMZVUUA5,0010E00001YaE2fQAF,,KVG,FALSE,XilinGol League Zhonglian(CN107415),"Xilin East Street ,  CN",FALSE,OTH,TRUE,FALSE,CN107415,
0010E00001YaDkBQAV,test,0120E000003Gdy3QAC,,,,,,,,,,,,,,,EUR,FALSE,KVG,0010E00001YaDkB,,0,FALSE,FALSE,FALSE,test,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,test(),",",FALSE,OTH,FALSE,FALSE,,
0010E00001YaDwoQAF,Kverneland Group Soest GmbH,0120E000003Gdy8QAC,,Coesterweg,,,59494,DE,Coesterweg,,,59494,DE,29219740,292177346,120,EUR,FALSE,KVG,0010E00001YaDwo,Sales Company,3,TRUE,FALSE,FALSE,3,,FALSE,FALSE,FALSE,FALSE,,,5,KVG,FALSE,Kverneland Group Soest GmbH(120),"Coesterweg , 59494,DE",FALSE,OTH,FALSE,FALSE,120,
0010E00001YaDwpQAF,Kverneland Agricultural Equipment,0120E000003Gdy8QAC,,"Plant on the East Side, No. 3,",,,163316,CN,"Plant on the East Side, No. 3,",,,163316,CN,0459 8997019-...,,442,EUR,FALSE,KVG,0010E00001YaDwp,Sales Company,3,TRUE,FALSE,FALSE,4,,FALSE,FALSE,FALSE,FALSE,,,,KVG,FALSE,Kverneland Agricultural Equipment(442),"Plant on the East Side, No. 3, , 163316,CN",FALSE,OTH,FALSE,FALSE,442,
0010E00001YaDwqQAF,Kuhn-Geldrop B.V.,0120E000003Gdy8QAC,,Nuenenseweg 165,,,5667 KP,NL,Nuenenseweg 165,,,5667 KP,NL,402893300,402855845,136,EUR,FALSE,KVG,0010E00001YaDwq,Sales Company,3,TRUE,FALSE,FALSE,5,,FALSE,FALSE,FALSE,FALSE,,,,KVG,FALSE,Kuhn-Geldrop B.V.(136),"Nuenenseweg 165 , 5667 KP,NL",FALSE,OTH,FALSE,FALSE,136,
0010E00001YaDwrQAF,Kverneland Group Les Landes Genusso,0120E000003Gdy8QAC,,rue du Poitou,,,85130,FR,rue du Poitou,,,85130,FR,251641300,251916124,177,EUR,FALSE,KVG,0010E00001YaDwr,Sales Company,3,TRUE,FALSE,FALSE,6,,FALSE,FALSE,FALSE,FALSE,,,85,KVG,FALSE,Kverneland Group Les Landes Genusso(177),"rue du Poitou , 85130,FR",FALSE,OTH,FALSE,FALSE,177,
0010E00001YaE2HQAV,Kverneland Group Sverige AB,0120E000003Gdy8QAC,,Säterivägen,,,605 97,SE,Säterivägen,,,605 97,SE,011-8000 800,,102,SEK,FALSE,KVG,0010E00001YaE2H,Sales Company,3,TRUE,FALSE,FALSE,7,,FALSE,FALSE,FALSE,FALSE,,,,KVG,FALSE,Kverneland Group Sverige AB(102),"Säterivägen , 605 97,SE",FALSE,OTH,FALSE,FALSE,102,
0010E00001YaE2IQAV,KVERNELAND GROUP METZ SAS,0120E000003Gdy8QAC,,RUE DES TERRES ROUGES,,,57100,FR,RUE DES TERRES ROUGES,,,57100,FR,51429450,51429449,392,EUR,FALSE,KVG,0010E00001YaE2I,Sales Company,3,TRUE,FALSE,FALSE,8,,FALSE,FALSE,FALSE,FALSE,,,57,KVG,FALSE,KVERNELAND GROUP METZ SAS(392),"RUE DES TERRES ROUGES , 57100,FR",FALSE,OTH,FALSE,FALSE,392,
0010E00001YaE2JQAV,"KVERNELAND GROUP FRANCE, SAS",0120E000003Gdy8QAC,,ALLEE DU RUET,,,45760,FR,ALLEE DU RUET,,,45760,FR,238524300,238615767,106,EUR,FALSE,KVG,0010E00001YaE2J,Sales Company,3,TRUE,FALSE,FALSE,10,,FALSE,FALSE,FALSE,FALSE,,,45,KVG,FALSE,"KVERNELAND GROUP FRANCE, SAS(106)","ALLEE DU RUET , 45760,FR",FALSE,OTH,FALSE,FALSE,106,
0010E00001YaE2KQAV,Kverneland Group Danmark AS,0120E000003Gdy8QAC,,Vejlevangen - port 9,,,5300,DK,Vejlevangen - port 9,,,5300,DK,65324932,65324224,109,DKK,FALSE,KVG,0010E00001YaE2K,Sales Company,3,TRUE,FALSE,FALSE,11,,FALSE,FALSE,FALSE,FALSE,,,5,KVG,FALSE,Kverneland Group Danmark AS(109),"Vejlevangen - port 9 , 5300,DK",FALSE,OTH,FALSE,FALSE,109,
0010E00001YaE2LQAV,"Kverneland Group Ibérica, S.A.",0120E000003Gdy8QAC,,Calle F No. 28,,,8040,ES,Calle F No. 28,,,8040,ES,932649050,932633966,110,EUR,FALSE,KVG,0010E00001YaE2L,Sales Company,3,TRUE,FALSE,FALSE,12,,FALSE,FALSE,FALSE,FALSE,,,8,KVG,FALSE,"Kverneland Group Ibérica, S.A.(110)","Calle F No. 28 , 08040,ES",FALSE,OTH,FALSE,FALSE,110,
0010E00001YaE2MQAV,Kverneland Group Polska Sp. z o.o.,0120E000003Gdy8QAC,,ul. Kreta 87,,,87-100,PL,ul. Kreta 87,,,87-100,PL,566514519,566219099,115,PLN,FALSE,KVG,0010E00001YaE2M,Sales Company,3,TRUE,FALSE,FALSE,13,,FALSE,FALSE,FALSE,FALSE,,,,KVG,FALSE,Kverneland Group Polska Sp. z o.o.(115),"ul. Kreta 87 , 87-100,PL",FALSE,OTH,FALSE,FALSE,115,
0010E00001YaE2NQAV,Kverneland Group Benelux B.V.,0120E000003Gdy8QAC,,De Dommel 40,,,8253 PL,NL,De Dommel 40,,,8253 PL,NL,321387100,321387111,138,EUR,FALSE,KVG,0010E00001YaE2N,Sales Company,3,TRUE,FALSE,FALSE,14,,FALSE,FALSE,FALSE,FALSE,,,,KVG,FALSE,Kverneland Group Benelux B.V.(138),"De Dommel 40 , 8253 PL,NL",FALSE,OTH,FALSE,FALSE,138,
0010E00001YaE2OQAV,Kverneland Group (UK) Ltd,0120E000003Gdy8QAC,,Walkers Lane,,,WA9 4AF,GB,Walkers Lane,,,WA9 4AF,GB,1744853200,,139,GBP,FALSE,KVG,0010E00001YaE2O,Sales Company,3,TRUE,FALSE,FALSE,15,,FALSE,FALSE,FALSE,FALSE,,,MY,KVG,FALSE,Kverneland Group (UK) Ltd(139),"Walkers Lane , WA9 4AF,GB",FALSE,OTH,FALSE,FALSE,139,
0010E00001YaE2PQAV,Kverneland Group Ireland Ltd.,0120E000003Gdy8QAC,,Hebron Industrial Estate,,,R95 R2TA,IE,Hebron Industrial Estate,,,R95 R2TA,IE,567751597,567751589,140,EUR,FALSE,KVG,0010E00001YaE2P,Sales Company,3,TRUE,FALSE,FALSE,16,,FALSE,FALSE,FALSE,FALSE,,,KK,KVG,FALSE,Kverneland Group Ireland Ltd.(140),"Hebron Industrial Estate , R95 R2TA,IE",FALSE,OTH,FALSE,FALSE,140,
0010E00001YaE2QQAV,Kverneland Group Deutschland GmbH,0120E000003Gdy8QAC,,Coesterweg 25,,,59494,DE,Coesterweg 25,,,59494,DE,292136990,29213699408,150,EUR,FALSE,KVG,0010E00001YaE2Q,Sales Company,3,TRUE,FALSE,FALSE,17,,FALSE,FALSE,FALSE,FALSE,,,5,KVG,FALSE,Kverneland Group Deutschland GmbH(150),"Coesterweg 25 , 59494,DE",FALSE,OTH,FALSE,FALSE,150,
0010E00001YaE2RQAV,Kverneland Group Kerteminde A/S,0120E000003Gdy8QAC,,Taarupstrandvej,,,5300,DK,Taarupstrandvej,,,5300,DK,65191900,65191999,112,DKK,FALSE,KVG,0010E00001YaE2R,Sales Company,3,TRUE,FALSE,FALSE,18,,FALSE,FALSE,FALSE,FALSE,,,5,KVG,FALSE,Kverneland Group Kerteminde A/S(112),"Taarupstrandvej , 5300,DK",FALSE,OTH,FALSE,FALSE,112,
0010E00001YaE2SQAV,Kverneland Group South-Africa (Pty),0120E000003Gdy8QAC,,Victoria Road,,,3201,ZA,Victoria Road,,,3201,ZA,333452733,333452737,212,ZAR,FALSE,KVG,0010E00001YaE2S,Sales Company,3,TRUE,FALSE,FALSE,20,,FALSE,FALSE,FALSE,FALSE,,,,KVG,FALSE,Kverneland Group South-Africa (Pty)(212),"Victoria Road , 3201,ZA",FALSE,OTH,FALSE,FALSE,212,
0010E00001YaE2TQAV,Kverneland Group Hungária KFT.,0120E000003Gdy8QAC,,Karinthy u. 63,,,5008,HU,Karinthy u. 63,,,5008,HU,56527010,56527019,223,HUF,FALSE,KVG,0010E00001YaE2T,Sales Company,3,TRUE,FALSE,FALSE,21,,FALSE,FALSE,FALSE,FALSE,,,,KVG,FALSE,Kverneland Group Hungária KFT.(223),"Karinthy u. 63 , 5008,HU",FALSE,OTH,FALSE,FALSE,223,
0010E00001YaE2UQAV,Kverneland Group Italia S.R.L.,0120E000003Gdy8QAC,,Via Dell'Industria 22/A,,,46043,IT,Via Dell'Industria 22/A,,,46043,IT,376944733,376944746,227,EUR,FALSE,KVG,0010E00001YaE2U,Sales Company,3,TRUE,FALSE,FALSE,22,,FALSE,FALSE,FALSE,FALSE,,,MN,KVG,FALSE,Kverneland Group Italia S.R.L.(227),"Via Dell'Industria 22/A , 46043,IT",FALSE,OTH,FALSE,FALSE,227,
0010E00001YaE2VQAV,Gregoire Australia Pty Ltd,0120E000003Gdy8QAC,,,,,,AU,,,,,AU,,,309,AUD,FALSE,KVG,0010E00001YaE2V,Sales Company,3,TRUE,FALSE,FALSE,23,,FALSE,FALSE,FALSE,FALSE,,,,KVG,FALSE,Gregoire Australia Pty Ltd(309),",  AU",FALSE,OTH,FALSE,FALSE,309,
0010E00001YaE2WQAV,Kverneland Group Vineyard Australia,0120E000003Gdy8QAC,,9 Byrne Court,,,3500,AU,9 Byrne Court,,,3500,AU,350512300,350222153,357,AUD,FALSE,KVG,0010E00001YaE2W,Sales Company,3,TRUE,FALSE,FALSE,24,,FALSE,FALSE,FALSE,FALSE,,,VIC,KVG,FALSE,Kverneland Group Vineyard Australia(357),"9 Byrne Court , 3500,AU",FALSE,OTH,FALSE,FALSE,357,
0010E00001YaE2XQAV,KVERNELAND GROUP CIS,0120E000003Gdy8QAC,,"Novodmitrovskaya str., h2 corp. 2",,,127015,RU,"Novodmitrovskaya str., h2 corp. 2",,,127015,RU,957394161,957394160,362,RUB,FALSE,KVG,0010E00001YaE2X,Sales Company,3,TRUE,FALSE,FALSE,25,,FALSE,FALSE,FALSE,FALSE,,,,KVG,FALSE,KVERNELAND GROUP CIS(362),"Novodmitrovskaya str., h2 corp. 2 , 127015,RU",FALSE,OTH,FALSE,FALSE,362,
0010E00001YaE2YQAV,Kverneland Group USA Inc,0120E000003Gdy8QAC,,5908 Butternut Drive,,,13057,US,5908 Butternut Drive,,,13057,US,13154313501,13154313508,377,EUR,FALSE,KVG,0010E00001YaE2Y,Sales Company,3,TRUE,FALSE,FALSE,26,,FALSE,FALSE,FALSE,FALSE,,,NY,KVG,FALSE,Kverneland Group USA Inc(377),"5908 Butternut Drive , 13057,US",FALSE,OTH,FALSE,FALSE,377,
0010E00001YaE2ZQAV,Kverneland Group Klepp,0120E000003Gdy8QAC,,Plogfabrikkvegen,,,4353,NO,Plogfabrikkvegen,,,4353,NO,51429000,51429002,108,NOK,FALSE,KVG,0010E00001YaE2Z,Sales Company,3,TRUE,FALSE,FALSE,27,,FALSE,FALSE,FALSE,FALSE,,,11,KVG,FALSE,Kverneland Group Klepp(108),"Plogfabrikkvegen , 4353,NO",FALSE,OTH,FALSE,FALSE,108,
0010E00001YaE2aQAF,Kverneland Group Soest GmbH,0120E000003Gdy8QAC,,Coesterweg,,,59494,DE,Coesterweg,,,59494,DE,29219740,2921974186,248,EUR,FALSE,KVG,0010E00001YaE2a,Sales Company,3,TRUE,FALSE,FALSE,28,,FALSE,FALSE,FALSE,FALSE,,,5,KVG,FALSE,Kverneland Group Soest GmbH(248),"Coesterweg , 59494,DE",FALSE,OTH,FALSE,FALSE,248,
0010E00001YaE2bQAF,Kverneland Group International GmbH,0120E000003Gdy8QAC,,Coesterweg,,,59494,DE,Coesterweg,,,59494,DE,,,443,EUR,FALSE,KVG,0010E00001YaE2b,Sales Company,3,TRUE,FALSE,FALSE,29,,FALSE,FALSE,FALSE,FALSE,,,5,KVG,FALSE,Kverneland Group International GmbH(443),"Coesterweg , 59494,DE",FALSE,OTH,FALSE,FALSE,443,
