Id,Name,RecordTypeId,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,Phone,Fax,AccountNumber,CurrencyIsoCode,IsPartner,WOD_2__Business_Units__c,WOD_2__Ultimate_Parent_Account__c,WOD_2__Warranty_Account_Type__c,Account_Number_Length__c,Active__c,AutoRegistration__c,Extended_Auto_Registration__c,External_Id__c,First_Name__c,Is_CEBU__c,Is_Independent__c,Is_Manual__c,Is_TEBU__c,Public_Group_Id__c,Sales_Company__c,region__c,sourceBusinessUnit__c,Promotions__c,AccountName__c,Address__c,Auto_Registration_after_invoice__c,KubotaDistibutorCode__c,Is_Dealer__c,subscribe_To_Email__c,Account_Number__c,Secondary_Vendor__c,Issues
0010E00001YNcipQAD,FAURE & FILS,0120E000003Gdy6QAC,0010E00001YaE6UQAV,RUE BENOIT FOURNEYRON - ZA DE L ETANG,,,26780,FR,RUE BENOIT FOURNEYRON - ZA DE L ETANG,,,26780,FR,04 75 46 60 63,04 75 46 60 21,MA26004502,EUR,False,KVG,0010E00001YaE2J,Dealer,10.0,True,False,False,243678,,False,False,False,False,00G0E00000EMZVTUA5,0010E00001YaE2JQAV,26,KVG,False,FAURE & FILS(MA26004502),"RUE BENOIT FOURNEYRON - ZA DE L ETANG , 26780,FR",False,OTH,True,False,MA26004502,,
0010E00001YNciqQAD,XilinGol League Zhonglian,0120E000003Gdy6QAC,0010E00001YaE2fQAF,Xilin East Street,,,,CN,Xilin East Street,,,,CN,13947393160,,CN107415,EUR,False,KVG,0010E00001YaE2f,Dealer,8.0,True,False,False,245227,,False,False,False,False,00G0E00000EMZVUUA5,0010E00001YaE2fQAF,,KVG,False,XilinGol League Zhonglian(CN107415),"Xilin East Street ,  CN",False,OTH,True,False,CN107415,,
0010E00001YaDkBQAV,test,0120E000003Gdy3QAC,,,,,,,,,,,,,,,EUR,False,KVG,0010E00001YaDkB,,0.0,False,False,False,test,,False,False,False,False,,,,,False,test(),",",False,OTH,False,False,,,
0010E00001YaDwoQAF,Kverneland Group Soest GmbH,0120E000003Gdy8QAC,,Coesterweg,,,59494,DE,Coesterweg,,,59494,DE,29219740,292177346,120,EUR,False,KVG,0010E00001YaDwo,Sales Company,3.0,True,False,False,3,,False,False,False,False,,,5,KVG,False,Kverneland Group Soest GmbH(120),"Coesterweg , 59494,DE",False,OTH,False,False,120,,
0010E00001YaDwpQAF,Kverneland Agricultural Equipment,0120E000003Gdy8QAC,,"Plant on the East Side, No. 3,",,,163316,CN,"Plant on the East Side, No. 3,",,,163316,CN,0459 8997019-...,,442,EUR,False,KVG,0010E00001YaDwp,Sales Company,3.0,True,False,False,4,,False,False,False,False,,,,KVG,False,Kverneland Agricultural Equipment(442),"Plant on the East Side, No. 3, , 163316,CN",False,OTH,False,False,442,,
0010E00001YaDwqQAF,Kuhn-Geldrop B.V.,0120E000003Gdy8QAC,,Nuenenseweg 165,,,5667 KP,NL,Nuenenseweg 165,,,5667 KP,NL,402893300,402855845,136,EUR,False,KVG,0010E00001YaDwq,Sales Company,3.0,True,False,False,5,,False,False,False,False,,,,KVG,False,Kuhn-Geldrop B.V.(136),"Nuenenseweg 165 , 5667 KP,NL",False,OTH,False,False,136,,
0010E00001YaDwrQAF,Kverneland Group Les Landes Genusso,0120E000003Gdy8QAC,,rue du Poitou,,,85130,FR,rue du Poitou,,,85130,FR,251641300,251916124,177,EUR,False,KVG,0010E00001YaDwr,Sales Company,3.0,True,False,False,6,,False,False,False,False,,,85,KVG,False,Kverneland Group Les Landes Genusso(177),"rue du Poitou , 85130,FR",False,OTH,False,False,177,,
0010E00001YaE2HQAV,Kverneland Group Sverige AB,0120E000003Gdy8QAC,,Säterivägen,,,605 97,SE,Säterivägen,,,605 97,SE,011-8000 800,,102,SEK,False,KVG,0010E00001YaE2H,Sales Company,3.0,True,False,False,7,,False,False,False,False,,,,KVG,False,Kverneland Group Sverige AB(102),"Säterivägen , 605 97,SE",False,OTH,False,False,102,,
0010E00001YaE2IQAV,KVERNELAND GROUP METZ SAS,0120E000003Gdy8QAC,,RUE DES TERRES ROUGES,,,57100,FR,RUE DES TERRES ROUGES,,,57100,FR,51429450,51429449,392,EUR,False,KVG,0010E00001YaE2I,Sales Company,3.0,True,False,False,8,,False,False,False,False,,,57,KVG,False,KVERNELAND GROUP METZ SAS(392),"RUE DES TERRES ROUGES , 57100,FR",False,OTH,False,False,392,,
0010E00001YaE2JQAV,"KVERNELAND GROUP FRANCE, SAS",0120E000003Gdy8QAC,,ALLEE DU RUET,,,45760,FR,ALLEE DU RUET,,,45760,FR,238524300,238615767,106,EUR,False,KVG,0010E00001YaE2J,Sales Company,3.0,True,False,False,10,,False,False,False,False,,,45,KVG,False,"KVERNELAND GROUP FRANCE, SAS(106)","ALLEE DU RUET , 45760,FR",False,OTH,False,False,106,,
0010E00001YaE2KQAV,Kverneland Group Danmark AS,0120E000003Gdy8QAC,,Vejlevangen - port 9,,,5300,DK,Vejlevangen - port 9,,,5300,DK,65324932,65324224,109,DKK,False,KVG,0010E00001YaE2K,Sales Company,3.0,True,False,False,11,,False,False,False,False,,,5,KVG,False,Kverneland Group Danmark AS(109),"Vejlevangen - port 9 , 5300,DK",False,OTH,False,False,109,,
