Field Name,Label,Type,Required,Unique,Picklist Values
Id,Account ID,id,True,False,
IsDeleted,Deleted,boolean,True,False,
MasterRecordId,Master Record ID,reference,False,False,
Name,Name,string,True,False,
Type,Account Type,picklist,False,False,"Analyst, Competitor, Customer, Integrator, Investor, Partner, Press, Prospect, Reseller, Other"
RecordTypeId,Record Type ID,reference,False,False,
ParentId,Parent Account ID,reference,False,False,
BillingStreet,Street,textarea,False,False,
BillingCity,City,string,False,False,
BillingState,State/Province,string,False,False,
BillingPostalCode,Zip/Postal Code,string,False,False,
BillingCountry,Country,string,False,False,
BillingLatitude,Billing Latitude,double,False,False,
BillingLongitude,Billing Longitude,double,False,False,
BillingGeocodeAccuracy,Billing Geocode Accuracy,picklist,False,False,"Address, NearAddress, Block, Street, ExtendedZip, Zip, Neighborhood, City, County, State, Unknown"
BillingAddress,Billing Address,address,False,False,
ShippingStreet,Street,textarea,False,False,
ShippingCity,City,string,False,False,
ShippingState,State/Province,string,False,False,
ShippingPostalCode,Zip/Postal Code,string,False,False,
ShippingCountry,Country,string,False,False,
ShippingLatitude,Shipping Latitude,double,False,False,
ShippingLongitude,Shipping Longitude,double,False,False,
ShippingGeocodeAccuracy,Shipping Geocode Accuracy,picklist,False,False,"Address, NearAddress, Block, Street, ExtendedZip, Zip, Neighborhood, City, County, State, Unknown"
ShippingAddress,Shipping Address,address,False,False,
Phone,Phone,phone,False,False,
Fax,Account Fax,phone,False,False,
AccountNumber,Account Number,string,False,False,
Website,Website,url,False,False,
PhotoUrl,Photo URL,url,False,False,
Industry,Industry,picklist,False,False,"Agriculture, Apparel, Banking, Biotechnology, Chemicals, Communications, Construction, Consulting, Education, Electronics, Energy, Engineering, Entertainment, Environmental, Finance, Food & Beverage, Government, Healthcare, Hospitality, Insurance, Machinery, Manufacturing, Media, Not For Profit, Other, Recreation, Retail, Shipping, Technology, Telecommunications, Transportation, Utilities"
AnnualRevenue,Annual Revenue,currency,False,False,
NumberOfEmployees,Employees,int,False,False,
Description,Account Description,textarea,False,False,
CurrencyIsoCode,Account Currency,picklist,False,False,"AUD, GBP, BGN, CAD, CZK, DKK, EUR, HUF, JPY, NOK, PLN, RUB, ZAR, SEK, CHF, TRY, USD"
OwnerId,Owner ID,reference,True,False,
CreatedDate,Created Date,datetime,True,False,
CreatedById,Created By ID,reference,True,False,
LastModifiedDate,Last Modified Date,datetime,True,False,
LastModifiedById,Last Modified By ID,reference,True,False,
SystemModstamp,System Modstamp,datetime,True,False,
LastActivityDate,Last Activity,date,False,False,
LastViewedDate,Last Viewed Date,datetime,False,False,
LastReferencedDate,Last Referenced Date,datetime,False,False,
IsPartner,Partner Account,boolean,True,False,
ChannelProgramName,Channel Program Name,string,False,False,
ChannelProgramLevelName,Channel Program Level Name,string,False,False,
Jigsaw,Data.com Key,string,False,False,
JigsawCompanyId,Jigsaw Company ID,string,False,False,
AccountSource,Account Source,picklist,False,False,"Advertisement, Employee Referral, External Referral, Partner, Public Relations, Seminar - Internal, Seminar - Partner, Trade Show, Web, Word of mouth, Other"
SicDesc,SIC Description,string,False,False,
WOD_2__Business_Units__c,Business Units,multipicklist,False,False,"KBT-EU, KVG, TAV, Test"
WOD_2__Dealer_Group__c,Dealer Group,multipicklist,False,False,"Group 1, Group 2, Group 3, Group 4"
WOD_2__Ultimate_Parent_Account__c,Ultimate Parent Account,string,False,False,
WOD_2__Warranty_Account_Type__c,Warranty Account Type,picklist,False,False,"Dealer, Customer, Service Location, Other, Supplier, Service Dealer, National Account, Sales Company, Importer, Factory"
twodcms__Active__c,Active,picklist,False,False,"No, Yes"
twodcms__Primary_Email_Id__c,Primary Email Id,email,False,False,
twodsrm__Supplier_Type__c,Supplier Type,picklist,False,False,"Internal, External"
Account_Number_Length__c,Account Number Length,double,False,False,
Active__c,Active,boolean,True,False,
AutoRegistration__c,AutoRegistration,boolean,True,False,
Classification__c,Classification,string,False,False,
Customer_Group__c,Customer Group,string,False,False,
Dealer_Payment_Preference__c,Dealer Payment Preference,picklist,False,False,"DNet Price, List Price"
Email_Id__c,Email,email,False,False,
Extended_Auto_Registration__c,Extended Auto Registration,boolean,True,False,
External_Id__c,External Id,string,False,True,
First_Name__c,First Name,string,False,False,
Is_CEBU__c,Is_CEBU,boolean,True,False,
Is_Independent__c,Is Independent,boolean,True,False,
Is_Manual__c,Address Not Found,boolean,True,False,
Is_TEBU__c,Is_TEBU,boolean,True,False,
Last_Name__c,Last Name,string,False,False,
Name2__c,Name2,string,False,False,
Primary_Email_Id__c,Email,email,False,False,
Public_Group_Id__c,Public Group Id,string,False,False,
Sales_Company__c,Sales Company,reference,False,False,
Travel_Distance_in__c,Travel Distance in,picklist,False,False,"km, mi"
region__c,region,string,False,False,
sourceBusinessUnit__c,sourceBusinessUnit,picklist,False,False,"KVG, KBT-EU"
Part_Vendor__c,Part Vendor,reference,False,False,
Promotions__c,Promotions,boolean,True,False,
AccountName__c,AccountName,string,False,False,
Address__c,Address,string,False,False,
Auto_Registration_Days__c,Auto Registration Days,double,False,False,
Auto_Registration_after_invoice__c,Auto Registration after invoice,boolean,True,False,
EDI_Company_Code__c,EDI_Company Code,string,False,False,
EDI_Reference_Code__c,EDI Reference Code,string,False,False,
FactoryName__c,Factory Name,string,False,False,
KID__c,KID,string,False,False,
KubotaDistibutorCode__c,KubotaDistibutorCode,string,False,False,
Secondary_Email__c,Secondary Email,email,False,False,
Sub_Type__c,Sub Type,string,False,False,
factory_Code__c,factory Code,string,False,False,
EDI_DistributionType__c,EDI DistributionType,string,False,False,
House_Number__c,House Number,string,False,False,
Is_Dealer__c,Is Dealer,boolean,True,False,
MIG_House_Number__c,MIG House Number,string,False,False,
subscribe_To_Email__c,subscribe To Email,boolean,True,False,
Account_Number__c,Account Number,string,False,False,
Secondary_Vendor__c,Secondary Vendor,reference,False,False,
