Field Name,Label,Type,Required,Unique,Picklist Values
Id,Record ID,id,True,False,
IsDeleted,Deleted,boolean,True,False,
Name,Name,string,False,False,
CurrencyIsoCode,Currency ISO Code,picklist,False,False,"AUD, GBP, BGN, CAD, CZK, DKK, EUR, HUF, JPY, NOK, PLN, RUB, ZAR, SEK, CHF, TRY, USD"
SetupOwnerId,Location,reference,False,False,
CreatedDate,Created Date,datetime,True,False,
CreatedById,Created By ID,reference,True,False,
LastModifiedDate,Last Modified Date,datetime,True,False,
LastModifiedById,Last Modified By ID,reference,True,False,
SystemModstamp,System Modstamp,datetime,True,False,
BlockUser__c,BlockUser,boolean,True,False,
DisplayMessage__c,DisplayMessage,textarea,False,False,
