Field Name,Label,Type,Required,Unique,Picklist Values
Id,Record ID,id,True,False,
OwnerId,Owner ID,reference,True,False,
IsDeleted,Deleted,boolean,True,False,
Name,Claim Report Name,string,False,False,
CurrencyIsoCode,Currency ISO Code,picklist,False,False,"AUD, GBP, BGN, CAD, CZK, DKK, EUR, HUF, JPY, NOK, PLN, RUB, ZAR, SEK, CHF, TRY, USD"
CreatedDate,Created Date,datetime,True,False,
CreatedById,Created By ID,reference,True,False,
LastModifiedDate,Last Modified Date,datetime,True,False,
LastModifiedById,Last Modified By ID,reference,True,False,
SystemModstamp,System Modstamp,datetime,True,False,
Account__c,Account,reference,False,False,
Causal_Part__c,Causal Part,reference,False,False,
Claim__c,Claim,reference,False,False,
Inventory__c,Inventory,reference,False,False,
L2_L3_Claim__c,L2 L3 Claim,reference,False,False,
Problem_Description__c,Problem Description,textarea,False,False,
Product_Quality_Report__c,Product Quality Report,reference,False,False,
Repair_Description__c,Repair Description,textarea,False,False,
Causal_Part_Number__c,Causal Part Number,string,False,False,
Claim_Division__c,Claim Division,string,False,False,
Date_of_Failure__c,Date of Failure,date,False,False,
Dealer_Name__c,Dealer Name,string,False,False,
Dealer_Number__c,Dealer Number,string,False,False,
Inventory_Delivery_Date__c,Inventory Delivery Date,date,False,False,
Inventory_Production_Date__c,Inventory Production Date,date,False,False,
Inventory_Serial_Number__c,Inventory Serial Number,string,False,False,
Inventory_Shipping_Date__c,Inventory Shipping Date,date,False,False,
Inventory_Warranty_Start_Date__c,Inventory Warranty Start Date,date,False,False,
Model_Name__c,Model Name,string,False,False,
Notification_Number__c,Notification Number,string,False,False,
Sales_Company_Name__c,Sales Company Name,string,False,False,
Sales_Company_Text__c,Sales Company Text,string,False,False,
Short_Description__c,Short Description,string,False,False,
Type__c,Type,string,False,False,
Usage_Value__c,Usage Value,double,False,False,
Is_Claim_Linked_to_QN__c,Is Claim Linked to QN,boolean,True,False,
Symptom_Description__c,Symptom Description,textarea,False,False,
