Field Name,Label,Type,Required,Unique,Picklist Values
Id,Record ID,id,True,False,
OwnerId,Owner ID,reference,True,False,
IsDeleted,Deleted,boolean,True,False,
Name,Type of Payment,string,False,False,
CurrencyIsoCode,Currency ISO Code,picklist,False,False,"AUD, GBP, BGN, CAD, CZK, DKK, EUR, HUF, JPY, NOK, PLN, RUB, ZAR, SEK, CHF, TRY, USD"
CreatedDate,Created Date,datetime,True,False,
CreatedById,Created By ID,reference,True,False,
LastModifiedDate,Last Modified Date,datetime,True,False,
LastModifiedById,Last Modified By ID,reference,True,False,
SystemModstamp,System Modstamp,datetime,True,False,
LastActivityDate,Last Activity Date,date,False,False,
WOD_2__Approver__c,Approver,picklist,False,False,"NSO, HQ"
WOD_2__Claim__c,Claim,reference,False,False,
WOD_2__Final_Requested_Amount__c,Final Requested Amount,double,False,False,
WOD_2__Is_Base_Financial__c,Is Base Financial,boolean,True,False,
WOD_2__Total_Claim_Approved_Amount__c,Total Claim Approved Amount,double,False,False,
WOD_2__Total_Claim_Approved_Amt__c,Total Claim Approved Amount,currency,False,False,
WOD_2__Total_Claim_Submitted_Amount__c,Total Claim Requested Amount,currency,False,False,
WOD_2__Total_Handling_Cost__c,Total Handling Cost,currency,False,False,
WOD_2__Total_Labor_Approved_Amount__c,Total Labor Approved Amount,double,False,False,
WOD_2__Total_Labor_Approved_Amt__c,Total Labor Approved Amount,currency,False,False,
WOD_2__Total_Labor_Modifier_Amount__c,Total Labor Modifier Amount,currency,False,False,
WOD_2__Total_Labor_Submitted_Amount__c,Total Labor Requested Amount,currency,False,False,
WOD_2__Total_Labor_Tax_Amount__c,Total Labor Tax Amount,currency,False,False,
WOD_2__Total_Landing_Cost__c,Total Landing Cost,currency,False,False,
WOD_2__Total_Modifier_Amount__c,Total Modifier Amount,currency,False,False,
WOD_2__Total_Other_Approved_Amount__c,Total Other Approved Amount,double,False,False,
WOD_2__Total_Other_Approved_Amt__c,Total Other Approved Amount,currency,False,False,
WOD_2__Total_Other_Modifier_Amount__c,Total Other Modifier Amount,currency,False,False,
WOD_2__Total_Other_Submitted_Amount__c,Total Other Requested Amount,currency,False,False,
WOD_2__Total_Other_Tax_Amount__c,Total Other Tax Amount,currency,False,False,
WOD_2__Total_Part_Tax_Amount__c,Total Parts Tax Amount,currency,False,False,
WOD_2__Total_Parts_Approved_Amount__c,Total Parts Approved Amount,double,False,False,
WOD_2__Total_Parts_Approved_Amt__c,Total Parts Approved Amount,currency,False,False,
WOD_2__Total_Parts_Modifier_Amount__c,Total Parts Modifier Amount,currency,False,False,
WOD_2__Total_Parts_Submitted_Amount__c,Total Parts Requested Amount,currency,False,False,
WOD_2__Total_Tax_Amount__c,Total Tax Amount,currency,False,False,
Number_of_Diagnostic_Codes__c,Number of Diagnostic Codes,double,False,False,
Number_of_Repair_Codes__c,Number of Repair Codes,double,False,False,
Number_of_Washing_Codes__c,Number of Washing Codes,double,False,False,
Total_Approved_Diagnosis__c,Total Approved Diagnosis,currency,False,False,
Total_Approved_Repair__c,Total Approved Repair,currency,False,False,
Total_Approved_Washing__c,Total Approved Washing,currency,False,False,
Total_Campaign_Approved_Amount__c,Total Bulletin Approved Amount,currency,False,False,
Total_Campaign_Incentive_Approved_Amt__c,Total Campaign Incentive Approved Amt,double,False,False,
Total_Campaign_Requested_Amt__c,Total Bulletin Requested Amt,currency,False,False,
Total_Campaign_Requested_Modifier_Amt__c,Total Bulletin Requested Modifier Amt,currency,False,False,
Total_Labor_Approved_Hours__c,Total Labor Approved Hours,double,False,False,
Total_Labor_Hours__c,Total Labor Hours,double,False,False,
Total_Labor_Requested_Modifier_Amount__c,Total Labor Requested Modifier Amount,currency,False,False,
Total_Mileage_Approved_Amt__c,Total Mileage Approved Amt,currency,False,False,
Total_Mileage_Modifier_Amount__c,Total Mileage Modifier Amount,currency,False,False,
Total_Mileage_Requested_Amount__c,Total Mileage Requested Amount,currency,False,False,
Total_Requested_Parts_Quantity__c,Total Requested Parts Quantity,double,False,False,
Exceed_Campaign_Labor_Limit__c,Exceeds Service Bulletin labor Limit,boolean,True,False,
Total_Approved_Amount_EUR__c,Total Approved Amount(EUR),string,False,False,
Total_Campaign_Requested_Cost__c,Total Bulletin Requested Cost,double,False,False,
Total_Factory_Amount__c,Total Factory Amount,currency,False,False,
Total_Labor_Requested_Amount__c,Total Labor Requested Amount,double,False,False,
Total_Other_Approved_Amount__c,Total Other Approved Amount,double,False,False,
Total_Other_Requested_Amount__c,Total Other Requested Amount,double,False,False,
Total_Requested_Amount_EUR__c,Total Requested Amount(EUR),string,False,False,
Total_SC_Amount__c,Total SC Amount,currency,False,False,
KVG_FactoryvsSC__c,KVG FactoryvsSC,string,False,False,
Total_Approved_Parts_Quantity__c,Total Approved Parts Quantity,double,False,False,
Net_Requested_Amount__c,Net Requested Amount,currency,False,False,
Total_Labor_Requested_Cost__c,Total Labor Requested Amount,currency,False,False,
Total_Other_Requested_Cost__c,Total Other Requested Amount,currency,False,False,
Total_Parts_Requested_Cost__c,Total Parts Requested Amount,currency,False,False,
