Field Name,Label,Type,Required,Unique,Picklist Values
Id,Record ID,id,True,False,
OwnerId,Owner ID,reference,True,False,
IsDeleted,Deleted,boolean,True,False,
Name,Rate Name,string,False,False,
CurrencyIsoCode,Currency ISO Code,picklist,False,False,"AUD, GBP, BGN, CAD, CZK, DKK, EUR, HUF, JPY, NOK, PLN, RUB, ZAR, SEK, CHF, TRY, USD"
CreatedDate,Created Date,datetime,True,False,
CreatedById,Created By ID,reference,True,False,
LastModifiedDate,Last Modified Date,datetime,True,False,
LastModifiedById,Last Modified By ID,reference,True,False,
SystemModstamp,System Modstamp,datetime,True,False,
LastViewedDate,Last Viewed Date,datetime,False,False,
LastReferencedDate,Last Referenced Date,datetime,False,False,
WOD_2__Active_From__c,Active From,date,False,False,
WOD_2__Active_Until__c,Active Until,date,False,False,
WOD_2__Approver__c,Approver,picklist,False,False,"NSO, HQ"
WOD_2__Dealer__c,Dealer,reference,False,False,
WOD_2__Freight_Rate__c,Freight Rate,double,False,False,
WOD_2__Handling_Rate__c,Handling Rate,percent,False,False,
WOD_2__LaborRate__c,Labor Rate,double,False,False,
WOD_2__Labor_Rate__c,Labor Rate,currency,False,False,
WOD_2__Landing_Cost_Max_Cap_Amount__c,Landing Cost (Max Cap Amount),currency,False,False,
WOD_2__Landing_Rate_Percentage__c,Landing Rate (Percentage),percent,False,False,
WOD_2__Max_Cap_Amount__c,Max Cap Amount,currency,False,False,
WOD_2__Meals_Rate__c,Meals Rate,double,False,False,
WOD_2__Miscellaneous_Rate__c,Miscellaneous Rate,double,False,False,
WOD_2__Rate_Sub_Type__c,Rate Sub Type,picklist,False,False,"Travel Rate, Labour Rate, Date Based"
WOD_2__Rate_Type__c,Rate Type,picklist,False,False,"Account Level, Date Based"
WOD_2__Standard_Rate__c,Standard Rate,currency,False,False,
WOD_2__Status__c,Status,picklist,False,False,"Draft, Inactive, Active"
WOD_2__TravelByDistanceRate__c,Travel Rate ( By Distance),double,False,False,
WOD_2__TravelByHoursRate__c,Travel Rate ( By Hours),double,False,False,
WOD_2__Travel_By_Distance_Rate__c,Travel Rate ( By Distance),currency,False,False,
WOD_2__Travel_By_Hours_Rate__c,Travel Rate ( By Hours),currency,False,False,
twodsrm__Handling_Max_Cap__c,Handling Max Cap,currency,False,False,
twodsrm__Handling_Rate__c,Handling Rate,percent,False,False,
twodsrm__Landed_Max_Cap__c,Landed Max Cap,currency,False,False,
twodsrm__Landed_Rate__c,Landed Rate,percent,False,False,
twodsrm__Supplier__c,Supplier,reference,False,False,
salesCompany__c,Sales Company,string,False,False,
WOD_2__Priority__c,Priority,double,False,True,
Business_Unit_Text__c,Business Unit Text,string,False,False,
