Id,Name,WOD_2__Units_Of_Measure__c,CurrencyIsoCode,WOD_2__Business_Unit__c,WOD_2__Business_Units__c,WOD_2__Item_Type__c,WOD_2__Major_Part__c,WOD_2__Parent_Product__c,WOD_2__Track_Type__c,WOD_2__Type__c,Business_Units_Text__c,Description_DE__c,Description_EN__c,Description_ES__c,Description_FR__c,Description_HU__c,Description_IT__c,Description_JA__c,Description_NL__c,Description_NO__c,Description_PL__c,Description_TR__c,Is_Active__c,Part_Return_Required__c,Photo_Required__c,Series_Code__c,TWOD_Eligible_for_Discount__c,Warranty_Product_Auto_Number__c,Warranty_Product_Code__c,Wearing_Part__c,KPAD_Number__c,Product_Name__c
a170E0000060T9aQAE,10100,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,,Serialzied,Product,KBT-EU,Compact Tractors,Compact Tractors,Compact Tractors,Compact Tractors,,Compact Tractors,,Compact Tractors,,Compact Tractors,Compact Tractors,TRUE,FALSE,FALSE,,FALSE,2,,FALSE,10100-10100,10100
a170E0000060T9bQAE,10150,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,,Serialzied,Product,KBT-EU,Agricultural Tractors,Agricultural Tractors,Agricultural Tractors,Agricultural Tractors,,Agricultural Tractors,,Agricultural Tractors,,Agricultural Tractors,Agricultural Tractors,TRUE,FALSE,FALSE,,FALSE,3,,FALSE,10150-10150,10150
a170E0000060T9cQAE,10200,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,,Serialzied,Product,KBT-EU,Ride On Mowers,Ride On Mowers,Ride On Mowers,Ride On Mowers,,Ride On Mowers,,Ride On Mowers,,Ride On Mowers,Ride On Mowers,TRUE,FALSE,FALSE,,FALSE,4,,FALSE,10200-10200,10200
a170E0000060T9dQAE,10300,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,,Serialzied,Product,KBT-EU,Power Tools,Power Tools,Power Tools,Power Tools,,Power Tools,,Power Tools,,Power Tools,Power Tools,TRUE,FALSE,FALSE,,FALSE,5,,FALSE,10300-10300,10300
a170E0000060T9eQAE,10350,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,,Serialzied,Product,KBT-EU,Robot Mowers,Robot Mowers,Robot Mowers,Robot Mowers,,Robot Mowers,,Robot Mowers,,Robot Mowers,Robot Mowers,TRUE,FALSE,FALSE,,FALSE,6,,FALSE,10350-10350,10350
a170E0000060T9fQAE,10400,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,,Serialzied,Product,KBT-EU,Utility Vehicle,Utility Vehicle,Utility Vehicle,Utility Vehicle,,Utility Vehicle,,Utility Vehicle,,Utility Vehicle,Utility Vehicle,TRUE,FALSE,FALSE,,FALSE,7,,FALSE,10400-10400,10400
a170E0000060T9gQAE,10500,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,,Serialzied,Product,KBT-EU,Factory Components (KIND),Factory Components (KIND),Factory Components (KIND),Factory Components (KIND),,Factory Components (KIND),,Factory Components (KIND),,Factory Components (KIND),Factory Components (KIND),TRUE,FALSE,FALSE,,FALSE,8,,FALSE,10500-10500,10500
a170E0000060T9hQAE,10600,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,,Serialzied,Product,KBT-EU,Front Loaders,Front Loaders,Front Loaders,Front Loaders,,Front Loaders,,Front Loaders,,Front Loaders,Front Loaders,TRUE,FALSE,FALSE,,FALSE,9,,FALSE,10600-10600,10600
a170E0000060T9iQAE,10700,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,,Serialzied,Product,KBT-EU,Implements  (OEM),Implements  (OEM),Implements  (OEM),Implements  (OEM),,Implements  (OEM),,Implements  (OEM),,Implements  (OEM),Implements  (OEM),TRUE,FALSE,FALSE,,FALSE,10,,FALSE,10700-10700,10700
a170E0000060T9jQAE,10710,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,,Serialzied,Product,KBT-EU,Sprayers,Sprayers,Sprayers,Sprayers,,Sprayers,,Sprayers,,Sprayers,Sprayers,TRUE,FALSE,FALSE,,FALSE,11,,FALSE,10710-10710,10710
