Field Name,Label,Type,Required,Unique,Picklist Values
Id,Record ID,id,True,False,
OwnerId,Owner ID,reference,True,False,
IsDeleted,Deleted,boolean,True,False,
Name,Material Code,string,False,False,
CurrencyIsoCode,Currency ISO Code,picklist,False,False,"AUD, GBP, BGN, CAD, CZK, DKK, EUR, HUF, JPY, NOK, PLN, RUB, ZAR, SEK, CHF, TRY, USD"
CreatedDate,Created Date,datetime,True,False,
CreatedById,Created By ID,reference,True,False,
LastModifiedDate,Last Modified Date,datetime,True,False,
LastModifiedById,Last Modified By ID,reference,True,False,
SystemModstamp,System Modstamp,datetime,True,False,
LastActivityDate,Last Activity Date,date,False,False,
LastViewedDate,Last Viewed Date,datetime,False,False,
LastReferencedDate,Last Referenced Date,datetime,False,False,
WOD_2__Business_Unit__c,Business Category Configuration,reference,False,False,
WOD_2__Business_Units__c,Business Units,multipicklist,False,False,"KBT-EU, KVG, TAV, Test"
WOD_2__Description__c,Description,textarea,False,False,
WOD_2__Item_Type__c,Item Type,picklist,False,False,"Machine, Part"
WOD_2__Major_Part__c,Major Part,boolean,True,False,
WOD_2__Parent_Product__c,Parent Product,reference,False,False,
WOD_2__Product_Name__c,Material Name,string,False,False,
WOD_2__Standard_Price__c,Standard Price,currency,False,False,
WOD_2__Track_Type__c,Track Type,picklist,False,False,"Serialized, Non-Serialized"
WOD_2__Type__c,Type,picklist,False,False,"Product, Model, Item, Parts, Series, Miscellaneous"
WOD_2__Units_Of_Measure__c,Units Of Measurement,picklist,False,False,"Gallons, Miles, Hours, EA, M, GAL, MIT, H"
Base_Unit__c,Base Unit,string,False,False,
Brand__c,Brand,picklist,False,False,"Brand 1, Brand 2, Brand 3"
Business_Units_Text__c,Business Units Text,string,False,False,
Company__c,Company,string,False,False,
Description_CS__c,Description CS,string,False,False,
Description_DA__c,Description DA,string,False,False,
Description_DE__c,Description DE,string,False,False,
Description_EL__c,Description EL,string,False,False,
Description_EN__c,Description EN,string,False,False,
Description_ES__c,Description ES,string,False,False,
Description_FI__c,Description FI,string,False,False,
Description_FR__c,Description FR,string,False,False,
Description_HU__c,Description HU,string,False,False,
Description_IT__c,Description IT,string,False,False,
Description_JA__c,Description JA,string,False,False,
Description_NL__c,Description NL,string,False,False,
Description_NO__c,Description NO,string,False,False,
Description_PL__c,Description PL,string,False,False,
Description_PT__c,Description PT,string,False,False,
Description_RO__c,Description RO,string,False,False,
Description_RU__c,Description RU,string,False,False,
Description_SV__c,Description SV,string,False,False,
Description_TR__c,Description TR,string,False,False,
Description_With_Brand__c,Description,textarea,False,False,
External_Part_Number__c,External Part Number,string,False,False,
Is_Active__c,Is Active,boolean,True,False,
Job_Code_Source__c,Job Code Source,picklist,False,False,"KPAD API, TMAP API"
KPAD_Book_Id__c,KPAD Book Id,string,False,False,
Language__c,Language,string,False,False,
MIG_Vendor__c,MIG Vendor,string,False,False,
MIg_Unit_Type__c,MIg_Unit_Type,string,False,False,
Material_Group__c,Material Group,string,False,False,
Material_Type__c,Material Type,picklist,False,False,"Machine, Part"
Mig_Is_Serialized__c,Mig Is Serialized,string,False,False,
Mig_Policy__c,Mig Policy,string,False,False,
Model_Code__c,Model Code,string,False,False,
Model_Name__c,MODEL,string,False,False,
Overhead_Group__c,Overhead Group,string,False,False,
Part_Return_Required__c,Part Return Required,boolean,True,False,
Photo_Required__c,Photo Required,boolean,True,False,
Plant__c,Factory,string,False,False,
Product_Type__c,Product Type,picklist,False,False,"WG, PT"
Series_Code__c,Series Code,string,False,False,
Series_Name__c,Series Name,string,False,False,
Short_Description__c,Short Description,string,False,False,
TWOD_Discount_Amount_Rate__c,Discount Amount / Rate,double,False,False,
TWOD_Discount_Type__c,Discount Type,picklist,False,False,"Cash Discount, Percentage Discount"
TWOD_Eligible_for_Discount__c,Eligible for Discount,boolean,True,False,
Warranty_Product_Auto_Number__c,Warranty Product Auto Number,string,True,False,
Warranty_Product_Code__c,Warranty Product Code,string,False,False,
Warranty_Product_Name__c,Warranty Product Name,string,False,False,
Wearing_Part__c,Wearing Part,boolean,True,False,
BU__c,BU,string,False,False,
Division__c,Division,string,False,False,
KPAD_Book__c,KPAD Book #,string,False,False,
Policy__c,Policy,string,False,False,
Translated_Description__c,Description,string,False,False,
Primary_Vendor__c,Primary Vendor,reference,False,False,
Secondary_Vendor__c,Secondary Vendor,reference,False,False,
Policy_Sales_Company__c,Policy Sales Company,string,False,False,
Sales_Company__c,Sales Company,string,False,False,
Auto_Part_Requested__c,Auto Part Requested ?,string,False,False,
KPAD_Number__c,KPAD Number,string,False,False,
Model_Desc__c,Model Desc,string,False,False,
Product_Name__c,Product Name,string,False,False,
Series_Desc__c,Series Desc,string,False,False,
