Id,Name,WOD_2__Units_Of_Measure__c,CurrencyIsoCode,WOD_2__Business_Unit__c,WOD_2__Business_Units__c,WOD_2__Item_Type__c,WOD_2__Major_Part__c,WOD_2__Parent_Product__c,WOD_2__Track_Type__c,WOD_2__Type__c,Business_Units_Text__c,Description_DE__c,Description_EN__c,Description_ES__c,Description_FR__c,Description_HU__c,Description_IT__c,Description_JA__c,Description_NL__c,Description_NO__c,Description_PL__c,Description_TR__c,Is_Active__c,Part_Return_Required__c,Photo_Required__c,Series_Code__c,TWOD_Eligible_for_Discount__c,Warranty_Product_Auto_Number__c,Warranty_Product_Code__c,Wearing_Part__c,KPAD_Number__c,Product_Name__c,is_valid,issue
a170E0000060T9aQAE,10100.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Compact Tractors,Compact Tractors,Compact Tractors,Compact Tractors,,Compact Tractors,,Compact Tractors,,Compact Tractors,Compact Tractors,True,False,False,,False,2,,False,10100-10100,10100.0,True,
a170E0000060T9bQAE,10150.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Agricultural Tractors,Agricultural Tractors,Agricultural Tractors,Agricultural Tractors,,Agricultural Tractors,,Agricultural Tractors,,Agricultural Tractors,Agricultural Tractors,True,False,False,,False,3,,False,10150-10150,10150.0,True,
a170E0000060T9cQAE,10200.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Ride On Mowers,Ride On Mowers,Ride On Mowers,Ride On Mowers,,Ride On Mowers,,Ride On Mowers,,Ride On Mowers,Ride On Mowers,True,False,False,,False,4,,False,10200-10200,10200.0,True,
a170E0000060T9dQAE,10300.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Power Tools,Power Tools,Power Tools,Power Tools,,Power Tools,,Power Tools,,Power Tools,Power Tools,True,False,False,,False,5,,False,10300-10300,10300.0,True,
a170E0000060T9eQAE,10350.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Robot Mowers,Robot Mowers,Robot Mowers,Robot Mowers,,Robot Mowers,,Robot Mowers,,Robot Mowers,Robot Mowers,True,False,False,,False,6,,False,10350-10350,10350.0,True,
a170E0000060T9fQAE,10400.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Utility Vehicle,Utility Vehicle,Utility Vehicle,Utility Vehicle,,Utility Vehicle,,Utility Vehicle,,Utility Vehicle,Utility Vehicle,True,False,False,,False,7,,False,10400-10400,10400.0,True,
a170E0000060T9gQAE,10500.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Factory Components (KIND),Factory Components (KIND),Factory Components (KIND),Factory Components (KIND),,Factory Components (KIND),,Factory Components (KIND),,Factory Components (KIND),Factory Components (KIND),True,False,False,,False,8,,False,10500-10500,10500.0,True,
a170E0000060T9hQAE,10600.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Front Loaders,Front Loaders,Front Loaders,Front Loaders,,Front Loaders,,Front Loaders,,Front Loaders,Front Loaders,True,False,False,,False,9,,False,10600-10600,10600.0,True,
a170E0000060T9iQAE,10700.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Implements  (OEM),Implements  (OEM),Implements  (OEM),Implements  (OEM),,Implements  (OEM),,Implements  (OEM),,Implements  (OEM),Implements  (OEM),True,False,False,,False,10,,False,10700-10700,10700.0,True,
a170E0000060T9jQAE,10710.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Sprayers,Sprayers,Sprayers,Sprayers,,Sprayers,,Sprayers,,Sprayers,Sprayers,True,False,False,,False,11,,False,10710-10710,10710.0,True,
