Field Name,Label,Type,Required,Unique,Picklist Values
Id,Account ID,id,True,False,
IsDeleted,Deleted,boolean,True,False,
MasterRecordId,Master Record ID,reference,False,False,
Name,Account Name,string,True,False,
Type,Account Type,picklist,False,False,"Prospect, Customer - Direct, Customer - Channel, Channel Partner / Reseller, Installation Partner, Technology Partner, Other"
ParentId,Parent Account ID,reference,False,False,
BillingStreet,Billing Street,textarea,False,False,
BillingCity,Billing City,string,False,False,
BillingState,Billing State/Province,string,False,False,
BillingPostalCode,Billing Zip/Postal Code,string,False,False,
BillingCountry,Billing Country,string,False,False,
BillingLatitude,Billing Latitude,double,False,False,
BillingLongitude,Billing Longitude,double,False,False,
BillingGeocodeAccuracy,Billing Geocode Accuracy,picklist,False,False,"Address, NearAddress, Block, Street, ExtendedZip, Zip, Neighborhood, City, County, State, Unknown"
BillingAddress,Billing Address,address,False,False,
ShippingStreet,Shipping Street,textarea,False,False,
ShippingCity,Shipping City,string,False,False,
ShippingState,Shipping State/Province,string,False,False,
ShippingPostalCode,Shipping Zip/Postal Code,string,False,False,
ShippingCountry,Shipping Country,string,False,False,
ShippingLatitude,Shipping Latitude,double,False,False,
ShippingLongitude,Shipping Longitude,double,False,False,
ShippingGeocodeAccuracy,Shipping Geocode Accuracy,picklist,False,False,"Address, NearAddress, Block, Street, ExtendedZip, Zip, Neighborhood, City, County, State, Unknown"
ShippingAddress,Shipping Address,address,False,False,
Phone,Account Phone,phone,False,False,
Fax,Account Fax,phone,False,False,
AccountNumber,Account Number,string,False,False,
Website,Website,url,False,False,
PhotoUrl,Photo URL,url,False,False,
Sic,SIC Code,string,False,False,
Industry,Industry,picklist,False,False,"Agriculture, Apparel, Banking, Biotechnology, Chemicals, Communications, Construction, Consulting, Education, Electronics, Energy, Engineering, Entertainment, Environmental, Finance, Food & Beverage, Government, Healthcare, Hospitality, Insurance, Machinery, Manufacturing, Media, Not For Profit, Recreation, Retail, Shipping, Technology, Telecommunications, Transportation, Utilities, Other"
AnnualRevenue,Annual Revenue,currency,False,False,
NumberOfEmployees,Employees,int,False,False,
Ownership,Ownership,picklist,False,False,"Public, Private, Subsidiary, Other"
TickerSymbol,Ticker Symbol,string,False,False,
Description,Account Description,textarea,False,False,
Rating,Account Rating,picklist,False,False,"Hot, Warm, Cold"
Site,Account Site,string,False,False,
OwnerId,Owner ID,reference,True,False,
CreatedDate,Created Date,datetime,True,False,
CreatedById,Created By ID,reference,True,False,
LastModifiedDate,Last Modified Date,datetime,True,False,
LastModifiedById,Last Modified By ID,reference,True,False,
SystemModstamp,System Modstamp,datetime,True,False,
LastActivityDate,Last Activity,date,False,False,
LastViewedDate,Last Viewed Date,datetime,False,False,
LastReferencedDate,Last Referenced Date,datetime,False,False,
Jigsaw,Data.com Key,string,False,False,
JigsawCompanyId,Jigsaw Company ID,string,False,False,
CleanStatus,Clean Status,picklist,False,False,"Matched, Different, Acknowledged, NotFound, Inactive, Pending, SelectMatch, Skipped"
AccountSource,Account Source,picklist,False,False,"Web, Phone Inquiry, Partner Referral, Purchased List, Other"
DunsNumber,D-U-N-S Number,string,False,False,
Tradestyle,Tradestyle,string,False,False,
NaicsCode,NAICS Code,string,False,False,
NaicsDesc,NAICS Description,string,False,False,
YearStarted,Year Started,string,False,False,
SicDesc,SIC Description,string,False,False,
DandbCompanyId,D&B Company ID,reference,False,False,
OperatingHoursId,Operating Hour ID,reference,False,False,
CustomerPriority__c,Customer Priority,picklist,False,False,"High, Low, Medium"
SLA__c,SLA,picklist,False,False,"Gold, Silver, Platinum, Bronze"
Active__c,Active,picklist,False,False,"No, Yes"
NumberofLocations__c,Number of Locations,double,False,False,
UpsellOpportunity__c,Upsell Opportunity,picklist,False,False,"Maybe, No, Yes"
SLASerialNumber__c,SLA Serial Number,string,False,False,
SLAExpirationDate__c,SLA Expiration Date,date,False,False,
