Field Name,Label,Type,Required,Unique,Picklist Values
Id,Account ID,id,True,False,
IsDeleted,Deleted,boolean,True,False,
MasterRecordId,Master Record ID,reference,False,False,
Name,Account Name,string,True,False,
Type,Account Type,picklist,False,False,"HQ, TOC/TG, IR, OR"
RecordTypeId,Record Type ID,reference,False,False,
ParentId,Parent Account ID,reference,False,False,
BillingStreet,Billing Street,textarea,False,False,
BillingCity,Billing City,string,False,False,
BillingState,Billing State/Province,string,False,False,
BillingPostalCode,Billing Zip/Postal Code,string,False,False,
BillingCountry,Billing Country,string,False,False,
BillingLatitude,Billing Latitude,double,False,False,
BillingLongitude,Billing Longitude,double,False,False,
BillingGeocodeAccuracy,Billing Geocode Accuracy,picklist,False,False,"Address, NearAddress, Block, Street, ExtendedZip, Zip, Neighborhood, City, County, State, Unknown"
BillingAddress,Billing Address,address,False,False,
ShippingStreet,Shipping Street,textarea,False,False,
ShippingCity,Shipping City,string,False,False,
ShippingState,Shipping State/Province,string,False,False,
ShippingPostalCode,Shipping Zip/Postal Code,string,False,False,
ShippingCountry,Shipping Country,string,False,False,
ShippingLatitude,Shipping Latitude,double,False,False,
ShippingLongitude,Shipping Longitude,double,False,False,
ShippingGeocodeAccuracy,Shipping Geocode Accuracy,picklist,False,False,"Address, NearAddress, Block, Street, ExtendedZip, Zip, Neighborhood, City, County, State, Unknown"
ShippingAddress,Shipping Address,address,False,False,
Phone,Account Phone,phone,False,False,
Fax,Account Fax,phone,False,False,
AccountNumber,Account Number,string,False,False,
Website,Website,url,False,False,
PhotoUrl,Photo URL,url,False,False,
Industry,Industry,picklist,False,False,"Agriculture, Apparel, Banking, Biotechnology, Chemicals, Communications, Construction, Consulting, Education, Electronics, Energy, Engineering, Entertainment, Environmental, Finance, Food & Beverage, Government, Healthcare, Hospitality, Insurance, Machinery, Manufacturing, Media, Not For Profit, Other, Recreation, Retail, Shipping, Technology, Telecommunications, Transportation, Utilities"
AnnualRevenue,Annual Revenue,currency,False,False,
NumberOfEmployees,Employees,int,False,False,
Description,Account Description,textarea,False,False,
CurrencyIsoCode,Account Currency,picklist,False,False,"AUD, NZD"
OwnerId,Owner ID,reference,True,False,
CreatedDate,Created Date,datetime,True,False,
CreatedById,Created By ID,reference,True,False,
LastModifiedDate,Last Modified Date,datetime,True,False,
LastModifiedById,Last Modified By ID,reference,True,False,
SystemModstamp,System Modstamp,datetime,True,False,
LastActivityDate,Last Activity,date,False,False,
LastViewedDate,Last Viewed Date,datetime,False,False,
LastReferencedDate,Last Referenced Date,datetime,False,False,
IsPartner,Partner Account,boolean,True,False,
ChannelProgramName,Channel Program Name,string,False,False,
ChannelProgramLevelName,Channel Program Level Name,string,False,False,
Jigsaw,Data.com Key,string,False,False,
JigsawCompanyId,Jigsaw Company ID,string,False,False,
AccountSource,Account Source,picklist,False,False,"Advertisement, Employee Referral, External Referral, Partner, Public Relations, Seminar - Internal, Seminar - Partner, Trade Show, Web, Word of mouth, Other"
SicDesc,SIC Description,string,False,False,
WOD_2__Business_Units__c,Business Units,multipicklist,False,False,"HQ, 901-AU-TOC"
WOD_2__Dealer_Group__c,Dealer Group,multipicklist,False,False,"Group 1, Group 2, Group 3, Group 4"
WOD_2__Ultimate_Parent_Account__c,Ultimate Parent Account,string,False,False,
WOD_2__Warranty_Account_Type__c,Warranty Account Type,picklist,False,False,"Customer, Service Location, Other, Supplier, Service Dealer, National Account, Dealer, OEM, DTO, DTAuP"
twodcms__Active__c,Active,picklist,False,False,"No, Yes"
twodcms__Primary_Email_Id__c,Primary Email Id,email,False,False,
DTAG_Account_Associations__c,Account Associations,textarea,False,False,
DTAG_Account_User_Group__c,Account User Group,string,False,False,
DTAG_Additional_Information__c,Additional Information,textarea,False,False,
DTAG_Additional_Name__c,Additional Name,string,False,False,
DTAG_Affiliate__c,Affiliate,boolean,True,False,
DTAG_CompanyId__c,CompanyId,string,False,False,
DTAG_Dealer_Discount_Group_Parts__c,Dealer Discount Group (Parts),string,False,False,
DTAG_Editable__c,Editable,boolean,True,False,
DTAG_External_Id__c,External ID,string,False,True,
DTAG_Fetch_New_Account__c,Fetch New Account,boolean,True,False,
DTAG_KZF_Group__c,KZF Group,picklist,False,False,"0- 0, 1- 1 Factory/ PWI, 2- 2 Owned Retail, 3- 3 General Distributors, 4- 4 Agents / Intermediaries, 6- 6 Independent Retail/ Service Partner, 7-7, 8- 8 Customer/ Director's Workshop, 9- 9 Customer/ Director's Workshop"
DTAG_Labor_Units__c,Labor Units,picklist,False,False,Hours
DTAG_Landed_Cost_Calculation__c,Landed Cost Calculation,picklist,False,False,"Before Subtracting Core Value, After Subtracting Core Value"
DTAG_MainOutletId__c,MainOutletId,string,False,False,
DTAG_Outlet_Is_Active__c,Outlet Is Active,boolean,True,False,
DTAG_Participating_in_Remanufacturing__c,Participating in Remanufacturing,picklist,False,False,"Yes, No"
DTAG_Predecessors__c,Predecessors,string,False,False,
DTAG_Public_Group_ID__c,Hierarchy Group,string,False,False,
DTAG_Released_By_Timestamp__c,Released By Timestamp,datetime,False,False,
DTAG_Released_By__c,Released By,reference,False,False,
DTAG_Status__c,Status,picklist,False,False,"Draft, Active, Inactive, Released"
DTAG_Tax_No__c,Tax No.,string,False,False,
DTAG_VAT_No__c,VAT No.,string,False,False,
DTAG_Valid_From__c,Valid From,date,False,False,
DTAG_Valid_To__c,Valid To,date,False,False,
DTAG_Warehouse__c,Warehouse,reference,False,False,
DTAG_Warranty_ID_Dealer_Code__c,Warranty ID,string,False,False,
DTAG_mainOutlet__c,mainOutlet,boolean,True,False,
DTAG_registeredOffice__c,registeredOffice,boolean,True,False,
DTAG_Distribution_Level__c,Distribution Level,picklist,False,False,"Wholesaler, Retailer, Manufacturer"
DT_Billing_Country__c,Country Code,reference,True,False,
DTAG_Account_Currency__c,Account Currency,picklist,False,False,"AUD, NZD"
DTAG_Account_Public_Group__c,Account Public Group,string,False,False,
DTAG_Claim_Pre_approval_Needed__c,Claim Pre-approval Needed,boolean,True,False,
DTAG_Do_Not_Pay_DH__c,DTAG Do Not Pay DH,boolean,True,False,
DTAG_Do_Not_Pay_DH_and_LC__c,Do Not Pay DH and LC,boolean,True,False,
