Field Name,Label,Type,Required,Unique,Picklist Values
Id,Record ID,id,True,False,
IsDeleted,Deleted,boolean,True,False,
Name,Name,string,False,False,
CurrencyIsoCode,Currency ISO Code,picklist,False,False,"AUD, NZD"
RecordTypeId,Record Type ID,reference,False,False,
CreatedDate,Created Date,datetime,True,False,
CreatedById,Created By ID,reference,True,False,
LastModifiedDate,Last Modified Date,datetime,True,False,
LastModifiedById,Last Modified By ID,reference,True,False,
SystemModstamp,System Modstamp,datetime,True,False,
LastActivityDate,Last Activity Date,date,False,False,
WOD_2__Claim__c,Claim,reference,True,False,
WOD_2__Comments__c,Comments,textarea,False,False,
WOD_2__Dealer_Contribution__c,Dealer Contribution,percent,False,False,
WOD_2__Dispute_Type__c,Dispute Type,picklist,False,False,"Shortage, Damage, Overage, Incorrect Parts, Quality Fit Issue, Over Stock"
WOD_2__External_Claim_Part_Name__c,External Claim Part Name,string,False,True,
WOD_2__Inventory__c,Inventory,reference,False,False,
WOD_2__Invoice_Date__c,Invoice Date,date,False,False,
WOD_2__Invoice_Number__c,Invoice Number,string,False,False,
WOD_2__Invoice_Quantity__c,Quantity,double,False,False,
WOD_2__Is_Copied_From_Template__c,Is Copied From Template,boolean,True,False,
WOD_2__Is_Copied_From_Work_Package__c,Is Copied From Work Package,boolean,True,False,
WOD_2__Is_Package_Intact__c,Is Package Intact,boolean,True,False,
WOD_2__Line_Item_Id__c,Line Item Id,string,False,False,
WOD_2__OEM_Contribution__c,OEM Contribution,percent,False,False,
WOD_2__Ordered_Quantity__c,Ordered Quantity,double,False,False,
WOD_2__Parent_Reference_Id__c,Parent Reference Id,string,False,False,
WOD_2__Part_Description__c,Part Description,textarea,False,False,
WOD_2__Quantity__c,Quantity,double,False,False,
WOD_2__Serial_Number__c,Part Serial Number,string,False,False,
WOD_2__Type__c,Part Type,picklist,False,False,"Normal Part, Major Part, Special Part"
WOD_2__Unit_Price__c,Net Price(Retail),currency,False,False,
WOD_2__Warranty_Product_Pricebook__c,Warranty Product Pricebook,reference,False,False,
WOD_2__Warranty_Product__c,Part Number,reference,False,False,
WOD_2__Expected_Resolution__c,Expected Resolution,picklist,False,False,"Replacement, Credit Adjustment, Return, Pay to OEM"
WOD_2__Is_Serialized_Part__c,Is Serialized Part,boolean,True,False,
WOD_2__Total_Price_Amount__c,Total Net Price(Retail),currency,False,False,
WOD_2__Total_Price__c,Total Price,currency,False,False,
DTAG_BU_Currency__c,Business Unit Currency,string,False,False,
DTAG_Core_Value_Retail_Gross__c,Core Value(Retail Gross),currency,False,False,
DTAG_Core_Value_Retail_Net__c,Core Value(Retail Net),currency,False,False,
DTAG_Core_Value_Retail__c,Core Value(Retail),currency,False,False,
DTAG_Core_Value_Wholesale_Gross__c,Core Value(Wholesale Gross),currency,False,False,
DTAG_Core_Value_Wholesale_Net__c,Core Value(Wholesale Net),currency,False,False,
DTAG_Core_Value_Wholesale__c,Core Value(Wholesale),currency,False,False,
DTAG_DH_Percentage_BU__c,Requested Dealer Handling (BU Currency),double,False,False,
DTAG_DH_Percentage__c,Requested Dealer Handling,currency,False,False,
DTAG_DMS_External_Id__c,DMS External Id,string,False,False,
DTAG_Discount_Goodwill__c,Discount (Goodwill),percent,False,False,
DTAG_Discount_ISP__c,Discount (ISP),percent,False,False,
DTAG_Discount_Service_contract__c,Part Discount % (SC),percent,False,False,
DTAG_Discount_Special_warranty__c,Discount (Special warranty),percent,False,False,
DTAG_Discount_Stock__c,Discount (Stock),percent,False,False,
DTAG_Discount_Warranty__c,Discount (Warranty),percent,False,False,
DTAG_External_Id__c,External ID,string,False,True,
DTAG_Gross_Price_Retail__c,Gross Price(Retail),currency,False,False,
DTAG_Gross_Price_Wholesale__c,Gross Price(Wholesale),currency,False,False,
DTAG_LC_Percentage_BU__c,Requested Landed Cost (BU Currency),double,False,False,
DTAG_Marketing_Code__c,Marketing Code,string,False,False,
DTAG_Matched_Applicable_Coverages_DH__c,Dealer Handling Applicable Coverage,reference,False,False,
DTAG_Matched_Applicable_Coverages__c,Landed Cost Applicable Coverage,reference,False,False,
