_,Name,AccountNumber,Nvt_External_Id__c,ParentId,twodcms__Active__c,WOD_2__Business_Units__c,WOD_2__Warranty_Account_Type__c,Nvt_Warranty_Dealer_Type__c,Phone,BillingCountry,BillingState,BillingCity,BillingStreet,BillingPostalCode,ShippingCountry,ShippingState,ShippingCity,ShippingStreet,ShippingPostalCode,CurrencyIsoCode,Nvt_DSM__c,twodcms__Primary_Email_Id__c,Nvt_Region__c,Issues
[Account],3M - ABERDEEN,494-3M,494-3M,,Active,C&I,Customer,,,US,SD,ABERDEEN,610 NORTH COUNTY ROAD,57401,US,SD,ABERDEEN,610 NORTH COUNTY ROAD,57401,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],3M ENGINEERING,494-3ME,494-3ME,,Active,C&I,Customer,,,US,MA,ROCKLAND,30 COMMERCE ROAD,2370,US,MA,ROCKLAND,30 COMMERCE ROAD,2370,USD,,dummy@tavant.com,Eastern,Invalid picklist value in 'twodcms__Active__c'
[Account],ABC Warehouse,BELL-ABC,BELL-ABC,,Active,C&I,Customer,,586-531-1151,US,MI,Pontiac,1 W Silverdome Industrial Park,48342,US,MI,Pontiac,1 W Silverdome Industrial Park,48342,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Acesur - Suffolk, VA",ACESUR1,ACESUR1,,Active,C&I,Customer,,,US,VA,Suffolk,1010 Obici Industrial Blvd.,23434,US,VA,Suffolk,1010 Obici Industrial Blvd.,23434,USD,,dummy@tavant.com,Eastern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Advanced Battery Services - Menands, NY",468,468,,Active,C&I,Dealer,Battery Dealer,,US,NY,Menands,381 Broadway,12204,US,NY,Menands,381 Broadway,12204,USD,,dummy@tavant.com,Eastern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Advanced Battery Services - Clifton Parks, NY",468-A,468-A,,Active,C&I,Dealer,Battery Dealer,,US,NY,Clifton Park,79-B Woodin Rd.,12065,US,NY,Clifton Park,79-B Woodin Rd.,12065,USD,,dummy@tavant.com,Eastern,Invalid picklist value in 'twodcms__Active__c'
[Account],Advanced Charging Technologies,ACT_FL,ACT_FL,,Active,C&I,OEM,,,US,FL,Orlando,12612 Challenger Parkway Suite 350,32826,US,FL,Orlando,12612 Challenger Parkway Suite 350,32826,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Aisin - Cibolo, TX",459-AISN,459-AISN,,Active,C&I,Customer,,,,,,,,US,TX,Cibolo,565 Bolton Rd,78124,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],"East Penn - Ft. Lauderdale, FL",430,430,,Active,C&I,Dealer,Battery Dealer,,US,FL,Ft. Lauderdale,"2800 SW 4th Ave, Unit #20",33315,US,FL,Ft. Lauderdale,"2800 SW 4th Ave, Unit #20",33315,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],ALL BATTERY SALES & SERVICE,431,431,,Active,C&I,Dealer,Battery Dealer,,US,WA,Everett,727 134th St. S.W.,98204,US,WA,Everett,727 134th St. S.W.,98204,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],all battery sales & service,431-A,431-A,,Active,C&I,Dealer,Battery Dealer,,US,WA,Ellensburg,2060 Vantage Highway 2060 Vantage Highway Units 31 & 32,98926,US,WA,Ellensburg,2060 Vantage Highway 2060 Vantage Highway Units 31 & 32,98926,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],ALL BATTERY SALES & SERVICE,431-B,431-B,,Active,C&I,Dealer,Battery Dealer,,US,WA,AUBURN,"3040 B STREET NW, UNITS 1 & 2",98001,US,WA,AUBURN,"3040 B STREET NW, UNITS 1 & 2",98001,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],ALL BATTERY SALES & SERVICE,ABSS01,ABSS01,,Active,C&I,Dealer,Battery Dealer,425-210-1983,US,OR,PORTLAND,18008 NE AIRPORT WAY,98204,US,OR,PORTLAND,18008 NE AIRPORT WAY,98204,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],All Battery Sales and Service,432,432,,Active,C&I,Dealer,Battery Dealer,,US,OR,Portland,11823 N.E. Sumner Unit 3F,97220,US,OR,Portland,11823 N.E. Sumner Unit 3F,97220,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],Alpine Power Systems,ALP01,ALP01,,Active,C&I,Dealer,Other,,US,MI,Redford,24355 Capitol Avenue,48239,US,MI,Redford,24355 Capitol Avenue,48239,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],Alpine Power Systems,ALP02,ALP02,,Active,C&I,Dealer,Other,,US,TN,Millington,5595 Victory Lane,38053,US,TN,Millington,5595 Victory Lane,38053,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],Alpine Power Systems,ALP04,ALP04,,Active,C&I,Dealer,Other,313-573-1627,US,MI,Redford,11961 Dixie Street,48239,US,MI,Redford,11961 Dixie Street,48239,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],Alta Equipment,ALT01,ALT01,,Active,C&I,Dealer,Truck Dealer,708-878-6422,US,MI,Livonia,13211 Merriman Rd.,48150,US,MI,Livonia,13211 Merriman Rd.,48150,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],Alta Equipment,ALT05,ALT05,,Active,C&I,Dealer,Truck Dealer,734-641-8238,US,MI,ROMULUS,28855 SMITH ROAD,48174,US,MI,ROMULUS,28855 SMITH ROAD,48174,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],Alta Equipment,ALT06,ALT06,,Active,C&I,Dealer,Truck Dealer,,US,MI,KENTWOOD,"4716 TALON CT, S.E.",49512,US,MI,KENTWOOD,"4716 TALON CT, S.E.",49512,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],Alta Equipment,ALT07,ALT07,,Active,C&I,Dealer,Truck Dealer,,US,IL,BOLINGBROOK,"1049 LILY CACHE, SUITE C",60440,US,IL,BOLINGBROOK,"1049 LILY CACHE, SUITE C",60440,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],ALTA EQUPMENT RON DYKSTRA,ALT-RD,ALT-RD,,Active,C&I,Dealer,Truck Dealer,,US,IL,OSWEGO,410 FAYETTE DRIVE,60543,US,IL,OSWEGO,410 FAYETTE DRIVE,60543,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],Alta Industrial Equipment Co,HYSALT1,HYSALT1,,Active,C&I,Dealer,Truck Dealer,630-966-0450,US,IL,Montgomery,1901 Albright Road,60538,US,IL,Montgomery,1901 Albright Road,60538,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],Alta Industrial Equipment Co,HYSALT10,HYSALT10,,Active,C&I,Dealer,Truck Dealer,586-977-6000,US,MI,Sterling Heights,7500 E 15 Mile Road,48312,US,MI,Sterling Heights,7500 E 15 Mile Road,48312,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],Amazon,AMZMX2,AMZMX2,,Active,C&I,Customer,,,US,TX,Laredo,12013 Sara Rd.,78045,US,TX,Laredo,12013 Sara Rd.,78045,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],Amazon,AMZSTX7,AMZSTX7,,Active,C&I,Customer,,,US,TX,San Antonio,8818 Corner Ridge,78219,US,TX,San Antonio,8818 Corner Ridge,78219,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],Amazon,HYS-AM20,HYS-AM20,,Active,C&I,Customer,,,US,KY,Florence,4706 Aero Parkway,41042,US,KY,Florence,4706 Aero Parkway,41042,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon ABE4 - Easton, PA",AMAZON37,AMAZON37,,Active,C&I,Customer,,,US,PA,Easton,1610 Van Buren Rd,18045,US,PA,Easton,1610 Van Buren Rd,18045,USD,,dummy@tavant.com,Eastern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon ABQ1 - Albuquerque, NM",HYS-AMA5,HYS-AMA5,,Active,C&I,Customer,,,US,NM,Albuquerque,701 Atrisco Vista Blvd.,87120,US,NM,Albuquerque,701 Atrisco Vista Blvd.,87120,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon ABQ5 - Albuquerque, NM",AMAZON20,AMAZON20,,Active,C&I,Customer,,,US,NM,Albuquerque,15480 Reservoir Rd NW,87121,US,NM,Albuquerque,15480 Reservoir Rd NW,87121,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon ACY9 - Logan Township, NJ",AMAZON44,AMAZON44,,Active,C&I,Customer,,,US,NJ,LOGAN TOWNSHIP,1150 COMMERCE BLVD,8085,US,NJ,LOGAN TOWNSHIP,1150 COMMERCE BLVD,8085,USD,,dummy@tavant.com,Eastern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon AFW5 - Balch Springs, TX",AMAZON31,AMAZON31,,Active,C&I,Customer,,,US,TX,Balch Springs,12734 Lake June Rd.,75180,US,TX,Balch Springs,12734 Lake June Rd.,75180,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon AGS5 - Appling, GA",AMAZON29,AMAZON29,,Active,C&I,Customer,,,US,GA,APPLING,785 INNOVATION PARKWAY,30802,US,GA,APPLING,785 INNOVATION PARKWAY,30802,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon AKR1 - Canton, OH",AMZAKR1,AMZAKR1,,Active,C&I,Customer,,,US,OH,CANTON,3550 COLUMBUS AVENUE NE,44705,US,OH,CANTON,3550 COLUMBUS AVENUE NE,44705,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon AZA9 - Litchfield Park, AZ",AMAZON25,AMAZON25,,Active,C&I,Customer,,,US,AZ,Litchfield Park,6395 N. Sarival Rd.,85340,US,AZ,Litchfield Park,6395 N. Sarival Rd.,85340,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
