Field Name,Label,Type,Required,Unique,Picklist Values
Id,Account ID,id,True,False,
IsDeleted,Deleted,boolean,True,False,
MasterRecordId,Master Record ID,reference,False,False,
Name,Account Name,string,True,False,
Type,Account Type,picklist,False,False,"Analyst, Competitor, Customer, Integrator, Investor, Partner, Press, Prospect, Reseller, Other"
ParentId,Parent Account ID,reference,False,False,
BillingStreet,Billing Street,textarea,False,False,
BillingCity,Billing City,string,False,False,
BillingState,Billing State/Province,string,False,False,
BillingPostalCode,Billing Zip/Postal Code,string,False,False,
BillingCountry,Billing Country,string,False,False,
BillingLatitude,Billing Latitude,double,False,False,
BillingLongitude,Billing Longitude,double,False,False,
BillingGeocodeAccuracy,Billing Geocode Accuracy,picklist,False,False,"Address, NearAddress, Block, Street, ExtendedZip, Zip, Neighborhood, City, County, State, Unknown"
BillingAddress,Billing Address,address,False,False,
ShippingStreet,Shipping Street,textarea,False,False,
ShippingCity,Shipping City,string,False,False,
ShippingState,Shipping State/Province,string,False,False,
ShippingPostalCode,Shipping Zip/Postal Code,string,False,False,
ShippingCountry,Shipping Country,string,False,False,
ShippingLatitude,Shipping Latitude,double,False,False,
ShippingLongitude,Shipping Longitude,double,False,False,
ShippingGeocodeAccuracy,Shipping Geocode Accuracy,picklist,False,False,"Address, NearAddress, Block, Street, ExtendedZip, Zip, Neighborhood, City, County, State, Unknown"
ShippingAddress,Shipping Address,address,False,False,
Phone,Account Phone,phone,False,False,
Fax,Account Fax,phone,False,False,
AccountNumber,Account Number,string,False,False,
Website,Website,url,False,False,
PhotoUrl,Photo URL,url,False,False,
Sic,SIC Code,string,False,False,
Industry,Industry,picklist,False,False,"Agriculture, Apparel, Banking, Biotechnology, Chemicals, Communications, Construction, Consulting, Education, Electronics, Energy, Engineering, Entertainment, Environmental, Finance, Food & Beverage, Government, Healthcare, Hospitality, Insurance, Machinery, Manufacturing, Media, Not For Profit, Other, Recreation, Retail, Shipping, Technology, Telecommunications, Transportation, Utilities"
AnnualRevenue,Annual Revenue,currency,False,False,
NumberOfEmployees,Employees,int,False,False,
Ownership,Ownership,picklist,False,False,"Public, Private, Subsidiary, Other"
TickerSymbol,Ticker Symbol,string,False,False,
Description,Account Description,textarea,False,False,
Rating,Account Rating,picklist,False,False,"Hot, Warm, Cold"
Site,Account Site,string,False,False,
CurrencyIsoCode,Account Currency,picklist,False,False,USD
OwnerId,Owner ID,reference,True,False,
CreatedDate,Created Date,datetime,True,False,
CreatedById,Created By ID,reference,True,False,
LastModifiedDate,Last Modified Date,datetime,True,False,
LastModifiedById,Last Modified By ID,reference,True,False,
SystemModstamp,System Modstamp,datetime,True,False,
LastActivityDate,Last Activity,date,False,False,
LastViewedDate,Last Viewed Date,datetime,False,False,
LastReferencedDate,Last Referenced Date,datetime,False,False,
IsPartner,Partner Account,boolean,True,False,
ChannelProgramName,Channel Program Name,string,False,False,
ChannelProgramLevelName,Channel Program Level Name,string,False,False,
Jigsaw,Data.com Key,string,False,False,
JigsawCompanyId,Jigsaw Company ID,string,False,False,
AccountSource,Account Source,picklist,False,False,"Advertisement, Customer Event, Employee Referral, Google AdWords, Other, Partner, Purchased List, Trade Show, Webinar, Website"
SicDesc,SIC Description,string,False,False,
WOD_2__Business_Units__c,Business Units,multipicklist,False,False,C&I
WOD_2__Dealer_Group__c,Dealer Group,multipicklist,False,False,"Group 1, Group 2, Group 3, Group 4"
WOD_2__Ultimate_Parent_Account__c,Ultimate Parent Account,string,False,False,
WOD_2__Warranty_Account_Type__c,Warranty Account Type,picklist,False,False,"OEM, Dealer, National Account, Customer"
twodcms__Active__c,Active,picklist,False,False,"No, Yes"
twodcms__Primary_Email_Id__c,Primary Email Id,email,False,False,
Nvt_DSM__c,DSM,reference,False,False,
Nvt_External_Id__c,External Id,string,False,True,
Nvt_Language_Code__c,Language Code,picklist,True,False,"EN, ES, MX"
Nvt_Public_Group_Id__c,Public Group Id,string,False,False,
Nvt_Public_Queue_Id__c,Public Queue Id,string,False,False,
Nvt_Region__c,Region,picklist,False,False,"Western, Midwest, Eastern, Southern, Canada, Mexico"
Nvt_Dealer_is_part_of_Part_program__c,Dealer  is part of Part program,picklist,False,False,"Yes, No"
Nvt_Sub_Type__c,Sub Type,picklist,False,False,"Authorized, Unauthorized"
Nvt_Warranty_Dealer_Type__c,Warranty Dealer Type,picklist,False,False,"Truck Dealer, Battery Dealer, Other"
Nvt_Vendor_ID__c,Vendor ID,string,False,False,
