Field Name,Label,Type,Required,Unique,Picklist Values
Id,Record ID,id,True,False,
OwnerId,Owner ID,reference,True,False,
IsDeleted,Deleted,boolean,True,False,
Name,Applicability Term Name,string,True,False,
CurrencyIsoCode,Currency ISO Code,picklist,False,False,USD
CreatedDate,Created Date,datetime,True,False,
CreatedById,Created By ID,reference,True,False,
LastModifiedDate,Last Modified Date,datetime,True,False,
LastModifiedById,Last Modified By ID,reference,True,False,
SystemModstamp,System Modstamp,datetime,True,False,
WOD_2__Applicability_Term_Type__c,Applicability Term Type,picklist,False,False,"Inclusion, Exclusion"
WOD_2__Barcode_Scanner_Config__c,Barcode Scanner Config,reference,False,False,
WOD_2__Business_Category_Configuration_Setting__c,Business Category Configuration Setting,reference,False,False,
WOD_2__Carrier__c,Carrier,reference,False,False,
WOD_2__External_ID__c,External ID,string,False,False,
WOD_2__Functionality__c,Functionality,string,False,False,
WOD_2__Logical_Grouping__c,Logical Grouping,textarea,False,False,
WOD_2__Master_Schedule__c,Master Scheduler,reference,False,False,
WOD_2__Part_Return_Configuration__c,Part Return Configuration,reference,False,False,
WOD_2__Payment_Definition_Items__c,Payment Definition Items,reference,False,False,
WOD_2__Payment_Modifiers__c,Payment Modifiers,reference,False,False,
WOD_2__Policy_Definition__c,Policy Definition,reference,False,False,
WOD_2__Questionnaire__c,Questionnaire,reference,False,False,
WOD_2__Rule_Object_API_Name__c,Rule Object API Name,string,False,False,
WOD_2__isCustomLogicalExpression__c,Is Custom Logical Expression,boolean,True,False,
WOD_2__isValidExpression__c,Is Valid Expression,boolean,True,False,
WOD_2__Rates_Details__c,Rates Details,reference,False,False,
Rates_Details__c,Rates Details,reference,False,False,
