Name,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,Phone,AccountNumber,CurrencyIsoCode,WOD_2__Business_Units__c,WOD_2__Warranty_Account_Type__c,twodcms__Active__c,twodcms__Primary_Email_Id__c,Nvt_DSM__c,Nvt_External_Id__c,Nvt_Region__c,Nvt_Warranty_Dealer_Type__c
3M - ABERDEEN,,610 NORTH COUNTY ROAD,ABERDEEN,SD,57401,US,610 NORTH COUNTY ROAD,ABERDEEN,SD,57401,US,,494-3M,USD,C&I,Customer,Active,dummy@tavant.com,,494-3M,Midwest,
3M ENGINEERING,,30 COMMERCE ROAD,ROCKLAND,MA,2370,US,30 COMMERCE ROAD,ROCKLAND,MA,2370,US,,494-3ME,USD,C&I,Customer,Active,dummy@tavant.com,,494-3ME,Eastern,
ABC Warehouse,,1 W Silverdome Industrial Park,Pontiac,MI,48342,US,1 W Silverdome Industrial Park,Pontiac,MI,48342,US,586-531-1151,BELL-ABC,USD,C&I,Customer,Active,dummy@tavant.com,,BELL-ABC,Midwest,
"Acesur - Suffolk, VA",,1010 Obici Industrial Blvd.,Suffolk,VA,23434,US,1010 Obici Industrial Blvd.,Suffolk,VA,23434,US,,ACESUR1,USD,C&I,Customer,Active,dummy@tavant.com,,ACESUR1,Eastern,
"Advanced Battery Services - Menands, NY",,381 Broadway,Menands,NY,12204,US,381 Broadway,Menands,NY,12204,US,,468,USD,C&I,Dealer,Active,dummy@tavant.com,,468,Eastern,Battery Dealer
"Advanced Battery Services - Clifton Parks, NY",,79-B Woodin Rd.,Clifton Park,NY,12065,US,79-B Woodin Rd.,Clifton Park,NY,12065,US,,468-A,USD,C&I,Dealer,Active,dummy@tavant.com,,468-A,Eastern,Battery Dealer
Advanced Charging Technologies,,12612 Challenger Parkway Suite 350,Orlando,FL,32826,US,12612 Challenger Parkway Suite 350,Orlando,FL,32826,US,,ACT_FL,USD,C&I,OEM,Active,dummy@tavant.com,,ACT_FL,Southern,
"Aisin - Cibolo, TX",,,,,,,565 Bolton Rd,Cibolo,TX,78124,US,,459-AISN,USD,C&I,Customer,Active,dummy@tavant.com,,459-AISN,Southern,
"East Penn - Ft. Lauderdale, FL",,"2800 SW 4th Ave, Unit #20",Ft. Lauderdale,FL,33315,US,"2800 SW 4th Ave, Unit #20",Ft. Lauderdale,FL,33315,US,,430,USD,C&I,Dealer,Active,dummy@tavant.com,,430,Southern,Battery Dealer
ALL BATTERY SALES & SERVICE,,727 134th St. S.W.,Everett,WA,98204,US,727 134th St. S.W.,Everett,WA,98204,US,,431,USD,C&I,Dealer,Active,dummy@tavant.com,,431,Western,Battery Dealer
all battery sales & service,,2060 Vantage Highway 2060 Vantage Highway Units 31 & 32,Ellensburg,WA,98926,US,2060 Vantage Highway 2060 Vantage Highway Units 31 & 32,Ellensburg,WA,98926,US,,431-A,USD,C&I,Dealer,Active,dummy@tavant.com,,431-A,Western,Battery Dealer
ALL BATTERY SALES & SERVICE,,"3040 B STREET NW, UNITS 1 & 2",AUBURN,WA,98001,US,"3040 B STREET NW, UNITS 1 & 2",AUBURN,WA,98001,US,,431-B,USD,C&I,Dealer,Active,dummy@tavant.com,,431-B,Western,Battery Dealer
ALL BATTERY SALES & SERVICE,,18008 NE AIRPORT WAY,PORTLAND,OR,98204,US,18008 NE AIRPORT WAY,PORTLAND,OR,98204,US,425-210-1983,ABSS01,USD,C&I,Dealer,Active,dummy@tavant.com,,ABSS01,Western,Battery Dealer
All Battery Sales and Service,,11823 N.E. Sumner Unit 3F,Portland,OR,97220,US,11823 N.E. Sumner Unit 3F,Portland,OR,97220,US,,432,USD,C&I,Dealer,Active,dummy@tavant.com,,432,Western,Battery Dealer
Alpine Power Systems,,24355 Capitol Avenue,Redford,MI,48239,US,24355 Capitol Avenue,Redford,MI,48239,US,,ALP01,USD,C&I,Dealer,Active,dummy@tavant.com,,ALP01,Midwest,Other
Alpine Power Systems,,5595 Victory Lane,Millington,TN,38053,US,5595 Victory Lane,Millington,TN,38053,US,,ALP02,USD,C&I,Dealer,Active,dummy@tavant.com,,ALP02,Southern,Other
Alpine Power Systems,,11961 Dixie Street,Redford,MI,48239,US,11961 Dixie Street,Redford,MI,48239,US,313-573-1627,ALP04,USD,C&I,Dealer,Active,dummy@tavant.com,,ALP04,Midwest,Other
Alta Equipment,,13211 Merriman Rd.,Livonia,MI,48150,US,13211 Merriman Rd.,Livonia,MI,48150,US,708-878-6422,ALT01,USD,C&I,Dealer,Active,dummy@tavant.com,,ALT01,Midwest,Truck Dealer
Alta Equipment,,28855 SMITH ROAD,ROMULUS,MI,48174,US,28855 SMITH ROAD,ROMULUS,MI,48174,US,734-641-8238,ALT05,USD,C&I,Dealer,Active,dummy@tavant.com,,ALT05,Midwest,Truck Dealer
Alta Equipment,,"4716 TALON CT, S.E.",KENTWOOD,MI,49512,US,"4716 TALON CT, S.E.",KENTWOOD,MI,49512,US,,ALT06,USD,C&I,Dealer,Active,dummy@tavant.com,,ALT06,Midwest,Truck Dealer
Alta Equipment,,"1049 LILY CACHE, SUITE C",BOLINGBROOK,IL,60440,US,"1049 LILY CACHE, SUITE C",BOLINGBROOK,IL,60440,US,,ALT07,USD,C&I,Dealer,Active,dummy@tavant.com,,ALT07,Midwest,Truck Dealer
ALTA EQUPMENT RON DYKSTRA,,410 FAYETTE DRIVE,OSWEGO,IL,60543,US,410 FAYETTE DRIVE,OSWEGO,IL,60543,US,,ALT-RD,USD,C&I,Dealer,Active,dummy@tavant.com,,ALT-RD,Midwest,Truck Dealer
Alta Industrial Equipment Co,,1901 Albright Road,Montgomery,IL,60538,US,1901 Albright Road,Montgomery,IL,60538,US,630-966-0450,HYSALT1,USD,C&I,Dealer,Active,dummy@tavant.com,,HYSALT1,Midwest,Truck Dealer
Alta Industrial Equipment Co,,7500 E 15 Mile Road,Sterling Heights,MI,48312,US,7500 E 15 Mile Road,Sterling Heights,MI,48312,US,586-977-6000,HYSALT10,USD,C&I,Dealer,Active,dummy@tavant.com,,HYSALT10,Midwest,Truck Dealer
Amazon,,12013 Sara Rd.,Laredo,TX,78045,US,12013 Sara Rd.,Laredo,TX,78045,US,,AMZMX2,USD,C&I,Customer,Active,dummy@tavant.com,,AMZMX2,Southern,
Amazon,,8818 Corner Ridge,San Antonio,TX,78219,US,8818 Corner Ridge,San Antonio,TX,78219,US,,AMZSTX7,USD,C&I,Customer,Active,dummy@tavant.com,,AMZSTX7,Southern,
