Name,WOD_2__Payment_Definition__c,WOD_2__Cost_Category__c,WOD_2__Coverage_Percent__c,WOD_2__Dealer_Group__c,WOD_2__Dealer__c,WOD_2__Payment_Configuration__c,WOD_2__Payment_Modifiers__c
DM_Test_1 PD CD1,a7Ucf0000002EtJEAU,Labor,,,,,
Labor,a7Ucf0000002QUfEAM,Labor,,,,,
Payment Definition Item Code1,a7Ucf0000002bBZEAY,Labor,,,,,
Payment Definition Item Code2,a7Ucf0000002bBZEAY,Parts,,,,,
TestPDItemCode1,a7Ucf0000002XUXEA2,Repair Inv,,,,,
TestPDItemCode2,a7Ucf0000002XUXEA2,Parts,,,,,
Payment Definition Item Code1,a7Ucf0000002bY9EAI,Boom Truck,,,,,
Payment Definition Item Code2,a7Ucf0000002bY9EAI,Parts,,,,,
Payment Definition Item Code3,a7Ucf0000002bY9EAI,Labor,,,,,
Payment Definition Item Code1,a7Ucf0000002bY9EAI,Parts,,,,,
Payment Definition Item Code1,a7Ucf0000002bY9EAI,Parts,,,,,
uu,a7Ucf0000002bbNEAQ,Parts,,,,,
Standard Labor Payment,a7Ucf0000002uPVEAY,Labor,,,,,
