Name,WOD_2__Description__c,WOD_2__Business_Units__c
F20,,VRM-NA
R-20,,VRM-NA
R-15,Test R15,VRM-NA
R-10,Test R10,VRM-NA
F100-R10,Test F100-R10,VRM-NA
F125,TEST F125,VRM-NA
R-250,Test R-250,VRM-NA
F125 - R250,Test F125 - R250,VRM-NA
-12 Volt Power Supply-F1,-12 Volt Power Supply,VRM-NA
Bearing Race Missing-F100,Bearing Race Missing,VRM-NA
Diaphragm Faulty-F101,Diaphragm Faulty,VRM-NA
Input Bearing Failed-F102,Input Bearing Failed,VRM-NA
Mounting Bolts Broken-F103,Mounting Bolts Broken,VRM-NA
Output Bearing Failed-F104,Output Bearing Failed,VRM-NA
Output Seal Missing-F105,Output Seal Missing,VRM-NA
Factory Wiring Incorrect-F106,Factory Wiring Incorrect,VRM-NA
Finish Appearance Faulty-F107,Finish Appearance Faulty,VRM-NA
Contactor not pulling in-F108,Contactor not pulling in,VRM-NA
Run Microswitch Fails Open-F111,Run Microswitch Fails Open,VRM-NA
Safety Microswitch Fails Closed-F112,Safety Microswitch Fails Closed,VRM-NA
OW Timer Doesn't Break Safety-F113,OW Timer Doesn't Break Safety,VRM-NA
OW Timer Doesn't Hold Safety-F114,OW Timer Doesn't Hold Safety,VRM-NA
Solenoid Valve Fails-F115,Solenoid Valve Fails,VRM-NA
Disconnect Switch Fails Open-F116,Disconnect Switch Fails Open,VRM-NA
Disconnect Switch Fails Closed-F117,Disconnect Switch Fails Closed,VRM-NA
Low Pressure Switch Fails Open-F118,Low Pressure Switch Fails Open,VRM-NA
Low Pressure Switch Fails Closed-F119,Low Pressure Switch Fails Closed,VRM-NA
Bull Gear Broken-F12,Bull Gear Broken,VRM-NA
Tower Box Cover Fell Off-F120,Tower Box Cover Fell Off,VRM-NA
Fuse Block Defective-F121,Fuse Block Defective,VRM-NA
Grounding Block Defective-F122,Grounding Block Defective,VRM-NA
Run Microswitch Fails Closed-F123,Run Microswitch Fails Closed,VRM-NA
Safety Microswitch Fails Open-F124,Safety Microswitch Fails Open,VRM-NA
Terminal Block Defective-F125,Terminal Block Defective,VRM-NA
Calibration changed/out of spec-F127,Calibration changed/out of spec,VRM-NA
Leads corroded/broken-F128,Leads corroded/broken,VRM-NA
Service Tool Test Failed-F129,Service Tool Test Failed,VRM-NA
STB ER 01 - Software Checksum-F130,STB ER 01 - Software Checksum,VRM-NA
STB ER 02 - Setup Constants-F131,STB ER 02 - Setup Constants,VRM-NA
STB ER 03 - Communications-F132,STB ER 03 - Communications,VRM-NA
STB ER 05 - Power Supply failure LRDU-F133,STB ER 05 - Power Supply failure LRDU,VRM-NA
STB ER 06 - Power Supply failure SDU-F134,STB ER 06 - Power Supply failure SDU,VRM-NA
STB Other input or output failure-F135,STB Other input or output failure,VRM-NA
STB Trace failure-F136,STB Trace failure,VRM-NA
Case Broken-F14,Case Broken,VRM-NA
Steering arm loose-F144,Steering arm loose,VRM-NA
VSD Dinverter ERR 1-F145,VSD Dinverter ERR 1,VRM-NA
VSD Dinverter ERR 2-F146,VSD Dinverter ERR 2,VRM-NA
VSD Dinverter ERR 3-F147,VSD Dinverter ERR 3,VRM-NA
VSD Dinverter ERR 4-F148,VSD Dinverter ERR 4,VRM-NA
VSD Dinverter ERR 5-F149,VSD Dinverter ERR 5,VRM-NA
Casting Broken-F15,Casting Broken,VRM-NA
VSD Dinverter ERR 6-F150,VSD Dinverter ERR 6,VRM-NA
VSD Dinverter ERR 7-F151,VSD Dinverter ERR 7,VRM-NA
VSD Dinverter ERR 8-F152,VSD Dinverter ERR 8,VRM-NA
VSD Dinverter ERR 9-F153,VSD Dinverter ERR 9,VRM-NA
VSD Dinverter ERR 10-F154,VSD Dinverter ERR 10,VRM-NA
VSD Dinverter ERR EE-F155,VSD Dinverter ERR EE,VRM-NA
VSD Dinverter ERR cL-F156,VSD Dinverter ERR cL,VRM-NA
VSD Dinverter ERR UU-F157,VSD Dinverter ERR UU,VRM-NA
VSD Dinverter ERR oU-F158,VSD Dinverter ERR oU,VRM-NA
VSD Dinverter ERR Et-F159,VSD Dinverter ERR Et,VRM-NA
Coil Failure-F16,Coil Failure,VRM-NA
VSD Dinverter ERR Ph-F160,VSD Dinverter ERR Ph,VRM-NA
VSD Dinverter ERR th-F161,VSD Dinverter ERR th,VRM-NA
VSD Dinverter fan failure-F162,VSD Dinverter fan failure,VRM-NA
VSD Dinverter LRDU stalling-F163,VSD Dinverter LRDU stalling,VRM-NA
VSD Dinverter SDU stalling-F164,VSD Dinverter SDU stalling,VRM-NA
VSD Saftronics dbh-F165,VSD Saftronics dbh,VRM-NA
VSD Saftronics Er 1-F166,VSD Saftronics Er 1,VRM-NA
VSD Saftronics Er 2-F167,VSD Saftronics Er 2,VRM-NA
VSD Saftronics Er 3-F168,VSD Saftronics Er 3,VRM-NA
VSD Saftronics Er 4-F169,VSD Saftronics Er 4,VRM-NA
Communication Failure-F17,Communication Failure,VRM-NA
VSD Saftronics Er 5-F170,VSD Saftronics Er 5,VRM-NA
VSD Saftronics Er 6-F171,VSD Saftronics Er 6,VRM-NA
