Name,CatalogId,NumberOfProducts,IsNavigational
Products,0ZSRj00000002rROAQ,0,True
Ancillary,0ZSRj00000002rROAQ,593,True
Control Technology,0ZSRj00000002rROAQ,960,True
Corner,0ZSRj00000002rROAQ,478,True
Drive Train,0ZSRj00000002rROAQ,764,True
Drive Unit Controls,0ZSRj00000002rROAQ,272,True
Electrical Components,0ZSRj00000002rROAQ,3460,True
Flotation,0ZSRj00000002rROAQ,39,True
Linears,0ZSRj00000002rROAQ,527,True
Machine Options,0ZSRj00000002rROAQ,396,True
Manuals,0ZSRj00000002rROAQ,46,True
Service Tools,0ZSRj00000002rROAQ,57,True
Span Accessories,0ZSRj00000002rROAQ,1372,True
Sprinklers,0ZSRj00000002rROAQ,1565,True
Structural,0ZSRj00000002rROAQ,2096,True
Ancillary Valves,0ZSRj00000002rROAQ,12,True
Butterfly Valves,0ZSRj00000002rROAQ,19,True
Direct Buried Cable,0ZSRj00000002rROAQ,20,True
Disconnect Panels,0ZSRj00000002rROAQ,14,True
Fertigation and Chemigation,0ZSRj00000002rROAQ,39,True
Flowmeters,0ZSRj00000002rROAQ,50,True
Generators and Engines,0ZSRj00000002rROAQ,36,True
Hook-Up Options,0ZSRj00000002rROAQ,22,True
Phase Converters,0ZSRj00000002rROAQ,32,True
Pump Panels,0ZSRj00000002rROAQ,18,True
Ring Lock Fittings,0ZSRj00000002rROAQ,29,True
Soft Starters,0ZSRj00000002rROAQ,52,True
Steel Tubing,0ZSRj00000002rROAQ,33,True
Variable Frequency Drives,0ZSRj00000002rROAQ,135,True
AgSense,0ZSRj00000002rROAQ,168,True
Complete Control Panels,0ZSRj00000002rROAQ,446,True
Control Panel Options,0ZSRj00000002rROAQ,52,True
Control Panel Upgrades,0ZSRj00000002rROAQ,29,True
Panel Auxiliary Options,0ZSRj00000002rROAQ,0,True
Solar,0ZSRj00000002rROAQ,22,True
Telemetry,0ZSRj00000002rROAQ,108,True
Air Compressor,0ZSRj00000002rROAQ,23,True
Below Ground Guidance,0ZSRj00000002rROAQ,24,True
Cam Lines,0ZSRj00000002rROAQ,5,True
Corner Overhang Package,0ZSRj00000002rROAQ,6,True
Corner Sensor Box,0ZSRj00000002rROAQ,18,True
Corner Sequencing,0ZSRj00000002rROAQ,14,True
Corner Span Package,0ZSRj00000002rROAQ,9,True
Corner Spans and Overhangs,0ZSRj00000002rROAQ,23,True
Corner Upgrade,0ZSRj00000002rROAQ,9,True
Encompass,0ZSRj00000002rROAQ,44,True
GPS Guidance,0ZSRj00000002rROAQ,79,True
LRDU,0ZSRj00000002rROAQ,86,True
Sprinkler,0ZSRj00000002rROAQ,30,True
Steerable Drive Unit,0ZSRj00000002rROAQ,65,True
Tubing Harnesses,0ZSRj00000002rROAQ,28,True
Center Drive Repair,0ZSRj00000002rROAQ,159,True
Complete Center Drives,0ZSRj00000002rROAQ,48,True
Complete Gearboxes,0ZSRj00000002rROAQ,43,True
Drive Shaft Shields,0ZSRj00000002rROAQ,21,True
Drive Shafts,0ZSRj00000002rROAQ,63,True
Drive Train Conversions,0ZSRj00000002rROAQ,14,True
Engine Drive,0ZSRj00000002rROAQ,5,True
Gear Lube,0ZSRj00000002rROAQ,0,True
Gearbox Repair,0ZSRj00000002rROAQ,212,True
Tires and Rims,0ZSRj00000002rROAQ,183,True
T-L Conversion,0ZSRj00000002rROAQ,0,True
U-Joints,0ZSRj00000002rROAQ,16,True
Complete Tower Boxes,0ZSRj00000002rROAQ,90,True
Pivot Alignment,0ZSRj00000002rROAQ,80,True
Solid State Motor Controller,0ZSRj00000002rROAQ,0,True
Tower Box Conversion,0ZSRj00000002rROAQ,42,True
Tower Box Mechanical,0ZSRj00000002rROAQ,46,True
Tower Box Upgrades,0ZSRj00000002rROAQ,9,True
X-Tec,0ZSRj00000002rROAQ,5,True
Batteries,0ZSRj00000002rROAQ,0,True
Cable Accessories,0ZSRj00000002rROAQ,132,True
Collector Rings,0ZSRj00000002rROAQ,38,True
Control Boards and Modules,0ZSRj00000002rROAQ,88,True
Din Rails and Snap Tracks,0ZSRj00000002rROAQ,41,True
Electrical Cables,0ZSRj00000002rROAQ,379,True
Electrical Contactors,0ZSRj00000002rROAQ,27,True
Electrical Disconnect,0ZSRj00000002rROAQ,20,True
Electrical Meters,0ZSRj00000002rROAQ,6,True
Electrical Protective Devices,0ZSRj00000002rROAQ,33,True
Electrical Timers,0ZSRj00000002rROAQ,1,True
Electrical Transformers,0ZSRj00000002rROAQ,16,True
Electrical Wire,0ZSRj00000002rROAQ,2160,True
Fuses & Circuit Breakers,0ZSRj00000002rROAQ,149,True
Micro Switches,0ZSRj00000002rROAQ,79,True
Percent Timers,0ZSRj00000002rROAQ,14,True
Power Supply,0ZSRj00000002rROAQ,24,True
Pressure Transducers,0ZSRj00000002rROAQ,16,True
Relays,0ZSRj00000002rROAQ,64,True
Solenoids,0ZSRj00000002rROAQ,10,True
Speciality Cables,0ZSRj00000002rROAQ,64,True
Switches,0ZSRj00000002rROAQ,1,True
Terminal Strips,0ZSRj00000002rROAQ,0,True
3 Wheel Drive,0ZSRj00000002rROAQ,6,True
Agri-TRAC,0ZSRj00000002rROAQ,5,True
Articulating 4-Wheel Drive,0ZSRj00000002rROAQ,6,True
Articulating Track Drive,0ZSRj00000002rROAQ,1,True
Loegering Tracks,0ZSRj00000002rROAQ,5,True
RAAFT Track,0ZSRj00000002rROAQ,9,True
Spider Wheel,0ZSRj00000002rROAQ,4,True
Track Drive,0ZSRj00000002rROAQ,3,True
Below Ground Guidance,0ZSRj00000002rROAQ,44,True
Furrow Guidance,0ZSRj00000002rROAQ,22,True
GPS Guidance,0ZSRj00000002rROAQ,156,True
Inlet Components,0ZSRj00000002rROAQ,170,True
Linear Alignment,0ZSRj00000002rROAQ,37,True
Linear Carts,0ZSRj00000002rROAQ,187,True
Linear Options,0ZSRj00000002rROAQ,12,True
Power Pedestal,0ZSRj00000002rROAQ,9,True
Bender Options,0ZSRj00000002rROAQ,30,True
Booster Pumps,0ZSRj00000002rROAQ,64,True
Cable Protection Options,0ZSRj00000002rROAQ,18,True
Drive Unit Auto-Reverse Options,0ZSRj00000002rROAQ,8,True
Drop Span Options,0ZSRj00000002rROAQ,30,True
End Gun Control Options,0ZSRj00000002rROAQ,19,True
End of Field Stops Options,0ZSRj00000002rROAQ,49,True
Pump Connect,0ZSRj00000002rROAQ,50,True
Running Lights,0ZSRj00000002rROAQ,39,True
Installation Manuals,0ZSRj00000002rROAQ,0,True
Owner's Manuals,0ZSRj00000002rROAQ,0,True
