CatalogId,IsNavigational,Name,NumberOfProducts,ParentCategoryId
0ZSRj00000002rROAQ,True,Ancillary,593,
0ZSRj00000002rROAQ,True,Control Technology,960,
0ZSRj00000002rROAQ,True,Corner,478,
0ZSRj00000002rROAQ,True,Drive Train,764,
0ZSRj00000002rROAQ,True,Drive Unit Controls,272,
0ZSRj00000002rROAQ,True,Electrical Components,3460,
0ZSRj00000002rROAQ,True,Flotation,39,
0ZSRj00000002rROAQ,True,Linears,527,
0ZSRj00000002rROAQ,True,Machine Options,396,
0ZSRj00000002rROAQ,True,Manuals,46,
0ZSRj00000002rROAQ,True,Service Tools,57,
0ZSRj00000002rROAQ,True,Span Accessories,1372,
0ZSRj00000002rROAQ,True,Sprinklers,1565,
0ZSRj00000002rROAQ,True,Structural,2096,
0ZSRj00000002rROAQ,True,Merchandising,7,
