CatalogId,ParentCategoryId,Name,IsNavigational
0ZSRj00000002rROAQ,,Ancillary Valves,True
0ZSRj00000002rROAQ,,Butterfly Valves,True
0ZSRj00000002rROAQ,,Direct Buried Cable,True
0ZSRj00000002rROAQ,,Disconnect Panels,True
0ZSRj00000002rROAQ,,Fertigation and Chemigation,True
0ZSRj00000002rROAQ,,Flowmeters,True
0ZSRj00000002rROAQ,,Generators and Engines,True
0ZSRj00000002rROAQ,,Hook-Up Options,True
0ZSRj00000002rROAQ,,Phase Converters,True
0ZSRj00000002rROAQ,,Pump Panels,True
0ZSRj00000002rROAQ,,Ring Lock Fittings,True
0ZSRj00000002rROAQ,,Soft Starters,True
0ZSRj00000002rROAQ,,Steel Tubing,True
0ZSRj00000002rROAQ,,Variable Frequency Drives,True
0ZSRj00000002rROAQ,,Control Valves,True
0ZSRj00000002rROAQ,,Pumping Options,True
0ZSRj00000002rROAQ,,AgSense,True
0ZSRj00000002rROAQ,,Complete Control Panels,True
0ZSRj00000002rROAQ,,Control Panel Options,True
0ZSRj00000002rROAQ,,Control Panel Upgrades,True
0ZSRj00000002rROAQ,,Panel Auxiliary Options,True
0ZSRj00000002rROAQ,,Solar,True
0ZSRj00000002rROAQ,,Telemetry,True
0ZSRj00000002rROAQ,,Control Panel Repair,True
0ZSRj00000002rROAQ,,Pump Control Options,True
0ZSRj00000002rROAQ,,Air Compressor,True
0ZSRj00000002rROAQ,,Below Ground Guidance,True
0ZSRj00000002rROAQ,,Cam Lines,True
0ZSRj00000002rROAQ,,Corner Overhang Package,True
0ZSRj00000002rROAQ,,Corner Sensor Box,True
0ZSRj00000002rROAQ,,Corner Sequencing,True
0ZSRj00000002rROAQ,,Corner Span Package,True
0ZSRj00000002rROAQ,,Corner Spans and Overhangs,True
0ZSRj00000002rROAQ,,Corner Upgrade,True
0ZSRj00000002rROAQ,,Encompass,True
0ZSRj00000002rROAQ,,GPS Guidance,True
0ZSRj00000002rROAQ,,LRDU,True
0ZSRj00000002rROAQ,,Sprinkler,True
0ZSRj00000002rROAQ,,Steerable Drive Unit,True
0ZSRj00000002rROAQ,,Tubing Harnesses,True
0ZSRj00000002rROAQ,,Center Drive Repair,True
0ZSRj00000002rROAQ,,Complete Center Drives,True
0ZSRj00000002rROAQ,,Complete Gearboxes,True
0ZSRj00000002rROAQ,,Drive Shaft Shields,True
0ZSRj00000002rROAQ,,Drive Shafts,True
0ZSRj00000002rROAQ,,Drive Train Conversions,True
0ZSRj00000002rROAQ,,Engine Drive,True
0ZSRj00000002rROAQ,,Gear Lube,True
0ZSRj00000002rROAQ,,Gearbox Repair,True
0ZSRj00000002rROAQ,,Tires and Rims,True
0ZSRj00000002rROAQ,,T-L Conversion,True
0ZSRj00000002rROAQ,,U-Joints,True
0ZSRj00000002rROAQ,,Complete Tower Boxes,True
0ZSRj00000002rROAQ,,Pivot Alignment,True
0ZSRj00000002rROAQ,,Solid State Motor Controller,True
0ZSRj00000002rROAQ,,Tower Box Conversion,True
0ZSRj00000002rROAQ,,Tower Box Mechanical,True
0ZSRj00000002rROAQ,,Tower Box Upgrades,True
0ZSRj00000002rROAQ,,X-Tec,True
0ZSRj00000002rROAQ,,Batteries,True
0ZSRj00000002rROAQ,,Cable Accessories,True
0ZSRj00000002rROAQ,,Collector Rings,True
0ZSRj00000002rROAQ,,Control Boards and Modules,True
0ZSRj00000002rROAQ,,Din Rails and Snap Tracks,True
0ZSRj00000002rROAQ,,Electrical Cables,True
0ZSRj00000002rROAQ,,Electrical Contactors,True
0ZSRj00000002rROAQ,,Electrical Disconnect,True
0ZSRj00000002rROAQ,,Electrical Meters,True
0ZSRj00000002rROAQ,,Electrical Protective Devices,True
0ZSRj00000002rROAQ,,Electrical Timers,True
0ZSRj00000002rROAQ,,Electrical Transformers,True
0ZSRj00000002rROAQ,,Electrical Wire,True
0ZSRj00000002rROAQ,,Fuses & Circuit Breakers,True
0ZSRj00000002rROAQ,,Micro Switches,True
0ZSRj00000002rROAQ,,Percent Timers,True
0ZSRj00000002rROAQ,,Power Supply,True
0ZSRj00000002rROAQ,,Pressure Transducers,True
0ZSRj00000002rROAQ,,Relays,True
0ZSRj00000002rROAQ,,Solenoids,True
0ZSRj00000002rROAQ,,Speciality Cables,True
0ZSRj00000002rROAQ,,Switches,True
0ZSRj00000002rROAQ,,Terminal Strips,True
0ZSRj00000002rROAQ,,Battery,True
0ZSRj00000002rROAQ,,Electrical Relays and Bases,True
0ZSRj00000002rROAQ,,Pressure Switches,True
0ZSRj00000002rROAQ,,Terminal Options,True
0ZSRj00000002rROAQ,,3 Wheel Drive,True
0ZSRj00000002rROAQ,,Agri-TRAC,True
0ZSRj00000002rROAQ,,Articulating 4-Wheel Drive,True
0ZSRj00000002rROAQ,,Articulating Track Drive,True
0ZSRj00000002rROAQ,,Loegering Tracks,True
0ZSRj00000002rROAQ,,RAAFT Track,True
0ZSRj00000002rROAQ,,Spider Wheel,True
0ZSRj00000002rROAQ,,Track Drive,True
0ZSRj00000002rROAQ,,Below Ground Guidance,True
