tvnt__Question__c,tvnt__Section__c,tvnt__Parent_Question_Association__c,tvnt__Questionnaire__c,Name,tvnt__Display_criteria__c,tvnt__Sequence__c,tvnt__Matching_criteria__c,CurrencyIsoCode,tvnt__Mandatory__c
a8dVF0000008f5DYAQ,a8hVF000000c6FoYAI,,a8gVF00001SkYVmYAN,Electrical Validation,,9.0,Any,USD,False
a8dVF0000008f5AYAQ,a8hVF000000c6FoYAI,,a8gVF00001SkYVmYAN,Other (Pump Failure),Other (Pump Failure),7.0,Any,USD,False
a8dVF0000008f5CYAQ,a8hVF000000c6FoYAI,,a8gVF00001SkYVmYAN,Booster Pump Failure Type,,6.0,Any,USD,False
a8dVF0000008f5AYAQ,a8hVF000000c6FoYAI,,a8gVF00001SkYVmYAN,Other (Motor Failure),Other (Motor Failure),5.0,Any,USD,False
a8dVF0000008f5BYAQ,a8hVF000000c6FoYAI,,a8gVF00001SkYVmYAN,Motor Failure Type,,3.0,Any,USD,False
a8dVF0000008f5AYAQ,a8hVF000000c6FhYAI,,a8gVF00001SkYVmYAN,Other,Other (Gearbox Failure),3.0,Any,USD,False
a8dVF0000008f59YAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVmYAN,Gear Box Failure Type,,2.0,Any,USD,False
a8dVF0000008f58YAA,a8hVF000000c6FiYAI,,a8gVF00001SkYVmYAN,Type of Power Supply,,8.0,Any,USD,True
a8dVF0000008f7fYAA,a8hVF000000c6FoYAI,,a8gVF00001SkYVmYAN,Detail Motor Failure by Examination,,8.0,Any,USD,False
a8dVF0000008f57YAA,a8hVF000000c6FiYAI,,a8gVF00001SkYVmYAN,Serial # (from nameplate),,7.0,Any,USD,True
a8dVF0000008f56YAA,a8hVF000000c6FiYAI,,a8gVF00001SkYVmYAN,Failed Part #,,6.0,Any,USD,True
a8dVF0000008f55YAA,a8hVF000000c6FiYAI,,a8gVF00001SkYVmYAN,Failed Tower #,,5.0,Any,USD,True
a8dVF0000008f54YAA,a8hVF000000c6FiYAI,,a8gVF00001SkYVmYAN,Date Installed,,4.0,Any,USD,True
a8dVF0000008f52YAA,a8hVF000000c6FiYAI,,a8gVF00001SkYVmYAN,Dealer Name & No.,,2.0,,USD,True
a8dVF0000008f53YAA,a8hVF000000c6FiYAI,,a8gVF00001SkYVmYAN,Parent Order #,,3.0,Any,USD,True
a8dVF0000008f51YAA,a8hVF000000c6FiYAI,,a8gVF00001SkYVmYAN,Claim #,,1.0,Any,USD,True
a8dVF0000008f7dYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVmYAN,Identify Gear Box (check applicable photo),,1.0,Any,USD,True
a8dVF0000008f4aYAA,a8hVF000000c6FlYAI,,a8gVF00001SkYVnYAN,3.1 – Failure Code Category,,12.0,,USD,True
a8dVF0000008f4ZYAQ,a8hVF000000c6FkYAI,,a8gVF00001SkYVnYAN,2.3 – Description of Failure,,11.0,,USD,False
a8dVF0000008f4XYAQ,a8hVF000000c6FkYAI,,a8gVF00001SkYVnYAN,2.2 – A‑B‑A Swap Method Confirmation,,10.0,,USD,False
a8dVF0000008f4PYAQ,a8hVF000000c6FkYAI,,a8gVF00001SkYVnYAN,2.1 – Frequency / Time of Occurrence,,9.0,,USD,True
a8dVF0000008f4VYAQ,a8hVF000000c6FjYAI,,a8gVF00001SkYVnYAN,1.6 – Technician Name,,6.0,,USD,True
a8dVF0000008f4YYAQ,a8hVF000000c6FjYAI,,a8gVF00001SkYVnYAN,1.8 – Dealer Service Case Number,,8.0,,USD,False
a8dVF0000008f4WYAQ,a8hVF000000c6FjYAI,,a8gVF00001SkYVnYAN,1.7 – External Temperature at Time of Failure,,7.0,,USD,True
a8dVF0000008f4UYAQ,a8hVF000000c6FjYAI,,a8gVF00001SkYVnYAN,1.5 – Hours on Module,,5.0,,USD,True
a8dVF0000008f4TYAQ,a8hVF000000c6FjYAI,,a8gVF00001SkYVnYAN,1.4 – Date Installed (MM/YYYY),,4.0,,USD,True
a8dVF0000008f4SYAQ,a8hVF000000c6FjYAI,,a8gVF00001SkYVnYAN,1.3 – Parent Order #,,3.0,,USD,True
a8dVF0000008f4RYAQ,a8hVF000000c6FjYAI,,a8gVF00001SkYVnYAN,1.2 – Part #,,2.0,,USD,True
a8dVF0000008f4QYAQ,a8hVF000000c6FjYAI,,a8gVF00001SkYVnYAN,1.1 – Claim #,,1.0,,USD,True
a8dVF0000008f7eYAA,a8hVF000000c6FnYAI,,a8gVF00001SkYVoYAN,Gearbox Type Selection,,24.0,,USD,False
a8dVF0000008f4wYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,"Failure Code (Seal,Oil / Bearing / Other)",,22.0,,USD,True
a8dVF0000008f4vYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Bearing Failure,,21.0,,USD,False
a8dVF0000008f4uYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Solid State Motor Controller on Tower,,20.0,,USD,False
a8dVF0000008f4tYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Bow in Alignment,,19.0,,USD,False
a8dVF0000008f4sYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Direction of Travel,,18.0,,USD,False
a8dVF0000008f4rYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Shims Present,,17.0,,USD,False
a8dVF0000008f4qYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Oil Present and Full,,16.0,,USD,False
a8dVF0000008f4pYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Crop or Crop Rotation,,15.0,,USD,False
a8dVF0000008f4oYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Soil Type,,14.0,,USD,True
a8dVF0000008f4mYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Maintenance Program – Schedule,,12.0,,USD,True
a8dVF0000008f4lYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Tire Size,,11.0,,USD,True
a8dVF0000008f4kYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Centerdrive RPM,,10.0,,USD,True
a8dVF0000008f4jYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Hours on Machine,,9.0,,USD,True
a8dVF0000008f4iYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,GPS Coordinates,,8.0,,USD,True
a8dVF0000008f4hYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Front or Rear,,7.0,,USD,True
a8dVF0000008f4fYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Tower,,6.0,,USD,False
a8dVF0000008f4TYAQ,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Date Installed,,5.0,,USD,True
a8dVF0000008f4gYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Parent Order,,4.0,,USD,True
a8dVF0000008f4eYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Failure Mode,,3.0,,USD,True
a8dVF0000008f4nYAA,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Terrain Type,,13.0,,USD,True
a8dVF0000008f4RYAQ,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Part Number,,2.0,,USD,True
a8dVF0000008f4QYAQ,a8hVF000000c6FhYAI,,a8gVF00001SkYVoYAN,Claim Number,,1.0,,USD,True
