tvnt__Question__c,tvnt__Section__c,tvnt__Parent_Question_Association__c,tvnt__Questionnaire__c,Name,tvnt__Display_criteria__c,tvnt__Sequence__c,tvnt__Matching_criteria__c,CurrencyIsoCode,tvnt__Mandatory__c
a8Scf000000oD25EAE,a8Wcf000000H5mTEAS,,a8Vcf0000000YuXEAU,Electrical Validation,,9.0,Any,USD,False
a8Scf000000oCsPEAU,a8Wcf000000H5mTEAS,,a8Vcf0000000YuXEAU,Other (Pump Failure),Other (Pump Failure),7.0,Any,USD,False
a8Scf000000oCvdEAE,a8Wcf000000H5mTEAS,,a8Vcf0000000YuXEAU,Booster Pump Failure Type,,6.0,Any,USD,False
a8Scf000000oCsPEAU,a8Wcf000000H5mTEAS,,a8Vcf0000000YuXEAU,Other (Motor Failure),Other (Motor Failure),5.0,Any,USD,False
a8Scf000000oCu1EAE,a8Wcf000000H5mTEAS,,a8Vcf0000000YuXEAU,Motor Failure Type,,3.0,Any,USD,False
a8Scf000000oCsPEAU,a8Wcf000000BvMLEA0,,a8Vcf0000000YuXEAU,Other,Other (Gearbox Failure),3.0,Any,USD,False
a8Scf000000oCqnEAE,a8Wcf000000BvMLEA0,,a8Vcf0000000YuXEAU,Gear Box Failure Type,,2.0,Any,USD,False
a8Scf000000oCpBEAU,a8Wcf000000BvNxEAK,,a8Vcf0000000YuXEAU,Type of Power Supply,,8.0,Any,USD,True
a8Scf000000oCyrEAE,a8Wcf000000H5mTEAS,,a8Vcf0000000YuXEAU,Detail Motor Failure by Examination,,8.0,Any,USD,False
a8Scf000000oCnZEAU,a8Wcf000000BvNxEAK,,a8Vcf0000000YuXEAU,Serial # (from nameplate),,7.0,Any,USD,True
a8Scf000000oClxEAE,a8Wcf000000BvNxEAK,,a8Vcf0000000YuXEAU,Failed Part #,,6.0,Any,USD,True
a8Scf000000oCkLEAU,a8Wcf000000BvNxEAK,,a8Vcf0000000YuXEAU,Failed Tower #,,5.0,Any,USD,True
a8Scf000000oCijEAE,a8Wcf000000BvNxEAK,,a8Vcf0000000YuXEAU,Date Installed,,4.0,Any,USD,True
a8Scf000000oCfVEAU,a8Wcf000000BvNxEAK,,a8Vcf0000000YuXEAU,Dealer Name & No.,,2.0,,USD,True
a8Scf000000oCh7EAE,a8Wcf000000BvNxEAK,,a8Vcf0000000YuXEAU,Parent Order #,,3.0,Any,USD,True
