Name,CatalogId,ParentCategoryId,IsNavigational,CreatedDate
Products,0ZSRj00000002rROAQ,,True,2024-07-22T17:04:41.000+0000
Ancillary,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True,2024-07-22T19:16:29.000+0000
Control Technology,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True,2024-07-22T19:16:29.000+0000
Corner,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True,2024-07-22T19:16:29.000+0000
Drive Train,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True,2024-07-22T19:16:29.000+0000
Drive Unit Controls,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True,2024-07-22T19:16:29.000+0000
Electrical Components,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True,2024-07-22T19:16:29.000+0000
Flotation,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True,2024-07-22T19:16:29.000+0000
Linears,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True,2024-07-22T19:16:29.000+0000
Machine Options,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True,2024-07-22T19:16:29.000+0000
Manuals,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True,2024-07-22T19:16:29.000+0000
Service Tools,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True,2024-07-22T19:16:29.000+0000
Span Accessories,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True,2024-07-22T19:16:29.000+0000
Sprinklers,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True,2024-07-22T19:16:29.000+0000
Structural,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True,2024-07-22T19:16:29.000+0000
Ancillary Valves,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True,2024-07-22T19:21:11.000+0000
Butterfly Valves,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True,2024-07-22T19:21:11.000+0000
Direct Buried Cable,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True,2024-07-22T19:21:11.000+0000
Disconnect Panels,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True,2024-07-22T19:21:11.000+0000
Fertigation and Chemigation,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True,2024-07-22T19:21:11.000+0000
Flowmeters,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True,2024-07-22T19:21:11.000+0000
Generators and Engines,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True,2024-07-22T19:21:11.000+0000
Hook-Up Options,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True,2024-07-22T19:21:11.000+0000
Phase Converters,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True,2024-07-22T19:21:11.000+0000
Pump Panels,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True,2024-07-22T19:21:11.000+0000
Ring Lock Fittings,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True,2024-07-22T19:21:11.000+0000
Soft Starters,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True,2024-07-22T19:21:11.000+0000
Steel Tubing,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True,2024-07-22T19:21:11.000+0000
Variable Frequency Drives,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True,2024-07-22T19:21:11.000+0000
AgSense,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,True,2024-07-22T19:21:11.000+0000
Complete Control Panels,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,True,2024-07-22T19:21:11.000+0000
Control Panel Options,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,True,2024-07-22T19:21:11.000+0000
Control Panel Upgrades,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,True,2024-07-22T19:21:11.000+0000
Panel Auxiliary Options,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,True,2024-07-22T19:21:11.000+0000
Solar,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,True,2024-07-22T19:21:11.000+0000
Telemetry,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,True,2024-07-22T19:21:11.000+0000
Air Compressor,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,True,2024-07-22T19:21:11.000+0000
Below Ground Guidance,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,True,2024-07-22T19:21:11.000+0000
Cam Lines,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,True,2024-07-22T19:21:11.000+0000
Corner Overhang Package,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,True,2024-07-22T19:21:11.000+0000
Corner Sensor Box,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,True,2024-07-22T19:21:11.000+0000
Corner Sequencing,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,True,2024-07-22T19:21:11.000+0000
Corner Span Package,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,True,2024-07-22T19:21:11.000+0000
Corner Spans and Overhangs,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,True,2024-07-22T19:21:11.000+0000
