Name,CatalogId,IsNavigational,ParentCategoryId
Ancillary,0ZScf0000001NgvGAE,True,0ZGcf0000001PlxGAE
Control Technology,0ZScf0000001NgvGAE,True,0ZGcf0000001PlxGAE
Corner,0ZScf0000001NgvGAE,True,0ZGcf0000001PlxGAE
Drive Train,0ZScf0000001NgvGAE,True,0ZGcf0000001PlxGAE
Drive Unit Controls,0ZScf0000001NgvGAE,True,0ZGcf0000001PlxGAE
Electrical Components,0ZScf0000001NgvGAE,True,0ZGcf0000001PlxGAE
Flotation,0ZScf0000001NgvGAE,True,0ZGcf0000001PlxGAE
Linears,0ZScf0000001NgvGAE,True,0ZGcf0000001PlxGAE
Machine Options,0ZScf0000001NgvGAE,True,0ZGcf0000001PlxGAE
Manuals,0ZScf0000001NgvGAE,True,0ZGcf0000001PlxGAE
Service Tools,0ZScf0000001NgvGAE,True,0ZGcf0000001PlxGAE
Span Accessories,0ZScf0000001NgvGAE,True,0ZGcf0000001PlxGAE
Sprinklers,0ZScf0000001NgvGAE,True,0ZGcf0000001PlxGAE
Structural,0ZScf0000001NgvGAE,True,0ZGcf0000001PlxGAE
Merchandising,0ZScf0000001NgvGAE,True,0ZGcf0000001PlxGAE
