Name,WOD_2__Status__c,VRM_External_Id__c,VRM_Category__c,VRM_SubCategory__c,VRM_Failure_Resolution_Code__c
FaultCode1,True,Ancillary-Ancillary Valves-Coil Failure-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDhGAM,a83cf0000002qSLAAY
FaultCode2,True,Ancillary-Ancillary Valves-Mis-manufactured-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDhGAM,a83cf0000002qSMAAY
FaultCode3,True,Ancillary-Ancillary Valves-Leaking-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDhGAM,a83cf0000002qSNAAY
FaultCode4,True,Ancillary-Ancillary Valves-Won't close-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDhGAM,a83cf0000002qSOAAY
FaultCode5,True,Ancillary-Ancillary Valves-Other -- Fill in Comments-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDhGAM,a83cf0000002qSPAAY
FaultCode6,True,Ancillary-Ancillary Valves-Part Dimensions Incorrect-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDhGAM,a83cf0000002qSQAAY
FaultCode7,True,Ancillary-Ancillary Valves-Shipment Damage-Replace Component-0hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDhGAM,a83cf0000002qSRAAY
FaultCode8,True,Ancillary-Butterfly Valves-Coil Failure-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDiGAM,a83cf0000002qSLAAY
FaultCode9,True,Ancillary-Butterfly Valves-Leaking-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDiGAM,a83cf0000002qSNAAY
FaultCode10,True,Ancillary-Butterfly Valves-Won't close-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDiGAM,a83cf0000002qSOAAY
FaultCode11,True,Ancillary-Butterfly Valves-Other -- Fill in Comments-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDiGAM,a83cf0000002qSPAAY
FaultCode12,True,Ancillary-Butterfly Valves-Shipment Damage-Replace Component-0hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDiGAM,a83cf0000002qSRAAY
FaultCode13,True,Ancillary-Control Valves-Coil Failure-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDvGAM,a83cf0000002qSLAAY
FaultCode14,True,Ancillary-Control Valves-Leaking-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDvGAM,a83cf0000002qSNAAY
FaultCode15,True,Ancillary-Control Valves-Won't close-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDvGAM,a83cf0000002qSOAAY
FaultCode16,True,Ancillary-Control Valves-Other -- Fill in Comments-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDvGAM,a83cf0000002qSPAAY
FaultCode17,True,Ancillary-Control Valves-Shipment Damage-Replace Component-0hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDvGAM,a83cf0000002qSRAAY
FaultCode18,True,Ancillary-Control Valves-Will Not Rotate-Replace Component-1.5hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDvGAM,a83cf0000002qSSAAY
FaultCode19,True,Ancillary-Disconnect Panels-Calibration changed/out of spec-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDkGAM,a83cf0000002qSTAAY
FaultCode20,True,Ancillary-Disconnect Panels-Contact Points Burned-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDkGAM,a83cf0000002qSUAAY
FaultCode21,True,Ancillary-Disconnect Panels-Contactor Chattering-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDkGAM,a83cf0000002qSVAAY
FaultCode22,True,Ancillary-Disconnect Panels-Contactor Locked in-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDkGAM,a83cf0000002qSWAAY
FaultCode23,True,Ancillary-Disconnect Panels-Contactor not pulling in-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDkGAM,a83cf0000002qSXAAY
FaultCode24,True,Ancillary-Disconnect Panels-Disconnect Switch Fails Closed-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDkGAM,a83cf0000002qSYAAY
FaultCode25,True,Ancillary-Disconnect Panels-Disconnect Switch Fails Open-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDkGAM,a83cf0000002qSZAAY
FaultCode26,True,Ancillary-Disconnect Panels-Electrical Component Failure-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDkGAM,a83cf0000002qSaAAI
FaultCode27,True,Ancillary-Disconnect Panels-Electrical Specs Not Met-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDkGAM,a83cf0000002qSbAAI
FaultCode28,True,Ancillary-Disconnect Panels-Fuse Block Defective-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDkGAM,a83cf0000002qScAAI
FaultCode29,True,Ancillary-Disconnect Panels-Grounding Block Defective-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDkGAM,a83cf0000002qSdAAI
FaultCode30,True,Ancillary-Disconnect Panels-Housing Damaged-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDkGAM,a83cf0000002qSeAAI
FaultCode31,True,Ancillary-Disconnect Panels-Intermittent Operations-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDkGAM,a83cf0000002qSfAAI
FaultCode32,True,Ancillary-Disconnect Panels-Leads corroded/broken-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDkGAM,a83cf0000002qSgAAI
