Name,CatalogId,ParentCategoryId,Description,NumberOfProducts,IsNavigational
Products,0ZSRj00000002rROAQ,,,0,True
Ancillary,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,,593,True
Control Technology,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,,960,True
Corner,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,,478,True
Drive Train,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,,764,True
Drive Unit Controls,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,,272,True
Electrical Components,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,,3460,True
Flotation,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,,39,True
Linears,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,,527,True
Machine Options,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,,396,True
Manuals,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,,46,True
Service Tools,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,,57,True
Span Accessories,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,,1372,True
Sprinklers,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,,1565,True
Structural,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,,2096,True
Ancillary Valves,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,,12,True
Butterfly Valves,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,,19,True
Direct Buried Cable,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,,20,True
Disconnect Panels,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,,14,True
Fertigation and Chemigation,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,,39,True
Flowmeters,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,,50,True
Generators and Engines,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,,36,True
Hook-Up Options,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,,22,True
Phase Converters,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,,32,True
Pump Panels,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,,18,True
Ring Lock Fittings,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,,29,True
Soft Starters,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,,52,True
Steel Tubing,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,,33,True
Variable Frequency Drives,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,,135,True
AgSense,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,,168,True
Complete Control Panels,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,,446,True
Control Panel Options,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,,52,True
Control Panel Upgrades,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,,29,True
Panel Auxiliary Options,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,,0,True
Solar,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,,22,True
Telemetry,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,,108,True
Air Compressor,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,,23,True
Below Ground Guidance,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,,24,True
Cam Lines,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,,5,True
Corner Overhang Package,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,,6,True
Corner Sensor Box,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,,18,True
