Name,CurrencyIsoCode,CatalogId,ParentCategoryId,NumberOfProducts,IsNavigational
Products,USD,0ZSRj00000002rROAQ,,0,True
Ancillary,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,593,True
Control Technology,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,960,True
Corner,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,478,True
Drive Train,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,764,True
Drive Unit Controls,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,272,True
Electrical Components,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,3460,True
Flotation,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,39,True
Linears,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,527,True
Machine Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,396,True
Manuals,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,46,True
Service Tools,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,57,True
Span Accessories,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,1372,True
Sprinklers,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,1565,True
Structural,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,2096,True
Ancillary Valves,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,12,True
Butterfly Valves,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,19,True
Direct Buried Cable,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,20,True
Disconnect Panels,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,14,True
Fertigation and Chemigation,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,39,True
Flowmeters,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,50,True
Generators and Engines,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,36,True
Hook-Up Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,22,True
Phase Converters,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,32,True
Pump Panels,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,18,True
Ring Lock Fittings,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,29,True
Soft Starters,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,52,True
Steel Tubing,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,33,True
Variable Frequency Drives,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,135,True
AgSense,USD,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,168,True
Complete Control Panels,USD,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,446,True
Control Panel Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,52,True
Control Panel Upgrades,USD,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,29,True
Panel Auxiliary Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,0,True
Solar,USD,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,22,True
Telemetry,USD,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,108,True
Air Compressor,USD,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,23,True
Below Ground Guidance,USD,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,24,True
Cam Lines,USD,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,5,True
Corner Overhang Package,USD,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,6,True
Corner Sensor Box,USD,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,18,True
Corner Sequencing,USD,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,14,True
Corner Span Package,USD,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,9,True
Corner Spans and Overhangs,USD,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,23,True
Corner Upgrade,USD,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,9,True
Encompass,USD,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,44,True
GPS Guidance,USD,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,79,True
LRDU,USD,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,86,True
Sprinkler,USD,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,30,True
Steerable Drive Unit,USD,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,65,True
Tubing Harnesses,USD,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,28,True
Center Drive Repair,USD,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,159,True
Complete Center Drives,USD,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,48,True
Complete Gearboxes,USD,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,43,True
Drive Shaft Shields,USD,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,21,True
Drive Shafts,USD,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,63,True
Drive Train Conversions,USD,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,14,True
Engine Drive,USD,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,5,True
Gear Lube,USD,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,0,True
Gearbox Repair,USD,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,212,True
Tires and Rims,USD,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,183,True
T-L Conversion,USD,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,0,True
U-Joints,USD,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,16,True
Complete Tower Boxes,USD,0ZSRj00000002rROAQ,0ZGRj00000002t7OAA,90,True
Pivot Alignment,USD,0ZSRj00000002rROAQ,0ZGRj00000002t7OAA,80,True
Solid State Motor Controller,USD,0ZSRj00000002rROAQ,0ZGRj00000002t7OAA,0,True
Tower Box Conversion,USD,0ZSRj00000002rROAQ,0ZGRj00000002t7OAA,42,True
Tower Box Mechanical,USD,0ZSRj00000002rROAQ,0ZGRj00000002t7OAA,46,True
Tower Box Upgrades,USD,0ZSRj00000002rROAQ,0ZGRj00000002t7OAA,9,True
X-Tec,USD,0ZSRj00000002rROAQ,0ZGRj00000002t7OAA,5,True
Batteries,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,0,True
Cable Accessories,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,132,True
Collector Rings,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,38,True
Control Boards and Modules,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,88,True
Din Rails and Snap Tracks,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,41,True
Electrical Cables,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,379,True
Electrical Contactors,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,27,True
Electrical Disconnect,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,20,True
Electrical Meters,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,6,True
Electrical Protective Devices,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,33,True
Electrical Timers,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,1,True
Electrical Transformers,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,16,True
Electrical Wire,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,2160,True
Fuses & Circuit Breakers,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,149,True
Micro Switches,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,79,True
Percent Timers,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,14,True
Power Supply,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,24,True
Pressure Transducers,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,16,True
Relays,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,64,True
Solenoids,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,10,True
Speciality Cables,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,64,True
Switches,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,1,True
Terminal Strips,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,0,True
3 Wheel Drive,USD,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,6,True
Agri-TRAC,USD,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,5,True
Articulating 4-Wheel Drive,USD,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,6,True
Articulating Track Drive,USD,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,1,True
Loegering Tracks,USD,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,5,True
RAAFT Track,USD,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,9,True
Spider Wheel,USD,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,4,True
Track Drive,USD,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,3,True
Below Ground Guidance,USD,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,44,True
Furrow Guidance,USD,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,22,True
GPS Guidance,USD,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,156,True
Inlet Components,USD,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,170,True
Linear Alignment,USD,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,37,True
Linear Carts,USD,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,187,True
Linear Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,12,True
Power Pedestal,USD,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,9,True
Bender Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,30,True
Booster Pumps,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,64,True
Cable Protection Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,18,True
Drive Unit Auto-Reverse Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,8,True
Drop Span Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,30,True
End Gun Control Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,19,True
End of Field Stops Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,49,True
Pump Connect,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,50,True
Running Lights,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,39,True
Installation Manuals,USD,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,0,True
Owner's Manuals,USD,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,0,True
Electrical Tools,USD,0ZSRj00000002rROAQ,0ZGRj00000002tDOAQ,26,True
Field Mapping Tools,USD,0ZSRj00000002rROAQ,0ZGRj00000002tDOAQ,12,True
Mechanical Tools,USD,0ZSRj00000002rROAQ,0ZGRj00000002tDOAQ,19,True
Bracket and Mounts,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,154,True
Drains and Couplers,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,31,True
Fasteners,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,232,True
Flanges and End Plates,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,45,True
Flex Boots,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,24,True
Half Clamps,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,0,True
Hardware,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,575,True
Overhang Accessories,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,0,True
Overhang Cables,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,0,True
Rubber Gaskets,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,32,True
Span Clamps,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,68,True
Span Transitions,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,10,True
Truss Components,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,2,True
Weldment Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,65,True
Boombacks,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,83,True
Drop Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,126,True
End Guns,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,29,True
Fixed Sprays,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,95,True
Impact Sprinklers,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,11,True
Rotating Sprays,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,100,True
Sprinkler Fittings,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,255,True
Sprinkler Gauges,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,16,True
Sprinkler Nozzles,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,572,True
Sprinkler Regulators,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,83,True
Sprinkler Repair,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,123,True
U-Pipes,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,22,True
Valves,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,50,True
Add Span Packages,USD,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,58,True
Drive Unit Structure,USD,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,370,True
Overhang Packages,USD,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,10,True
Pipe & Stubs,USD,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,511,True
Pivot Flex Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,0,True
Pivot Point,USD,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,721,True
Truss Angles,USD,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,297,True
Truss Rods,USD,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,129,True
Battery,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,10,True
Electrical Relays and Bases,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,7,True
Overhang Cable,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,134,True
VRI,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,59,True
X-TEC Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,19,True
Control Valves,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,61,True
Control Panel Repair,USD,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,64,True
Pressure Switches,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,7,True
Terminal Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,74,True
Pumping Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,21,True
Merchandising,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,7,True
Miscellaneous Merchandising,USD,0ZSRj00000002rROAQ,0ZGRj00000003NhOAI,7,True
Above Ground Guidance,USD,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,7,True
Pump Control Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,14,True
Owner's Manual,USD,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,17,True
Installation Manual,USD,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,29,True
Machine Diagnostics,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,10,True
