CatalogId,IsNavigational,NumberOfProducts,Name,ParentCategoryId,CurrencyIsoCode
0ZSRj00000002rROAQ,True,0,Products,,USD
0ZSRj00000002rROAQ,True,593,Ancillary,,USD
0ZSRj00000002rROAQ,True,960,Control Technology,,USD
0ZSRj00000002rROAQ,True,478,Corner,,USD
0ZSRj00000002rROAQ,True,764,Drive Train,,USD
0ZSRj00000002rROAQ,True,272,Drive Unit Controls,,USD
0ZSRj00000002rROAQ,True,3460,Electrical Components,,USD
0ZSRj00000002rROAQ,True,39,Flotation,,USD
0ZSRj00000002rROAQ,True,527,Linears,,USD
0ZSRj00000002rROAQ,True,396,Machine Options,,USD
0ZSRj00000002rROAQ,True,46,Manuals,,USD
0ZSRj00000002rROAQ,True,57,Service Tools,,USD
0ZSRj00000002rROAQ,True,1372,Span Accessories,,USD
0ZSRj00000002rROAQ,True,1565,Sprinklers,,USD
0ZSRj00000002rROAQ,True,2096,Structural,,USD
0ZSRj00000002rROAQ,True,12,Ancillary Valves,,USD
0ZSRj00000002rROAQ,True,19,Butterfly Valves,,USD
0ZSRj00000002rROAQ,True,20,Direct Buried Cable,,USD
0ZSRj00000002rROAQ,True,14,Disconnect Panels,,USD
0ZSRj00000002rROAQ,True,39,Fertigation and Chemigation,,USD
0ZSRj00000002rROAQ,True,50,Flowmeters,,USD
0ZSRj00000002rROAQ,True,36,Generators and Engines,,USD
0ZSRj00000002rROAQ,True,22,Hook-Up Options,,USD
0ZSRj00000002rROAQ,True,32,Phase Converters,,USD
0ZSRj00000002rROAQ,True,18,Pump Panels,,USD
0ZSRj00000002rROAQ,True,29,Ring Lock Fittings,,USD
0ZSRj00000002rROAQ,True,52,Soft Starters,,USD
0ZSRj00000002rROAQ,True,33,Steel Tubing,,USD
0ZSRj00000002rROAQ,True,135,Variable Frequency Drives,,USD
0ZSRj00000002rROAQ,True,168,AgSense,,USD
0ZSRj00000002rROAQ,True,446,Complete Control Panels,,USD
0ZSRj00000002rROAQ,True,52,Control Panel Options,,USD
0ZSRj00000002rROAQ,True,29,Control Panel Upgrades,,USD
0ZSRj00000002rROAQ,True,0,Panel Auxiliary Options,,USD
0ZSRj00000002rROAQ,True,22,Solar,,USD
0ZSRj00000002rROAQ,True,108,Telemetry,,USD
0ZSRj00000002rROAQ,True,23,Air Compressor,,USD
0ZSRj00000002rROAQ,True,24,Below Ground Guidance,,USD
0ZSRj00000002rROAQ,True,5,Cam Lines,,USD
0ZSRj00000002rROAQ,True,6,Corner Overhang Package,,USD
0ZSRj00000002rROAQ,True,18,Corner Sensor Box,,USD
0ZSRj00000002rROAQ,True,14,Corner Sequencing,,USD
0ZSRj00000002rROAQ,True,9,Corner Span Package,,USD
0ZSRj00000002rROAQ,True,23,Corner Spans and Overhangs,,USD
0ZSRj00000002rROAQ,True,9,Corner Upgrade,,USD
0ZSRj00000002rROAQ,True,44,Encompass,,USD
0ZSRj00000002rROAQ,True,79,GPS Guidance,,USD
0ZSRj00000002rROAQ,True,86,LRDU,,USD
0ZSRj00000002rROAQ,True,30,Sprinkler,,USD
0ZSRj00000002rROAQ,True,65,Steerable Drive Unit,,USD
0ZSRj00000002rROAQ,True,28,Tubing Harnesses,,USD
0ZSRj00000002rROAQ,True,159,Center Drive Repair,,USD
0ZSRj00000002rROAQ,True,48,Complete Center Drives,,USD
0ZSRj00000002rROAQ,True,43,Complete Gearboxes,,USD
0ZSRj00000002rROAQ,True,21,Drive Shaft Shields,,USD
