Name,CurrencyIsoCode,CatalogId,ParentCategoryId,IsNavigational
Products,USD,0ZSRj00000002rROAQ,,True
Ancillary,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True
Control Technology,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True
Corner,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True
Drive Train,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True
Drive Unit Controls,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True
Electrical Components,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True
Flotation,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True
Linears,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True
Machine Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True
Manuals,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True
Service Tools,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True
Span Accessories,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True
Sprinklers,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True
Structural,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True
Ancillary Valves,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True
Butterfly Valves,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True
Direct Buried Cable,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True
Disconnect Panels,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True
Fertigation and Chemigation,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True
Flowmeters,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True
Generators and Engines,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True
Hook-Up Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True
Phase Converters,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True
