IsNavigational,CatalogId,Name,ParentCategoryId
True,0ZSRj00000002rROAQ,Ancillary,0ZGRj00000002rROAQ
True,0ZSRj00000002rROAQ,Control Technology,0ZGRj00000002rROAQ
True,0ZSRj00000002rROAQ,Corner,0ZGRj00000002rROAQ
True,0ZSRj00000002rROAQ,Drive Train,0ZGRj00000002rROAQ
True,0ZSRj00000002rROAQ,Drive Unit Controls,0ZGRj00000002rROAQ
True,0ZSRj00000002rROAQ,Electrical Components,0ZGRj00000002rROAQ
True,0ZSRj00000002rROAQ,Flotation,0ZGRj00000002rROAQ
True,0ZSRj00000002rROAQ,Linears,0ZGRj00000002rROAQ
True,0ZSRj00000002rROAQ,Machine Options,0ZGRj00000002rROAQ
True,0ZSRj00000002rROAQ,Manuals,0ZGRj00000002rROAQ
True,0ZSRj00000002rROAQ,Service Tools,0ZGRj00000002rROAQ
True,0ZSRj00000002rROAQ,Span Accessories,0ZGRj00000002rROAQ
True,0ZSRj00000002rROAQ,Sprinklers,0ZGRj00000002rROAQ
True,0ZSRj00000002rROAQ,Structural,0ZGRj00000002rROAQ
True,0ZSRj00000002rROAQ,Merchandising,0ZGRj00000002rROAQ
