VRM_SubCategory__c,VRM_External_Id__c,Name,VRM_Category__c,VRM_Failure_Resolution_Code__c,WOD_2__Status__c
0ZGVF0000002fGn4AI,Ancillary-Ancillary Valves-Coil Failure-Replace Component-1hr,FaultCode1,0ZGVF0000002fFB4AY,a85VF000000vQtpYAE,True
0ZGVF0000002fGn4AI,Ancillary-Ancillary Valves-Mis-manufactured-Replace Component-1hr,FaultCode2,0ZGVF0000002fFB4AY,a85VF000000vQtqYAE,True
0ZGVF0000002fGn4AI,Ancillary-Ancillary Valves-Leaking-Replace Component-1hr,FaultCode3,0ZGVF0000002fFB4AY,a85VF000000vQtrYAE,True
0ZGVF0000002fGn4AI,Ancillary-Ancillary Valves-Won't close-Replace Component-1hr,FaultCode4,0ZGVF0000002fFB4AY,a85VF000000vQtsYAE,True
0ZGVF0000002fGn4AI,Ancillary-Ancillary Valves-Other -- Fill in Comments-Replace Component-1hr,FaultCode5,0ZGVF0000002fFB4AY,a85VF000000vQttYAE,True
0ZGVF0000002fGn4AI,Ancillary-Ancillary Valves-Part Dimensions Incorrect-Replace Component-1hr,FaultCode6,0ZGVF0000002fFB4AY,a85VF000000vQtuYAE,True
0ZGVF0000002fGn4AI,Ancillary-Ancillary Valves-Shipment Damage-Replace Component-0hr,FaultCode7,0ZGVF0000002fFB4AY,a85VF000000vQtvYAE,True
0ZGVF0000002fGo4AI,Ancillary-Butterfly Valves-Coil Failure-Replace Component-1hr,FaultCode8,0ZGVF0000002fFB4AY,a85VF000000vQtpYAE,True
0ZGVF0000002fGo4AI,Ancillary-Butterfly Valves-Leaking-Replace Component-1hr,FaultCode9,0ZGVF0000002fFB4AY,a85VF000000vQtrYAE,True
0ZGVF0000002fGo4AI,Ancillary-Butterfly Valves-Won't close-Replace Component-1hr,FaultCode10,0ZGVF0000002fFB4AY,a85VF000000vQtsYAE,True
0ZGVF0000002fGo4AI,Ancillary-Butterfly Valves-Other -- Fill in Comments-Replace Component-1hr,FaultCode11,0ZGVF0000002fFB4AY,a85VF000000vQttYAE,True
0ZGVF0000002fGo4AI,Ancillary-Butterfly Valves-Shipment Damage-Replace Component-0hr,FaultCode12,0ZGVF0000002fFB4AY,a85VF000000vQtvYAE,True
0ZGVF0000002fH14AI,Ancillary-Control Valves-Coil Failure-Replace Component-1hr,FaultCode13,0ZGVF0000002fFB4AY,a85VF000000vQtpYAE,True
0ZGVF0000002fH14AI,Ancillary-Control Valves-Leaking-Replace Component-1hr,FaultCode14,0ZGVF0000002fFB4AY,a85VF000000vQtrYAE,True
0ZGVF0000002fH14AI,Ancillary-Control Valves-Won't close-Replace Component-1hr,FaultCode15,0ZGVF0000002fFB4AY,a85VF000000vQtsYAE,True
0ZGVF0000002fH14AI,Ancillary-Control Valves-Other -- Fill in Comments-Replace Component-1hr,FaultCode16,0ZGVF0000002fFB4AY,a85VF000000vQttYAE,True
0ZGVF0000002fH14AI,Ancillary-Control Valves-Shipment Damage-Replace Component-0hr,FaultCode17,0ZGVF0000002fFB4AY,a85VF000000vQtvYAE,True
0ZGVF0000002fH14AI,Ancillary-Control Valves-Will Not Rotate-Replace Component-1.5hr,FaultCode18,0ZGVF0000002fFB4AY,a85VF000000vQtwYAE,True
0ZGVF0000002fGq4AI,Ancillary-Disconnect Panels-Calibration changed/out of spec-Replace Component-1hr,FaultCode19,0ZGVF0000002fFB4AY,a85VF000000vQtxYAE,True
0ZGVF0000002fGq4AI,Ancillary-Disconnect Panels-Contact Points Burned-Replace Component-1hr,FaultCode20,0ZGVF0000002fFB4AY,a85VF000000vQtyYAE,True
0ZGVF0000002fGq4AI,Ancillary-Disconnect Panels-Contactor Chattering-Replace Component-1hr,FaultCode21,0ZGVF0000002fFB4AY,a85VF000000vQtzYAE,True
0ZGVF0000002fGq4AI,Ancillary-Disconnect Panels-Contactor Locked in-Replace Component-1hr,FaultCode22,0ZGVF0000002fFB4AY,a85VF000000vQu0YAE,True
0ZGVF0000002fGq4AI,Ancillary-Disconnect Panels-Contactor not pulling in-Replace Component-1hr,FaultCode23,0ZGVF0000002fFB4AY,a85VF000000vQu1YAE,True
0ZGVF0000002fGq4AI,Ancillary-Disconnect Panels-Disconnect Switch Fails Closed-Replace Component-1hr,FaultCode24,0ZGVF0000002fFB4AY,a85VF000000vQu2YAE,True
