LEAD_DIST_MGR__c,PRSM_Certification_Level__c,Oasis__c,MiscTypeCd__c,PRSM_Active__c,DomicileCountryCode__c,Parent_Type__c,Partner_Code__c,Tier_N_Supplier_Locations__c,PRSM_Maintenance_Supervisor_Phone__c,tvnt__Established_Business__c,PRSM_Work_Queue_Comments__c,Type_of_Account__c,PRSM_Domicile_Country__c,Active_Date__c,CurrencyIsoCode,Fleet_Account_Manager__c,SharedCd__c,WesternStar_BrandLevel_of_Authorization__c,twodcms__Active__c,AccountNumber,PRSM_Notes__c,Service_Region_Code_Primary__c,Fleet_Currency__c,OutletCd__c,Vocation_Segment__c,Customer_Account_Number__c,Dealer_Parent_Entity_ID__c,CBFC_Account_Number__c,BillingPostalCode,Export_Consolidators_Code__c,Match_Grade__c,FCCC_Anniversary_Date__c,Fleet_Program__c,Market_Segment_Code__c,Supply_Chain_Security_Membership__c,Match_Data_Profile__c,Toll_Free_Number__c,Fleet_Entity_Code__c,Service_Provider__c,ShippingStreet,Account_updated_with_MDM_CAN__c,Time_Zone__c,BillingCountry,PRSM_Override_Allow_Filing_of_Claims__c,Dealer_Code__c,PRSM_Asset__c,Brand_Description_DDC__c,PRSM_Same_as_Billing_Address__c,Pinnacle_Dealer_Location_Type__c,PRSM_DVCM_Group_Level__c,Enabled_For_Review__c,District_Service_Manager_Primary__c,Additional_States__c,Business_Associate_Type__c,Publish_to_MDM__c,PRSM_Transportation_Director_Name__c,Primary_CAN__c,PRSM_Parts_Code__c,Supply_Chain_Security_Risk_Rating__c,Email_Address__c,Archival_Extension_Requested__c,CUST_GRP_NAME__c,Regional_General_Manger_for_Service__c,tvnt__Preferred_Contact_Method__c,Facing_Dealer_Name__c,PRSM_TBBCAN__c,twodsrm__Supplier_Type__c,Parent_DNB_DUNS_Number__c,Pinnacle_Fleet_Code__c,Service__c,Brand_Description_TBB__c,Family_Group__c,Branch_ID__c,OutletTypeCd__c,Outletstatuscd__c,DNBConnect_DUNS_Number__c,Abbrev_Name__c,Location_Code__c,ShippingCountry,Legal_Name__c,BillingStreet,BrnID__c,BillingCity,PRSM_Sub_Business_Unit__c,PRSM_Override_Allow_Registration__c,PRSM_Last_Claim_Submit_Date__c,Vocation_Name__c,SEGGRP__c,Fleet_Master_Entity_ID__c,Brand_Description_FCCC__c,Senior_Regional_Parts_Manager__c,Country__c,Mismatch_Allowed__c,Fax,Fleet_Bill_To_Entity_ID__c,PRSM_Elite_Dealer__c,PRSM_Auto_Registration__c,Brand_Level_of_Authorization_FCCC__c,Location_Type__c,Dealer_ID__c,ShippingCity,Alias_org_code__c,Data_Source__c,Service_Region_Name_Primary__c,Mainframe_ID__c,Service_Phone_Number__c,Confidence_Code__c,PRMS_Notes__c,Primary_Contact_Name__c,PRSM_Parent__c,External_Country__c,PRSM_T_Currency_Code__c,Status__c,Phone,BillingState,Type,Name,Fleet_Category__c,SponsoringOutletCode__c,Clan_Name__c,Date_Last_Updated__c,USDOT__c,PRSM_Is_DTR_Un_Registered__c,PrimaryOutletCd__c,PRSM_OPR_Initials__c,Clan_Code__c,PRSM_Program_Type__c,Fleet_Location_Type__c,CountryCd__c,WOD_2__Warranty_Account_Type__c,Primary_Branch_Indicator__c,PRSM_Source__c,ShippingState,Primary_Branch_Lookup__c,Supplier_Code__c,Other_Reason__c,Cummins_Certified__c,Holding_Company__c,PRSM_ECS_Dealer__c,PRSM_Transportation_Director_Phone__c,Procede_ID__c,Brands__c,Region__c,Archival_Date__c,Date_Of_Load__c,PRSM_Customer_Process__c,PRSM_Maintenance_Supervisor_Name__c,Brand_Level_of_Authorization_TBB__c,ROWID__c,Sales_Phone_Number__c,PRSM_Work_Queue_Status__c,ShippingPostalCode,WOD_2__Dealer_Group__c,Fleet_Parent_Entity_ID__c,Request_Reason__c,Dealer_POS__c,Fleet_Division__c,Director_of_Parts__c,Archival_Requestor__c,Lead_Source__c,Parts_Phone_Number__c,FCCC_Account_Type__c,Vocation_Group__c,Account_sent_for_MDM_Incremental_Load__c,Fob__c,PRSM_Last_Charge_Back_Date__c,Dealer_Eligible_for_Pinnacle_Transaction__c,PRSM_is_MDM_Sync__c,Regional_Parts_Manager__c,Account_ready_for_MDM__c,Shop_Code__c,Dealer_Entity_ID__c,Account_Category__c,Dealer_Enrolled__c,PRSM_Override_Allow_Claim_on_Behalf__c,Brand_Description_DCC__c,Fleet_Eligible_for_Transaction__c,Used_RV_Sales__c,Service_District_Code_Primary__c,Dealer_Master_Entity_ID__c,Number_of_Vehicles__c,Branch_Name__c,EliteSupport__c,Fleet_Entity_ID__c,Allison_Certified__c,Fleet_Facing_Dealer_Code__c,Fleet_Size__c,PRSM_Account_Type__c,Freightliner_BrandLevel_of_Authorization__c,Account_sent_for_MDM_Initial_Load__c,Inactive_Date__c,Fleet_Parent_Code__c,twodcms__Primary_Email_Id__c,Dealer_Bill_To_Entity_ID__c,PRSM_Requires_Manual_Review__c
,,False,,False,,,,,,,,,,,USD,,,,,,,,,,,,,,32301-3521,,,,,,,,,,,2814 Industrial Plaza Dr,False,,United States of America,False,,,,False,,,False,,,,False,,False,,,,False,,,,,,,,,,,,,,,783370083,,,United States,,2814 Industrial Plaza Dr,,Tallahassee,,False,,,,,,,,False,,,False,False,,,,Tallahassee,,,,,,,,,,,,,+18508771669,Florida,,Body Builders,,,,,,False,,,,,,,,False,,Florida,,,,False,,False,,,,,,,,,,,,,32301-3521,,,,,,,,,,,,False,,,,False,,False,,,Customer Account,,False,,,False,,,,,False,,False,,,,,False,,,,,False
,,False,,False,,,,,,,,,,,USD,,,,,,,,,,,,,,33445-6326,,,,,,,,,,,1615 S Congress Ave Ste 103,False,,United States of America,False,,,,False,,,False,,,,False,,False,,,,False,,,,,,,,,,,,,,,808637214,,,United States,,1615 S Congress Ave Ste 103,,Delray Beach,,False,,,,,,,,False,,,False,False,,,,Delray Beach,,,,,,,,,,,,,+15619003691,Florida,,Various,,,,,,False,,,,,,,,False,,Florida,,,,False,,False,,,,,,,,,,,,,33445-6326,,,,,,,,,,,,False,,,,False,,False,,,Customer Account,,False,,,False,,,,,False,,False,,,,,False,,,,,False
,,False,,False,,,,,,,,,,,USD,,,,,,,,,,,,,,01056-1096,,AZZAAZAABAA,,,,,0099990000990099000000009998,,,,58 Wyoming St,False,,United States,False,,,,False,,,False,,,,False,,False,,,,False,,,,,,,,,,,,,,,057987760,,,United States,,58 Wyoming St,,Ludlow,,False,,,,,,,,False,,,False,False,,,,Ludlow,,,,,,9,,,,,,,(413) 589-0515,MA,,Advanced Drainage System,,,,,,False,,,,,,,,False,,Massachusetts,,,,False,,False,,,,,,,,,,,,,01056-1096,,,,,,,,,,,,False,,,,False,,False,,,Customer Account,,False,,,False,,,,,False,,False,,,,,False,,,,,False
,,False,,False,,,,,,,,,,,USD,,,,,,,,,,,,,,40291,,,,,,,,,,,,False,,United States,False,,,,False,,,False,,,,False,,False,,,,False,,,,,,,,,,,,,,,,,,,,5515 Overbrook Woods Pl.,,Louisville,,False,,,,,,,,False,,,False,False,,,,,,,,,,,,,,,,,(574) 703-8644,Ky,,Mohammed A. Shokan,,,,,,False,,,,,,,,False,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,False,,,Customer Account,,False,,,False,,,,,False,,False,,,,,False,,,,,False
,,False,,False,,,,,,,,,,,USD,,,,,,,,,,,,,,01970-2647,,,,,,,,,,,6 Pearl St,False,,United States,False,,,,False,,,False,,,,False,,False,,,,False,,,,,,,,,,,,,,,103920446,,,United States,,6 Pearl St,,Salem,,False,,,,,,,,False,,,False,False,,,,Salem,,,,,,,,,,,,,(413) 627-0330,MA,,L&A Transportation,,,,,,False,,,,,,,,False,,Massachusetts,,,,False,,False,,,,,,,,,,,,,01970-2647,,,,,,,,,,,,False,,,,False,,False,,,Customer Account,,False,,,False,,,,,False,,False,,,,,False,,,,,False
,,False,,False,,,,,,,,,,,USD,,,,,,,,,,,,,,27302,,,,,,,,,,,2547 FARRELL RD,False,,UNITED STATES,False,,,,False,,,False,,,,False,,False,,,,False,,,,,,,,,,,,,,,,,,UNITED STATES,,2547 FARRELL RD,,MEBANE,,False,,,,,,,,False,,,False,False,,,,MEBANE,,MDM Classic,,,,,,,,203,,,,NC,,WINNIX MARC D SR,,,,,,False,,,,,,,,False,,NC,,,,False,,False,,,,,,,,,,3880515,,,27302,,,,,,,,,,,,False,,,,False,,False,,,Customer Account,,False,,,False,,,,,False,,False,,,,,False,,,,,False
,,False,,False,,,,,,,,,,,USD,,,,,,,,,,,,,,21801,,,,,,,,,,,28171 PATHFINDER CT,False,,UNITED STATES,False,,,,False,,,False,,,,False,,False,,,,False,,,,,,,,,,,,,,,,,,UNITED STATES,,28171 PATHFINDER CT,,SALISBURY,,False,,,,,,,,False,,,False,False,,,,SALISBURY,,MDM Classic,,,,,,,,203,,,,MD,,ALESSI RONALD GILAM MARIA JR,,,,,,False,,,,,,,,False,,MD,,,,False,,False,,,,,,,,,,3880514,,,21801,,,,,,,,,,,,False,,,,False,,False,,,Customer Account,,False,,,False,,,,,False,,False,,,,,False,,,,,False
,,False,,True,,,,,,,,IND,,2017-08-23T00:00:00.000+0000,USD,,,,,,,,,,,X46247,,,52049-8204,,AAAAAZZAABZ,,,HZ,,0000000000989800000000009998,,,,601 S LINCOLN ST,False,,United States,False,X46247,,,False,,,True,,,,False,,False,,,,False,,,,,,,,,,,,,,,075848135,GUTTENBERG I,,United States,,603 S Lincoln St,,Garnavillo,,False,,,,,,,,False,,,False,False,,,,GARNAVILLO,,MDM Global Customer,,,,10,,,,203,,,15632523121,Iowa,,GUTTENBERG INDUSTRIES,,,,,,False,,DKF,,,,,Customer,False,,IA,,,,False,,False,,,,,,,,,,3880513,,Approved,52049,,,,,,,,,,,,False,,,,False,,True,,,Customer Account,,False,,,False,,,,,False,,False,,,,,False,,,,,False
,,False,,True,,,,,,,,IND,,2017-08-23T00:00:00.000+0000,USD,,,,,,,,,,,X46245,,,T3J 5E5,,AAAAAZFABAF,,,HZ,,0000000099980000000000009998,,,,68 SADDLEFIELD RD NE,False,,Canada,False,X46245,,,False,,,True,,,,False,,False,,,,False,,,,,,,,,,,,,,,208986448,HS LOGISTIC,,Canada,HS LOGISTIC,68 Saddlefield Rd Ne,,Calgary,,False,,,,,,,,False,,,False,False,,,,CALGARY,,MDM Global Customer,,,,10,,,,000,,,4037963200,ALBERTA,,HS LOGISTIC,,,,,,False,,JLM,,,,,Customer,False,,AB,,,,False,,False,,,,,,,,,,3880512,,Approved,T3J 5E5,,,,,,,,,,,,False,,,,False,,True,,,Customer Account,,False,,,False,,,,,False,,False,,,,,False,,,,,False
,,False,,False,,,,,,,,,,,USD,,,,,,,,,,,,,,64137,,,,,,,,,,,11439 CHESTNUT AVE APT 603,False,,UNITED STATES,False,,,,False,,,False,,,,False,,False,,,,False,,,,,,,,,,,,,,,,,,UNITED STATES,,11439 CHESTNUT AVE APT 603,,KANSAS CITY,,False,,,,,,,,False,,,False,False,,,,KANSAS CITY,,MDM Classic,,,,,,,,203,,,,MO,,SHIKUKU CONSTANTINE,,,,,,False,,,,,,,,False,,MO,,,,False,,False,,,,,,,,,,3880511,,,64137,,,,,,,,,,,,False,,,,False,,False,,,Customer Account,,False,,,False,,,,,False,,False,,,,,False,,,,,False
