Name,WOD_2__Business_Units__c,WOD_2__Description__c,WOD_2__Fault_Location_Level__c,WOD_2__Standard_Labor_Hour__c,VRM_Resolution_Code__c,VRM_External_Id__c,VRM_Failure_Code__c
Coil Failure,VRM-NA,Coil Failure,,,,Coil Failure,
Mis-manufactured,VRM-NA,Mis-manufactured,,,,Mis-manufactured,
Leaking,VRM-NA,Leaking,,,,Leaking,
Won't close,VRM-NA,Won't close,,,,Won't close,
Other -- Fill in Comments,VRM-NA,Other -- Fill in Comments,,,,Other -- Fill in Comments,
Part Dimensions Incorrect,VRM-NA,Part Dimensions Incorrect,,,,Part Dimensions Incorrect,
Shipment Damage,VRM-NA,Shipment Damage,,,,Shipment Damage,
Will Not Rotate,VRM-NA,Will Not Rotate,,,,Will Not Rotate,
Calibration changed/out of spec,VRM-NA,Calibration changed/out of spec,,,,Calibration changed/out of spec,
Contact Points Burned,VRM-NA,Contact Points Burned,,,,Contact Points Burned,
Contactor Chattering,VRM-NA,Contactor Chattering,,,,Contactor Chattering,
Contactor Locked in,VRM-NA,Contactor Locked in,,,,Contactor Locked in,
Contactor not pulling in,VRM-NA,Contactor not pulling in,,,,Contactor not pulling in,
Disconnect Switch Fails Closed,VRM-NA,Disconnect Switch Fails Closed,,,,Disconnect Switch Fails Closed,
Disconnect Switch Fails Open,VRM-NA,Disconnect Switch Fails Open,,,,Disconnect Switch Fails Open,
Electrical Component Failure,VRM-NA,Electrical Component Failure,,,,Electrical Component Failure,
Electrical Specs Not Met,VRM-NA,Electrical Specs Not Met,,,,Electrical Specs Not Met,
Fuse Block Defective,VRM-NA,Fuse Block Defective,,,,Fuse Block Defective,
Grounding Block Defective,VRM-NA,Grounding Block Defective,,,,Grounding Block Defective,
Housing Damaged,VRM-NA,Housing Damaged,,,,Housing Damaged,
Intermittent Operations,VRM-NA,Intermittent Operations,,,,Intermittent Operations,
Leads corroded/broken,VRM-NA,Leads corroded/broken,,,,Leads corroded/broken,
Cracked Liner,VRM-NA,Cracked Liner,,,,Cracked Liner,
Flow not registering,VRM-NA,Flow not registering,,,,Flow not registering,
Head Filling with Water,VRM-NA,Head Filling with Water,,,,Head Filling with Water,
Signal Weak,VRM-NA,Signal Weak,,,,Signal Weak,
Contact Warranty Department - Not within,VRM-NA,Contact Warranty Department - Not within,,,,Contact Warranty Department - Not within,
Hose Pulled off,VRM-NA,Hose Pulled off,,,,Hose Pulled off,
Hose Split,VRM-NA,Hose Split,,,,Hose Split,
Insufficient Clamping Force,VRM-NA,Insufficient Clamping Force,,,,Insufficient Clamping Force,
Ultraviolet Degradation,VRM-NA,Ultraviolet Degradation,,,,Ultraviolet Degradation,
Dent in Pipe,VRM-NA,Dent in Pipe,,,,Dent in Pipe,
Finish Appearance Faulty,VRM-NA,Finish Appearance Faulty,,,,Finish Appearance Faulty,
Flanges not Square,VRM-NA,Flanges not Square,,,,Flanges not Square,
Flanges Out of Time,VRM-NA,Flanges Out of Time,,,,Flanges Out of Time,
Galvanizing Bare Spots,VRM-NA,Galvanizing Bare Spots,,,,Galvanizing Bare Spots,
Galvanizing Quality,VRM-NA,Galvanizing Quality,,,,Galvanizing Quality,
Hitch ball bolt failed,VRM-NA,Hitch ball bolt failed,,,,Hitch ball bolt failed,
Hole in Pipe,VRM-NA,Hole in Pipe,,,,Hole in Pipe,
Seam Split,VRM-NA,Seam Split,,,,Seam Split,
Galvanizing Excessive,VRM-NA,Galvanizing Excessive,,,,Galvanizing Excessive,
Weld Failure,VRM-NA,Weld Failure,,,,Weld Failure,
Weld Missing,VRM-NA,Weld Missing,,,,Weld Missing,
Plug Removal,VRM-NA,Plug Removal,,,,Plug Removal,
Communication Failure,VRM-NA,Communication Failure,,,,Communication Failure,
5 Volt Power Supply,VRM-NA,5 Volt Power Supply,,,,5 Volt Power Supply,
Backlight Failure,VRM-NA,Backlight Failure,,,,Backlight Failure,
Cold Solder Joint,VRM-NA,Cold Solder Joint,,,,Cold Solder Joint,
Display Failure,VRM-NA,Display Failure,,,,Display Failure,
Encoder Failure,VRM-NA,Encoder Failure,,,,Encoder Failure,
External Connection Failure,VRM-NA,External Connection Failure,,,,External Connection Failure,
Harness Failure,VRM-NA,Harness Failure,,,,Harness Failure,
Keypad Failure,VRM-NA,Keypad Failure,,,,Keypad Failure,
PCB Cracked,VRM-NA,PCB Cracked,,,,PCB Cracked,
Percent timer runs at 100% at all times,VRM-NA,Percent timer runs at 100% at all times,,,,Percent timer runs at 100% at all times,
Pressure Reading Incorrect,VRM-NA,Pressure Reading Incorrect,,,,Pressure Reading Incorrect,
Relay Failure,VRM-NA,Relay Failure,,,,Relay Failure,
Screen Failure,VRM-NA,Screen Failure,,,,Screen Failure,
Trace Failure,VRM-NA,Trace Failure,,,,Trace Failure,
Voltage Display Inconsistent,VRM-NA,Voltage Display Inconsistent,,,,Voltage Display Inconsistent,
Cable End Failure,VRM-NA,Cable End Failure,,,,Cable End Failure,
Excessive Steering,VRM-NA,Excessive Steering,,,,Excessive Steering,
Inconsistent Position,VRM-NA,Inconsistent Position,,,,Inconsistent Position,
Incorrect Resistance Reading,VRM-NA,Incorrect Resistance Reading,,,,Incorrect Resistance Reading,
Resolver Input Error,VRM-NA,Resolver Input Error,,,,Resolver Input Error,
Resolver Volts Incorrect,VRM-NA,Resolver Volts Incorrect,,,,Resolver Volts Incorrect,
Won't Break Safety,VRM-NA,Won't Break Safety,,,,Won't Break Safety,
Won't Hold Safety,VRM-NA,Won't Hold Safety,,,,Won't Hold Safety,
Won't Steer Forward,VRM-NA,Won't Steer Forward,,,,Won't Steer Forward,
Won't Steer Reverse,VRM-NA,Won't Steer Reverse,,,,Won't Steer Reverse,
