Name,WOD_2__Description__c,VRM_Failure_Code__c,VRM_Resolution_Code__c,WOD_2__Business_Units__c
Coil Failure,Coil Failure,,,VRM-NA
Mis-manufactured,Mis-manufactured,,,VRM-NA
Leaking,Leaking,,,VRM-NA
Won't close,Won't close,,,VRM-NA
Other -- Fill in Comments,Other -- Fill in Comments,,,VRM-NA
Part Dimensions Incorrect,Part Dimensions Incorrect,,,VRM-NA
Shipment Damage,Shipment Damage,,,VRM-NA
Will Not Rotate,Will Not Rotate,,,VRM-NA
Calibration changed/out of spec,Calibration changed/out of spec,,,VRM-NA
Contact Points Burned,Contact Points Burned,,,VRM-NA
Contactor Chattering,Contactor Chattering,,,VRM-NA
Contactor Locked in,Contactor Locked in,,,VRM-NA
Contactor not pulling in,Contactor not pulling in,,,VRM-NA
Disconnect Switch Fails Closed,Disconnect Switch Fails Closed,,,VRM-NA
Disconnect Switch Fails Open,Disconnect Switch Fails Open,,,VRM-NA
Electrical Component Failure,Electrical Component Failure,,,VRM-NA
Electrical Specs Not Met,Electrical Specs Not Met,,,VRM-NA
Fuse Block Defective,Fuse Block Defective,,,VRM-NA
Grounding Block Defective,Grounding Block Defective,,,VRM-NA
Housing Damaged,Housing Damaged,,,VRM-NA
Intermittent Operations,Intermittent Operations,,,VRM-NA
Leads corroded/broken,Leads corroded/broken,,,VRM-NA
Cracked Liner,Cracked Liner,,,VRM-NA
Flow not registering,Flow not registering,,,VRM-NA
Head Filling with Water,Head Filling with Water,,,VRM-NA
Signal Weak,Signal Weak,,,VRM-NA
Contact Warranty Department - Not within,Contact Warranty Department - Not within,,,VRM-NA
Hose Pulled off,Hose Pulled off,,,VRM-NA
Hose Split,Hose Split,,,VRM-NA
Insufficient Clamping Force,Insufficient Clamping Force,,,VRM-NA
Ultraviolet Degradation,Ultraviolet Degradation,,,VRM-NA
Dent in Pipe,Dent in Pipe,,,VRM-NA
Finish Appearance Faulty,Finish Appearance Faulty,,,VRM-NA
Flanges not Square,Flanges not Square,,,VRM-NA
Flanges Out of Time,Flanges Out of Time,,,VRM-NA
Galvanizing Bare Spots,Galvanizing Bare Spots,,,VRM-NA
Galvanizing Quality,Galvanizing Quality,,,VRM-NA
Hitch ball bolt failed,Hitch ball bolt failed,,,VRM-NA
Hole in Pipe,Hole in Pipe,,,VRM-NA
Seam Split,Seam Split,,,VRM-NA
Galvanizing Excessive,Galvanizing Excessive,,,VRM-NA
Weld Failure,Weld Failure,,,VRM-NA
Weld Missing,Weld Missing,,,VRM-NA
Plug Removal,Plug Removal,,,VRM-NA
Communication Failure,Communication Failure,,,VRM-NA
5 Volt Power Supply,5 Volt Power Supply,,,VRM-NA
Backlight Failure,Backlight Failure,,,VRM-NA
Cold Solder Joint,Cold Solder Joint,,,VRM-NA
Display Failure,Display Failure,,,VRM-NA
Encoder Failure,Encoder Failure,,,VRM-NA
External Connection Failure,External Connection Failure,,,VRM-NA
Harness Failure,Harness Failure,,,VRM-NA
Keypad Failure,Keypad Failure,,,VRM-NA
PCB Cracked,PCB Cracked,,,VRM-NA
