Id,OwnerId,IsDeleted,Name,CurrencyIsoCode,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,WOD_2__Active_From__c,WOD_2__Active_Until__c,WOD_2__Business_Units__c,WOD_2__Category_To_Apply_Degradation__c,WOD_2__Days_Covered__c,WOD_2__Default_Policy_Definition__c,WOD_2__Description__c,WOD_2__Exclusion__c,WOD_2__Extended_Policy_Cost__c,WOD_2__Inclusion__c,WOD_2__Is_Policy_Optional__c,WOD_2__Months_Covered__c,WOD_2__Payment_Definition__c,WOD_2__Policy_Filter_Condition__c,WOD_2__Pricebook_Type__c,WOD_2__Priority__c,WOD_2__Status__c,WOD_2__Sub_Type__c,WOD_2__Terms_Condition__c,WOD_2__Transfer_Fee__c,WOD_2__Transferable_Month__c,WOD_2__Transferable__c,WOD_2__Type__c,Build_Date_Applicable_HDI__c,Business_Unit_HDI__c,Comments__c,Coverage_transfer_window_period_fromdate__c,Customer_Type__c,EWP_End_WP_from_Delivery_Date_HDI__c,EWP_End_WP_from_Shipment_Date_HDI__c,EWP_Start_WP_from_Delivery_Date_HDI__c,External_ID_HDI__c,Forced_Selection_Needed_During_DR_HDI__c,Installer_Certification_Status_HDI__c,Is_Attachment_Mandatory_HDI__c,Is_Policy_Applicable_for_DR_HDI__c,Is_Policy_Displayed_To_Internal_Users_On__c,Is_Third_Party_Policy_HDI__c,Item_Condition_HDI__c,Limit_of_Liability_HDI__c,Machine_Hours_Energy_Units_Covered_HDI__c,Mark_Policy_As_Primary_HDI__c,Maxi_number_of_transfer_to_end_customers__c,Months_Covered_FRM_OriginalDate_HDI__c,Months_Covered_From_Build_Date_HDI__c,Months_Covered_From_Invoice_Date_HDI__c,Months_Covered_From_Shipment_HDI__c,Ownership_State_HDI__c,Policy_Name_HDI__c,Registration_Price__c,Policy_Group_Name_HDI__c,Job_Code_Group_HDI__c,WOD_2__Days_Covered_From__c,WOD_2__Months_Covered_From__c,WOD_2__Coverage_Based_On__c,WOD_2__Expression__c
a0e8a00000GIj3NAAT,0058a00000MaBalAAF,False,EXT-PP-72-7500-FULL-LP,USD,2023-04-19T14:28:17.000+0000,0058a00000MaBalAAF,2024-08-01T19:00:11.000+0000,0058a00000MaBalAAF,2024-08-01T19:00:11.000+0000,,,2015-10-01,2070-10-16,NORTHAMERICA,,,False,72 Months 4000 Hours Protection Plus FULL,,,,False,72.0,a0a8a00000aK6JVAA0,AND,,5256.0,Active,,,0.0,,True,EXTENDED,False,NORTHAMERICA,,9999999999.0,"Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;Dealer Rental/ RPO",99999.0,99999.0,0.0,,False,ANY,False,False,False,False,NEW,,7500.0,False,,0.0,0.0,0.0,0.0,First Owner;Preowned;Dealer Rental,72 Months 7500 Hours Protection Plus FULL,,FULL;PARTS_LABOR,STANDARD_FULL,,,,
a0e8a00000GIlRUAA1,0058a00000Ma0lHAAR,False,STD-S-24-4000-FULL-DLP,USD,2023-04-28T01:17:59.000+0000,0058a00000Ma0lHAAR,2023-05-19T23:47:57.000+0000,0058a00000MZsjwAAD,2023-05-19T23:47:57.000+0000,,,2009-01-01,2060-01-01,EUROPE,,,False,Standard Standard 24 Months or 4000 Hours Full machine Distance Labour Parts,,,,False,24.0,a0a8a00000aK71rAAC,AND,,1112.0,Inactive,,"<p><span style=""font-size: 14px;"">DL modes removed from this poicy and included in &quot;Standard Standard 12 Months or 1000 Hours Full machine Distance Labour Parts&quot;.</span></p>",0.0,,True,STANDARD,False,EUROPE,No machines should have this coverage.,,End Customer;Dealer;Direct Customer;Dealer Rental/ RPO,99999.0,99999.0,0.0,,False,ANY,False,True,False,False,NEW,,4000.0,False,,0.0,0.0,30.0,0.0,First Owner,Standard Standard 24 Months or 4000 Hours Full machine Distance Labour Parts,,DISTANCE_LABOUR_PARTS;CONSIGNMENT_POLICY,,,,,
a0e8a00000GIsrTAAT,0058a00000Ma4PUAAZ,False,EXT-DP-24-2000-DPFULL-DLP,USD,2023-05-24T08:44:33.000+0000,0058a00000Ma4PUAAZ,2023-05-25T01:29:10.000+0000,0058a00000Ma4PUAAZ,2023-05-25T01:29:10.000+0000,2026-04-15T10:16:55.000+0000,2026-04-15T10:16:55.000+0000,2020-05-01,2060-12-31,EUROPE,,,False,"Develon Premium Extended Warranty 24 months or 2,000 operation hours, full machine, distance, labor and parts coverage",,,,True,24.0,a0a8a00000aK71rAAC,OR,,6019.0,Active,,,,,True,EXTENDED,False,EUROPE,,,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",99999.0,,0.0,,False,ANY,False,False,False,False,NEW;PREOWNED,,2000.0,False,,,,,,First Owner;Preowned;Dealer Rental,"Develon Premium Extended Warranty 24 months or 2,000 operation hours, full machine, distance, labor and parts coverage",,PARTS_LABOR_TRAVEL;DPFULL,,,,,
a0e8a00000GIsrUAAT,0058a00000Ma4PUAAZ,False,EXT-DP-24-3000-DPFULL-DLP,USD,2023-05-24T08:44:33.000+0000,0058a00000Ma4PUAAZ,2023-05-25T01:29:10.000+0000,0058a00000Ma4PUAAZ,2023-05-25T01:29:10.000+0000,2026-04-10T05:02:26.000+0000,2026-04-10T05:02:26.000+0000,2020-05-01,2060-12-31,EUROPE,,,False,"Develon Premium Extended Warranty 24 months or 3,000 operation hours, full machine, distance, labor and parts coverage",,,,True,24.0,a0a8a00000aK71rAAC,OR,,6020.0,Active,,,,,True,EXTENDED,False,EUROPE,,,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",99999.0,,0.0,,False,ANY,False,False,False,False,NEW;PREOWNED,,3000.0,False,,,,,,First Owner;Preowned;Dealer Rental,"Develon Premium Extended Warranty 24 months or 3,000 operation hours, full machine, distance, labor and parts coverage",,PARTS_LABOR_TRAVEL;DPFULL,,,,,
a0e8a00000GIsrVAAT,0058a00000Ma4PUAAZ,False,EXT-DP-24-4000-DPFULL-DLP,USD,2023-05-24T08:44:33.000+0000,0058a00000Ma4PUAAZ,2023-05-25T01:29:10.000+0000,0058a00000Ma4PUAAZ,2023-05-25T01:29:10.000+0000,,,2020-05-01,2060-12-31,EUROPE,,,False,"Develon Premium Extended Warranty 24 months or 4,000 operation hours, full machine, distance, labor and parts coverage",,,,True,24.0,a0a8a00000aK71rAAC,OR,,6021.0,Active,,,,,True,EXTENDED,False,EUROPE,,,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",99999.0,,0.0,,False,ANY,False,False,False,False,NEW;PREOWNED,,4000.0,False,,,,,,First Owner;Preowned;Dealer Rental,"Develon Premium Extended Warranty 24 months or 4,000 operation hours, full machine, distance, labor and parts coverage",,PARTS_LABOR_TRAVEL;DPFULL,,,,,
a0e8a00000GIsrWAAT,0058a00000Ma4PUAAZ,False,EXT-DP-24-5000-DPFULL-DLP,USD,2023-05-24T08:44:33.000+0000,0058a00000Ma4PUAAZ,2023-05-25T01:29:10.000+0000,0058a00000Ma4PUAAZ,2023-05-25T01:29:10.000+0000,,,2020-05-01,2060-12-31,EUROPE,,,False,"Develon Premium Extended Warranty 24 months or 5,000 operation hours, full machine, distance, labor and parts coverage",,,,True,24.0,a0a8a00000aK71rAAC,OR,,6022.0,Active,,,,,True,EXTENDED,False,EUROPE,,,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",99999.0,,0.0,,False,ANY,False,False,False,False,NEW;PREOWNED,,5000.0,False,,,,,,First Owner;Preowned;Dealer Rental,"Develon Premium Extended Warranty 24 months or 5,000 operation hours, full machine, distance, labor and parts coverage",,PARTS_LABOR_TRAVEL;DPFULL,,,,,
a0e8a00000GIsrXAAT,0058a00000Ma4PUAAZ,False,EXT-DP-36-3000-DPFULL-DLP,USD,2023-05-24T08:44:33.000+0000,0058a00000Ma4PUAAZ,2023-05-25T01:29:10.000+0000,0058a00000Ma4PUAAZ,2023-05-25T01:29:10.000+0000,,,2020-05-01,2060-12-31,EUROPE,,,False,"Develon Premium Extended Warranty 36 months or 3,000 operation hours, full machine, distance, labor and parts coverage",,,,True,36.0,a0a8a00000aK71rAAC,OR,,6023.0,Active,,,,,True,EXTENDED,False,EUROPE,,,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",99999.0,,0.0,,False,ANY,False,False,False,False,NEW;PREOWNED,,3000.0,False,,,,,,First Owner;Preowned;Dealer Rental,"Develon Premium Extended Warranty 36 months or 3,000 operation hours, full machine, distance, labor and parts coverage",,PARTS_LABOR_TRAVEL;DPFULL,,,,,
a0e8a00000GIsrYAAT,0058a00000Ma4PUAAZ,False,EXT-DP-36-4500-DPFULL-DLP,USD,2023-05-24T08:44:33.000+0000,0058a00000Ma4PUAAZ,2023-05-25T01:29:10.000+0000,0058a00000Ma4PUAAZ,2023-05-25T01:29:10.000+0000,,,2020-05-01,2060-12-31,EUROPE,,,False,"Develon Premium Extended Warranty 36 months or 4,500 operation hours, full machine, distance, labor and parts coverage",,,,True,36.0,a0a8a00000aK71rAAC,OR,,6024.0,Active,,,,,True,EXTENDED,False,EUROPE,,,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",99999.0,,0.0,,False,ANY,False,False,False,False,NEW;PREOWNED,,4500.0,False,,,,,,First Owner;Preowned;Dealer Rental,"Develon Premium Extended Warranty 36 months or 4,500 operation hours, full machine, distance, labor and parts coverage",,PARTS_LABOR_TRAVEL;DPFULL,,,,,
a0e8a00000GIsrZAAT,0058a00000Ma4PUAAZ,False,EXT-DP-36-6000-DPFULL-DLP,USD,2023-05-24T08:44:33.000+0000,0058a00000Ma4PUAAZ,2023-05-25T01:29:10.000+0000,0058a00000Ma4PUAAZ,2023-05-25T01:29:10.000+0000,,,2020-05-01,2060-12-31,EUROPE,,,False,"Develon Premium Extended Warranty 36 months or 6,000 operation hours, full machine, distance, labor and parts coverage",,,,True,36.0,a0a8a00000aK71rAAC,OR,,6025.0,Active,,,,,True,EXTENDED,False,EUROPE,,,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",99999.0,,0.0,,False,ANY,False,False,False,False,NEW;PREOWNED,,6000.0,False,,,,,,First Owner;Preowned;Dealer Rental,"Develon Premium Extended Warranty 36 months or 6,000 operation hours, full machine, distance, labor and parts coverage",,PARTS_LABOR_TRAVEL;DPFULL,,,,,
a0e8a00000GIsraAAD,0058a00000Ma4PUAAZ,False,EXT-DP-36-7500-DPFULL-DLP,USD,2023-05-24T08:44:33.000+0000,0058a00000Ma4PUAAZ,2023-05-25T01:29:10.000+0000,0058a00000Ma4PUAAZ,2023-05-25T01:29:10.000+0000,,,2020-05-01,2060-12-31,EUROPE,,,False,"Develon Premium Extended Warranty 36 months or 7,500 operation hours, full machine, distance, labor and parts coverage",,,,True,36.0,a0a8a00000aK71rAAC,OR,,6026.0,Active,,,,,True,EXTENDED,False,EUROPE,,,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",99999.0,,0.0,,False,ANY,False,False,False,False,NEW;PREOWNED,,7500.0,False,,,,,,First Owner;Preowned;Dealer Rental,"Develon Premium Extended Warranty 36 months or 7,500 operation hours, full machine, distance, labor and parts coverage",,PARTS_LABOR_TRAVEL;DPFULL,,,,,
