WOD_2__Policy_Filter_Condition__c,WOD_2__Transfer_Fee__c,WOD_2__Payment_Definition__c,Mark_Policy_As_Primary_HDI__c,Coverage_transfer_window_period_fromdate__c,WOD_2__Coverage_Based_On__c,LastModifiedById,EWP_End_WP_from_Shipment_Date_HDI__c,WOD_2__Sub_Type__c,Machine_Hours_Energy_Units_Covered_HDI__c,OwnerId,WOD_2__Transferable_Month__c,LastReferencedDate,Comments__c,Policy_Name_HDI__c,Job_Code_Group_HDI__c,WOD_2__Months_Covered_From__c,Build_Date_Applicable_HDI__c,Is_Third_Party_Policy_HDI__c,WOD_2__Description__c,WOD_2__Pricebook_Type__c,Name,WOD_2__Terms_Condition__c,Business_Unit_HDI__c,Customer_Type__c,WOD_2__Is_Policy_Optional__c,WOD_2__Type__c,Installer_Certification_Status_HDI__c,Is_Policy_Displayed_To_Internal_Users_On__c,WOD_2__Active_From__c,Registration_Price__c,CreatedDate,WOD_2__Status__c,Limit_of_Liability_HDI__c,WOD_2__Business_Units__c,Is_Attachment_Mandatory_HDI__c,WOD_2__Days_Covered__c,WOD_2__Inclusion__c,LastModifiedDate,Months_Covered_From_Invoice_Date_HDI__c,CurrencyIsoCode,SystemModstamp,WOD_2__Months_Covered__c,WOD_2__Transferable__c,Maxi_number_of_transfer_to_end_customers__c,WOD_2__Category_To_Apply_Degradation__c,WOD_2__Days_Covered_From__c,Is_Policy_Applicable_for_DR_HDI__c,WOD_2__Active_Until__c,LastViewedDate,EWP_Start_WP_from_Delivery_Date_HDI__c,WOD_2__Exclusion__c,Months_Covered_From_Shipment_HDI__c,WOD_2__Expression__c,Months_Covered_FRM_OriginalDate_HDI__c,Ownership_State_HDI__c,CreatedById,IsDeleted,WOD_2__Priority__c,External_ID_HDI__c,Forced_Selection_Needed_During_DR_HDI__c,Months_Covered_From_Build_Date_HDI__c,Policy_Group_Name_HDI__c,Item_Condition_HDI__c,Id,WOD_2__Default_Policy_Definition__c,WOD_2__Extended_Policy_Cost__c,EWP_End_WP_from_Delivery_Date_HDI__c
AND,0.0,,False,9999999999.0,,0058a00000MaBalAAF,99999.0,,7500.0,0058a00000MaBalAAF,,2026-04-20T07:12:58.000+0000,,72 Months 7500 Hours Protection Plus FULL,STANDARD_FULL,,False,False,72 Months 4000 Hours Protection Plus FULL,,EXT-PP-72-7500-FULL-LP,,NORTHAMERICA,"Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;Dealer Rental/ RPO",False,EXTENDED,ANY,False,2015-10-01,,2023-04-19T14:28:17.000+0000,Active,,NORTHAMERICA,False,,,2024-08-01T19:00:11.000+0000,0.0,USD,2024-08-01T19:00:11.000+0000,72.0,True,,,,False,2070-10-16,2026-04-20T07:12:58.000+0000,0.0,,0.0,,0.0,First Owner;Preowned;Dealer Rental,0058a00000MaBalAAF,False,5256.0,,False,0.0,FULL;PARTS_LABOR,NEW,a0e8a00000GIj3NAAT,False,,99999.0
AND,0.0,,False,,,0058a00000MZsjwAAD,99999.0,,4000.0,0058a00000Ma0lHAAR,,,No machines should have this coverage.,Standard Standard 24 Months or 4000 Hours Full machine Distance Labour Parts,,,False,False,Standard Standard 24 Months or 4000 Hours Full machine Distance Labour Parts,,STD-S-24-4000-FULL-DLP,"<p><span style=""font-size: 14px;"">DL modes removed from this poicy and included in &quot;Standard Standard 12 Months or 1000 Hours Full machine Distance Labour Parts&quot;.</span></p>",EUROPE,End Customer;Dealer;Direct Customer;Dealer Rental/ RPO,False,STANDARD,ANY,False,2009-01-01,,2023-04-28T01:17:59.000+0000,Inactive,,EUROPE,False,,,2023-05-19T23:47:57.000+0000,30.0,USD,2023-05-19T23:47:57.000+0000,24.0,True,,,,True,2060-01-01,,0.0,,0.0,,0.0,First Owner,0058a00000Ma0lHAAR,False,1112.0,,False,0.0,DISTANCE_LABOUR_PARTS;CONSIGNMENT_POLICY,NEW,a0e8a00000GIlRUAA1,False,,99999.0
OR,,,False,,,0058a00000Ma4PUAAZ,,,2000.0,0058a00000Ma4PUAAZ,,2026-04-20T07:08:29.000+0000,,"Develon Premium Extended Warranty 24 months or 2,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 24 months or 2,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-24-2000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,2023-05-24T08:44:33.000+0000,Active,,EUROPE,False,,,2023-05-25T01:29:10.000+0000,,USD,2023-05-25T01:29:10.000+0000,24.0,True,,,,False,2060-12-31,2026-04-20T07:08:29.000+0000,0.0,,,,,First Owner;Preowned;Dealer Rental,0058a00000Ma4PUAAZ,False,6019.0,,False,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,a0e8a00000GIsrTAAT,False,,99999.0
OR,,,False,,,0058a00000Ma4PUAAZ,,,3000.0,0058a00000Ma4PUAAZ,,2026-04-10T05:02:26.000+0000,,"Develon Premium Extended Warranty 24 months or 3,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 24 months or 3,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-24-3000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,2023-05-24T08:44:33.000+0000,Active,,EUROPE,False,,,2023-05-25T01:29:10.000+0000,,USD,2023-05-25T01:29:10.000+0000,24.0,True,,,,False,2060-12-31,2026-04-10T05:02:26.000+0000,0.0,,,,,First Owner;Preowned;Dealer Rental,0058a00000Ma4PUAAZ,False,6020.0,,False,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,a0e8a00000GIsrUAAT,False,,99999.0
OR,,,False,,,0058a00000Ma4PUAAZ,,,4000.0,0058a00000Ma4PUAAZ,,,,"Develon Premium Extended Warranty 24 months or 4,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 24 months or 4,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-24-4000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,2023-05-24T08:44:33.000+0000,Active,,EUROPE,False,,,2023-05-25T01:29:10.000+0000,,USD,2023-05-25T01:29:10.000+0000,24.0,True,,,,False,2060-12-31,,0.0,,,,,First Owner;Preowned;Dealer Rental,0058a00000Ma4PUAAZ,False,6021.0,,False,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,a0e8a00000GIsrVAAT,False,,99999.0
OR,,,False,,,0058a00000Ma4PUAAZ,,,5000.0,0058a00000Ma4PUAAZ,,,,"Develon Premium Extended Warranty 24 months or 5,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 24 months or 5,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-24-5000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,2023-05-24T08:44:33.000+0000,Active,,EUROPE,False,,,2023-05-25T01:29:10.000+0000,,USD,2023-05-25T01:29:10.000+0000,24.0,True,,,,False,2060-12-31,,0.0,,,,,First Owner;Preowned;Dealer Rental,0058a00000Ma4PUAAZ,False,6022.0,,False,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,a0e8a00000GIsrWAAT,False,,99999.0
OR,,,False,,,0058a00000Ma4PUAAZ,,,3000.0,0058a00000Ma4PUAAZ,,,,"Develon Premium Extended Warranty 36 months or 3,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 36 months or 3,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-36-3000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,2023-05-24T08:44:33.000+0000,Active,,EUROPE,False,,,2023-05-25T01:29:10.000+0000,,USD,2023-05-25T01:29:10.000+0000,36.0,True,,,,False,2060-12-31,,0.0,,,,,First Owner;Preowned;Dealer Rental,0058a00000Ma4PUAAZ,False,6023.0,,False,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,a0e8a00000GIsrXAAT,False,,99999.0
OR,,,False,,,0058a00000Ma4PUAAZ,,,4500.0,0058a00000Ma4PUAAZ,,,,"Develon Premium Extended Warranty 36 months or 4,500 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 36 months or 4,500 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-36-4500-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,2023-05-24T08:44:33.000+0000,Active,,EUROPE,False,,,2023-05-25T01:29:10.000+0000,,USD,2023-05-25T01:29:10.000+0000,36.0,True,,,,False,2060-12-31,,0.0,,,,,First Owner;Preowned;Dealer Rental,0058a00000Ma4PUAAZ,False,6024.0,,False,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,a0e8a00000GIsrYAAT,False,,99999.0
OR,,,False,,,0058a00000Ma4PUAAZ,,,6000.0,0058a00000Ma4PUAAZ,,,,"Develon Premium Extended Warranty 36 months or 6,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 36 months or 6,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-36-6000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,2023-05-24T08:44:33.000+0000,Active,,EUROPE,False,,,2023-05-25T01:29:10.000+0000,,USD,2023-05-25T01:29:10.000+0000,36.0,True,,,,False,2060-12-31,,0.0,,,,,First Owner;Preowned;Dealer Rental,0058a00000Ma4PUAAZ,False,6025.0,,False,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,a0e8a00000GIsrZAAT,False,,99999.0
OR,,,False,,,0058a00000Ma4PUAAZ,,,7500.0,0058a00000Ma4PUAAZ,,,,"Develon Premium Extended Warranty 36 months or 7,500 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 36 months or 7,500 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-36-7500-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,2023-05-24T08:44:33.000+0000,Active,,EUROPE,False,,,2023-05-25T01:29:10.000+0000,,USD,2023-05-25T01:29:10.000+0000,36.0,True,,,,False,2060-12-31,,0.0,,,,,First Owner;Preowned;Dealer Rental,0058a00000Ma4PUAAZ,False,6026.0,,False,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,a0e8a00000GIsraAAD,False,,99999.0
