WOD_2__Policy_Filter_Condition__c,WOD_2__Transfer_Fee__c,Mark_Policy_As_Primary_HDI__c,Coverage_transfer_window_period_fromdate__c,WOD_2__Coverage_Based_On__c,EWP_End_WP_from_Shipment_Date_HDI__c,WOD_2__Sub_Type__c,Machine_Hours_Energy_Units_Covered_HDI__c,WOD_2__Transferable_Month__c,Comments__c,Policy_Name_HDI__c,WOD_2__Months_Covered_From__c,Job_Code_Group_HDI__c,Build_Date_Applicable_HDI__c,Is_Third_Party_Policy_HDI__c,WOD_2__Description__c,WOD_2__Pricebook_Type__c,Name,WOD_2__Terms_Condition__c,Business_Unit_HDI__c,Customer_Type__c,WOD_2__Is_Policy_Optional__c,WOD_2__Type__c,Installer_Certification_Status_HDI__c,Is_Policy_Displayed_To_Internal_Users_On__c,WOD_2__Active_From__c,Registration_Price__c,WOD_2__Status__c,Limit_of_Liability_HDI__c,WOD_2__Business_Units__c,Is_Attachment_Mandatory_HDI__c,WOD_2__Days_Covered__c,WOD_2__Inclusion__c,Months_Covered_From_Invoice_Date_HDI__c,WOD_2__Transferable__c,WOD_2__Months_Covered__c,WOD_2__Days_Covered_From__c,Maxi_number_of_transfer_to_end_customers__c,WOD_2__Category_To_Apply_Degradation__c,Is_Policy_Applicable_for_DR_HDI__c,WOD_2__Active_Until__c,EWP_Start_WP_from_Delivery_Date_HDI__c,WOD_2__Exclusion__c,WOD_2__Expression__c,Months_Covered_From_Shipment_HDI__c,Months_Covered_FRM_OriginalDate_HDI__c,Ownership_State_HDI__c,WOD_2__Priority__c,Forced_Selection_Needed_During_DR_HDI__c,External_ID_HDI__c,Months_Covered_From_Build_Date_HDI__c,Policy_Group_Name_HDI__c,Item_Condition_HDI__c,WOD_2__Default_Policy_Definition__c,WOD_2__Extended_Policy_Cost__c,EWP_End_WP_from_Delivery_Date_HDI__c
AND,0.0,False,9999999999.0,,99999.0,,7500.0,,,72 Months 7500 Hours Protection Plus FULL,,STANDARD_FULL,False,False,72 Months 4000 Hours Protection Plus FULL,,EXT-PP-72-7500-FULL-LP,,NORTHAMERICA,"Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;Dealer Rental/ RPO",False,EXTENDED,ANY,False,2015-10-01,,Active,,NORTHAMERICA,False,,,0.0,True,72.0,,,,False,2070-10-16,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,5256.0,False,,0.0,FULL;PARTS_LABOR,NEW,False,,99999.0
AND,0.0,False,,,99999.0,,4000.0,,No machines should have this coverage.,Standard Standard 24 Months or 4000 Hours Full machine Distance Labour Parts,,,False,False,Standard Standard 24 Months or 4000 Hours Full machine Distance Labour Parts,,STD-S-24-4000-FULL-DLP,"<p><span style=""font-size: 14px;"">DL modes removed from this poicy and included in &quot;Standard Standard 12 Months or 1000 Hours Full machine Distance Labour Parts&quot;.</span></p>",EUROPE,End Customer;Dealer;Direct Customer;Dealer Rental/ RPO,False,STANDARD,ANY,False,2009-01-01,,Inactive,,EUROPE,False,,,30.0,True,24.0,,,,True,2060-01-01,0.0,,,0.0,0.0,First Owner,1112.0,False,,0.0,DISTANCE_LABOUR_PARTS;CONSIGNMENT_POLICY,NEW,False,,99999.0
OR,,False,,,,,2000.0,,,"Develon Premium Extended Warranty 24 months or 2,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 24 months or 2,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-24-2000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,24.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6019.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,3000.0,,,"Develon Premium Extended Warranty 24 months or 3,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 24 months or 3,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-24-3000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,24.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6020.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,4000.0,,,"Develon Premium Extended Warranty 24 months or 4,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 24 months or 4,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-24-4000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,24.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6021.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,5000.0,,,"Develon Premium Extended Warranty 24 months or 5,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 24 months or 5,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-24-5000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,24.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6022.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,3000.0,,,"Develon Premium Extended Warranty 36 months or 3,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 36 months or 3,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-36-3000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,36.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6023.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,4500.0,,,"Develon Premium Extended Warranty 36 months or 4,500 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 36 months or 4,500 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-36-4500-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,36.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6024.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,6000.0,,,"Develon Premium Extended Warranty 36 months or 6,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 36 months or 6,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-36-6000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,36.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6025.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,7500.0,,,"Develon Premium Extended Warranty 36 months or 7,500 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 36 months or 7,500 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-36-7500-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,36.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6026.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
