Name,CurrencyIsoCode,WOD_2__Active_From__c,WOD_2__Active_Until__c,WOD_2__Business_Units__c,WOD_2__Months_Covered__c,WOD_2__Payment_Definition__c,WOD_2__Priority__c,WOD_2__Status__c,WOD_2__Sub_Type__c,WOD_2__Type__c,VRM_External_Id__c,WOD_2__Expression__c,VRM_WR_Expression__c
VS7000 Gearboxes and Center Drives 6yrs,USD,2025-12-01,2060-12-01,VRM-NA,72.0,a7WVF000000A3Pd2AK,511.0,Inactive,,Standard,,,
System_All Pivots and Parts,USD,2000-01-01,2050-12-31,VRM-NA,24.0,a7WVF000000A3O12AK,1.0,Active,,Standard,System_All Pivots and Parts,,"{""AND"":[""C28""]}"
System_Gearboxes 7000,USD,2000-01-01,2050-12-31,VRM-NA,72.0,a7WVF000000A3Pd2AK,10.0,Active,,Standard,System_Gearboxes 7000,"{""AND"":[""C32""]}","{""AND"":[""C31""]}"
System_Center Drives 7000,USD,2000-01-01,2050-12-31,VRM-NA,72.0,a7WVF000000A3Pd2AK,20.0,Active,,Standard,System_Center Drives 7000,"{""AND"":[""C33""]}","{""AND"":[""C31""]}"
System_Gearboxes 8000,USD,2000-01-01,2050-12-31,VRM-NA,96.0,a7WVF000000A3Pd2AK,110.0,Active,,Standard,System_Gearboxes 8000,"{""AND"":[""C32""]}","{""AND"":[""C34""]}"
System_Center Drives 8000,USD,2000-01-01,2050-12-31,VRM-NA,96.0,a7WVF000000A3Pd2AK,120.0,Active,,Standard,System_Center Drives 8000,"{""AND"":[""C33""]}","{""AND"":[""C34""]}"
System_Pivot Structure,USD,2000-01-01,2050-12-31,VRM-NA,60.0,a7WVF000000A3UT2A0,30.0,Active,,Standard,System_Pivot Structure,"{""AND"":[""C35""]}","{""AND"":[""C28""]}"
System_Control Panel,USD,2000-01-01,2050-12-31,VRM-NA,60.0,a7WVF000000A3Pd2AK,40.0,Active,,Standard,System_Control Panel,"{""AND"":[""C36""]}","{""AND"":[""C28""]}"
System_Tires,USD,2000-01-01,2050-12-31,VRM-NA,24.0,a7WVF000000A3Sr2AK,50.0,Active,,Standard,System_Tires,"{""AND"":[""C37""]}","{""AND"":[""C28""]}"
System_Corrosion,USD,2000-01-01,2050-12-31,VRM-NA,240.0,a7WVF000000A3RF2A0,60.0,Active,,Standard,System_Corrosion,"{""AND"":[""C27""]}","{""AND"":[""C28""]}"
