Name,AccountNumber,Account_ID__c,BillingCountry,BillingState,BillingCity,BillingPostalCode,BillingStreet,CurrencyIsoCode,Description,Industry,Phone,RecordTypeId,Site,TK_R12_Site_Number__c,Site_Status__c,Site_Name__c,TK_General_Comments__c,TK_R12_Account_Number__c,TKAMB2B_VAT__c,Website,WOD_2__Business_Units__c,WOD_2__Warranty_Account_Type__c,RSUPPLY_Account_Site__c,TK_Party_Site_ID__c,RSUPPLY_OracleAccountNumber__c,Fax,TK_Parent_Poem_Code__c,TK_Poem_Code__c,TK_Region__c,TKSVC_Invoice_Print_Method__c
TK VICTORIA BC A0013,A0013,0014w00003lEXVAAA4,CA,BC,Victoria,V9B 0A5,Suite 206 - 1097 Langford Parkway,CAD,,,250-478-8885,0123i000000zaIgAAI,,,,,,,,,TK - NA,Dealer,,N/A,,250-478-8827,,A0013,West,
TK VINELAND NJ (C0965002),C0965002,0014w00003lE81qAAC,US,NJ,VINELAND,08360-2544,1320 N MILL RD,USD,,,856-692-1050,0123i000000zaIgAAI,,820189,,CSTK EAST LLC -PHILADELPHIA,,312244,,,TK - NA,Dealer,US-MO-KSCIT-01,12399204,1000082553,856-507-0844,C0960,C0965002,East,
TK GRAND ISLAND NE (T1065001),T1065001,0014w00003lE9eBAAS,US,NE,GRAND ISLAND,68803-5524,2504 S NORTH RD,USD,,,308-381-7331,0123i000000zaIgAAI,,783529,,THERMO KING CHRISTENSEN,,312509,,,TK - NA,Dealer,US-NE-GDISL-01,12259052,1000082803,308-381-6413,T1065,T1065001,Central,
TK ST CLOUD MN (T1320002),T1320002,0014w00003lEA3HAAW,US,MN,NW Stewartville,55976,630 SCHUMANN DR,USD,,,651-633-2820,0123i000000zaIgAAI,,1979620,,THERMO KING SALES & SERVICE,,312252,,,TK - NA,Dealer,US-MN-STPAU-02,27696108,1000082096,,T1320,T1320002,Central,
TK STEWARTVILLE MN (T1320003),T1320003,0014w00003lEA5FAAW,US,MN,Stewartville,55976,630 SCHUMANN DR NW,USD,,,,0123i000000zaIgAAI,,2562777,,THERMO KING SALES & SERVICE,,312252,,,TK - NA,Dealer,US-MN-STPAU-02,29676712,1000082096,,T1320,T1320003,Central,
TK GOLDEN VALLEY AZ (T1425001),T1425001,0014w00003lEARwAAO,US,AZ,Tolleson,85353,8800 W BUCKEYE RD,USD,Labor rate increases follows state statutes vs TK process.,,928-718-0378,0123i000000zaIgAAI,,886306,,THERMO KING WEST-PHOENIX,,312450,,,TK - NA,Dealer,US-VA-CLOVE-01,14306281,1000082046,,T1425,T1425001,West,
TK CHEYENNE WY (T1425009),T1425009,0014w00003lEATIAA4,US,WY,CHEYENNE,82007,6634 SWAN CT,USD,Labor rate increases follows state statutes vs TK process.,,307-637-5258,0123i000000zaIgAAI,,2776846,,THERMO KING WEST-PHOENIX,,312450,,,TK - NA,Dealer,US-VA-CLOVE-01,31315973,1000082046,307-637-5268,T1425,T1425009,West,
TK MOSINEE WI (T2435002),T2435002,0014w00003lEAVdAAO,US,WI,Mosinee,54455,999 South Park View Circle,USD,,,715-344-1808,0123i000000zaIgAAI,,2106211,,TRANSPORT REFRIGERATION INC,,312444,,,TK - NA,Dealer,US-WI-DEPER-01,27980940,1000081987,715-344-0947,T2435,T2435002,Central,
TK HAINES CITY FL (T2835003),T2835003,0014w00003lEAWtAAO,US,FL,HAINES CITY,33844-3202,1006 W COMMERCE AVE,USD,,,863-422-7527,0123i000000zaIgAAI,,783023,,THERMO KING OF ORLANDO,,312449,,,TK - NA,Dealer,US-MS-RICHL-01,12258546,1000102713,863-422-1584,T2835001,T2835003,East,
TK MIDWAY FL (T2835004),T2835004,0014w00003lEAY2AAO,US,FL,MIDWAY,32343,525 FORTUNE BLVD,USD,,,850-562-1181,0123i000000zaIgAAI,,1786356,,THERMO KING OF ORLANDO,,312449,,,TK - NA,Dealer,US-MS-RICHL-01,27348682,1000102713,850-562-5635,T2835001,T2835004,East,
TK GRAND FORKS ND (C2637),C2637,0014w00003lECYXAA4,US,ND,FARGO,58104-8600,3141 39TH ST S,USD,,,701-775-8197,0123i000000zaIgAAI,,783876,,CUMMINS NPOWER LLC,,312565,,,TK - NA,Dealer,US-ND-GDFOR-01,47129181,1000054610,701-775-4833,C2645,C2637,West,
TK FORT MYERS FL (G2280001),G2280001,0014w00003lECiyAAG,US,FL,FORT MYERS,33905,1891 ORITZ AVENUE,USD,,,239-337-5006,0123i000000zaIgAAI,,784029,,THERMO KING OF FORT MEYERS,,312246,,,TK - NA,Dealer,US-FL-TAMPA-01,12259553,1000082129,239-337-7074,G2280,G2280001,East,
TK PORTAGE IN (T0880004),T0880004,0014w00003lECruAAG,US,IN,PORTAGE,46368,6601 SHEPHERD AVE,USD,Formerly I0150002 TK Portage IN,,219-787-9333,0123i000000zaIgAAI,,4316369,,THERMO KING OF FRESNO INC,,312573,,,TK - NA,Dealer,US-CA-FRESN-01,46938894,1000082037,,T0880,T0880004,Central,
TK MOUNT PLEASANT TX (K1001),K1001,0014w00003lEE8nAAG,US,TX,MOUNT PLEASANT,75455-1552,2010 W US HIGHWAY 67,USD,,,903-577-3603,0123i000000zaIgAAI,,2517228,,THERMO KING OF DALLAS,,783859,,,TK - NA,Dealer,US-TX-DALLA-02,29438630,1000069777,,K1000,K1001,West,
TK CORPUS CHRISTI TX (K1009),K1009,0014w00003lEEBzAAO,US,TX,San Antonio,78219-3509,5807 DIETRICH RD,USD,Kirbycorp.com and unitedengines.com are acceptable email extensions for user additions,,210-421-1577,0123i000000zaIgAAI,,2863884,,THERMO KING OF HOUSTON LLC,,783859,,,TK - NA,Dealer,US-TX-HOUST-01,35856275,1000003244,,K1000,K1009,West,
TK HIGH RIVER AB (T2100002),T2100002,0014w00003lEEC0AAO,CA,AB,HIGH RIVER,T1V 1P3,466 AVENUE AND 82 STREET,CAD,,,403-236-1020,0123i000000zaIgAAI,,1193369,,THERMO KING WESTERN(CALGARY) LTD,,327474,,,TK - NA,Dealer,CA-AB-CALGA-01,26188418,1000082843,403-236-1519,T2100,T2100002,West,
TK AYR ON (T0141),T0141,0014w00003lEEDMAA4,CA,ON,MISSISSAUGA,L5T 1G5,THERMO KING EASTERN CANADA - AYR,CAD,,,519-489-0140,0123i000000zaIgAAI,,3798506,,THERMO KING ONTARIO,,312298,,,TK - NA,Dealer,CA-ON-MISSI-02,46335672,1000021032,519-621-1313,T0140,T0141,East,
TK QUEBEC CITY QC (T0146),T0146,0014w00003lEEFtAAO,CA,QC,SAINT-LAURENT,H4S 1B7,THERMO KING EASTERN CANADA - QUEBEC CITY,CAD,,,418-653-0863,0123i000000zaIgAAI,,783557,,THERMO KING MONTREAL,,312300,,,TK - NA,Dealer,CA-QC-SAINT-01,12259080,1000021018,418-653-7585,T0140,T0146,East,
TK BOUCHERVILLE QC (T0147),T0147,0014w00003lEEGlAAO,CA,QC,Boucherville,J4B 5H2,THERMO KING EASTERN CANADA - BOUCHERVILLE,CAD,,,450-651-3610,0123i000000zaIgAAI,,4181385,,THERMO KING MONTREAL,,312298,,,TK - NA,Dealer,CA-QC-SAINT-01,46793177,1000021018,514-733-2665,T0140,T0147,East,
TK SUMMERVILLE SC (T0697001),T0697001,0014w00003lEEIcAAO,US,SC,SUMMERVILLE,29486-6947,180 STRATHMORE ROAD,USD,,,843-744-5040,0123i000000zaIgAAI,,2466669,,THERMO KING OF CHARLESTON,,312241,,,TK - NA,Dealer,US-SC-FLORE-01,29237075,1000082018,843-554-3326,T0697,T0697001,East,
TK BAKERSFIELD CA (T0880002),T0880002,0014w00003lEEJwAAO,US,CA,FRESNO,93745,PO BOX 2367,USD,update oracle number from 1000082038 to 1000082225 on 10/26/23,,559-496-3500,0123i000000zaIgAAI,,992668,,THERMO KING OF CENTRAL CALIFORNIA  BAKERSFIELD,"Watch for dealer using the Claim Processing Fee, Reject and ask them to remove.",312573,,,TK - NA,Dealer,US-CA-FRESN-01,17810288,1000082225,559-237-9416,T0880,T0880002,West,
TK REGINA SK (C2645005),C2645005,0014w00003lEEJxAAO,CA,SK,REGINA,S4N 5W8,377 HENDERSON DR,CAD,,,306-721-6777,0123i000000zaIgAAI,,1225859,,THERMO KING OF MID CANADA CORP,,312565,,,TK - NA,Dealer,CA-MB-WINNI-01,47129181,1000082022,,C2645,C2645005,West,
TK BISMARCK ND (C2645006),C2645006,0014w00003lEEJyAAO,US,ND,Bismark,,4009 Miriam Ave,USD,,,,0123i000000zaIgAAI,,,,I-29 TRAILER SALES INC,,,,,TK - NA,Dealer,US-ND-BISMA-01,36286279,1000127021,,,C2645006,West,
TK STATESBORO GA (T1023001),T1023001,0014w00003lEEaXAAW,US,GA,STATESBORO,30458,311 AJ RIGGS ROAD,USD,,,,0123i000000zaIgAAI,,1845440,,THERMO KING OF NORTH FLORIDA,,312250,,,TK - NA,Dealer,US-FL-JACKS-01,27434488,1000082840,,T1000,T1023001,East,
TK MARSHALL MN (T1083001),T1083001,0014w00003lEEaYAAW,US,MN,MARSHALL,56258,1507 Superior Rd,USD,,,,0123i000000zaIgAAI,,3398110,,"THERMO KING OF SIOUX FALLS,INC.",,312503,,,TK - NA,Dealer,US-SD-SXFAL-01,45477116,1000082045,,T1083,T1083001,West,
TK QUINCY IL (T1320007),T1320007,0014w00003lEEc7AAG,US,IL,QUINCY,62305,1600 N 45TH ST,USD,,,,0123i000000zaIgAAI,,4076508,,THERMO KING SALES & SERVICE,,312252,NA,,TK - NA,Dealer,US-MN-STPAU-02,46666526,1000082096,,T1320,T1320007,Central,
TK HUBBARD OH (T1070002),T1070002,0014w00003lEEc8AAG,US,OH,HUBBARD,44425-3259,7094 TRUCK WORLD BLVD,USD,,,330-534-8830,0123i000000zaIgAAI,,1808948,,T.R.A.C. THERMO KING,,43807,,,TK - NA,Dealer,US-PA-NHHUN-01,27379614,1000082127,330-534-9132,T1070,T1070002,East,
TK LETHBRIDGE AB (T2100001),T2100001,0014w00003lEEc9AAG,CA,AB,Lethbridge,T1H 6L5,913 36th Street,CAD,,,403-394-2492,0123i000000zaIgAAI,,,,THERMO KING WESTERN(CALGARY) LTD,,,,,TK - NA,Dealer,CA-AB-CALGA-01,26188416,1000082843,403-320-7941,,T2100001,West,
TK TOMAH WI (T2435017),T2435017,0014w00003lEEcAAAW,US,WI,TOMAH,54660,212 MARTIN AVE,USD,,,920-339-5700,0123i000000zaIgAAI,,1681453,,TRANSPORT REFRIGERATION INC,,312444,,,TK - NA,Dealer,US-WI-DEPER-01,27153865,1000081987,,T2435,T2435017,Central,
